Orthogroup	Myotis_lucifugus	Loxodonta_africana
OG0000000	XP_023599350.1	XP_023398898.1
OG0000000	XP_023601280.1	XP_023399444.1
OG0000000	XP_023620736.1	XP_023399242.1, XP_023399860.1, XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1
OG0000000	XP_023616360.1	XP_003422344.1, XP_023397248.1
OG0000000	XP_006098677.1	XP_023397216.1
OG0000000	XP_014319713.1	XP_023397249.1
OG0000000	XP_023616328.1	XP_010599884.1, XP_023397253.1
OG0000000	XP_006109488.2, XP_023604206.1	XP_003406923.2
OG0000000	XP_006107371.2	XP_010600469.2
OG0000002	XP_006106210.1, XP_006107454.1, XP_006109070.1, XP_006107515.1, XP_006107514.1, XP_006099747.1, XP_006099742.1, XP_006106211.1, XP_006106209.1, XP_006107119.1, XP_006107121.1, XP_006107120.1, XP_006107453.1, XP_006106212.1, XP_023619081.1, XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1, XP_006099744.1, XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1	XP_003413354.2
OG0000002	XP_006108663.1, XP_006106497.1, XP_014321261.1, XP_006106784.1, XP_006100410.1, XP_006106501.1, XP_014321263.1, XP_006106783.1, XP_006108546.2, XP_014304154.1, XP_014304155.1, XP_014304265.1, XP_006106494.1	XP_003413372.1, XP_003413373.1, XP_003413374.2, XP_010600981.2, XP_003413368.1, XP_003413355.2, XP_003413366.1, XP_003413356.1, XP_003423569.1, XP_003413365.2, XP_003413363.1, XP_023408073.1, XP_023408072.1, XP_003413358.1, XP_003413360.1, XP_003423570.1, XP_003413357.1, XP_003413362.2, XP_003413364.1, XP_003413097.2, XP_003413369.2, XP_023408074.1
OG0000003	XP_006106487.1	XP_003421157.1
OG0000003	XP_023602527.1	XP_003416466.1
OG0000003	XP_006105754.1	XP_023411488.1
OG0000003	XP_006095234.1, XP_006105894.1	XP_023403165.1
OG0000004	XP_006105904.1	XP_003421192.1
OG0000004	XP_006095377.1	XP_003409564.1
OG0000004	XP_014316718.2	XP_003409558.1
OG0000004	XP_006095233.1	XP_003409559.1
OG0000005	XP_006101362.1, XP_006101381.1	XP_010595805.1, XP_003405135.2
OG0000005	XP_006101384.1, XP_006101386.2, XP_014322144.1, XP_006101385.1, XP_006101387.1, XP_023620581.1, XP_006101388.1, XP_006101389.1	XP_003405571.1, XP_003405575.1
OG0000005	XP_006101391.1, XP_006109268.1	XP_003405143.1, XP_003405138.1, XP_003405142.1, XP_003405582.1, XP_003405140.1, XP_023396331.1
OG0000005	XP_006101365.1	XP_010601004.1, XP_003405577.2, XP_010600920.2, XP_003405581.2, XP_003405141.2, XP_010599357.1, XP_003405137.3
OG0000005	XP_006101366.1, XP_006101367.1	XP_023396334.1, XP_003405584.2, XP_023396327.1
OG0000005	XP_006101378.1	XP_010595858.1, XP_003405560.1
OG0000005	XP_006101368.1	XP_023396363.1
OG0000006	XP_023619823.1, XP_023611739.1	XP_023411689.1
OG0000008	XP_023603086.1, XP_023603088.1	XP_023399207.1
OG0000008	XP_023609052.1	XP_010586028.2
OG0000008	XP_023608739.1	XP_023396493.1
OG0000008	XP_006090633.1	XP_023400813.1
OG0000008	XP_014318909.1	XP_023411607.1
OG0000008	XP_023617197.1	XP_010594572.1
OG0000008	XP_023616724.1	XP_023413682.1
OG0000008	XP_023618878.1	XP_010595066.1
