Orthogroup	Ictidomys_tridecemlineatus	Saimiri_boliviensis_boliviensis
OG0000000	XP_005338252.2	XP_039322266.1
OG0000000	XP_021576805.2	XP_010330281.2
OG0000000	XP_021576806.1	XP_039322557.1, XP_039322576.1, XP_039322556.1
OG0000000	XP_021576803.1	XP_039322514.1, XP_039322513.1, XP_010330414.1, XP_039322572.1, XP_039322571.1, XP_010330277.1, XP_010330278.1
OG0000000	XP_021576898.1	XP_010346293.1
OG0000000	XP_021576901.1	XP_039322936.1
OG0000000	XP_021576636.1	XP_003944081.1
OG0000000	XP_005342012.1	XP_010346294.1
OG0000000	XP_021576027.1	XP_039321322.1
OG0000000	XP_021576894.1	XP_010346296.1
OG0000000	XP_005342901.3, XP_005336545.1	XP_039323111.1
OG0000000	XP_021576039.1	XP_003937462.1
OG0000000	XP_040146794.1	XP_039321949.1
OG0000000	XP_040136033.1, XP_021576780.1	XP_010330198.2
OG0000000	XP_013221241.1	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1
OG0000000	XP_013212186.1	XP_010328112.1
OG0000001	XP_021587205.1, XP_021587207.1, XP_021587102.1, XP_021587204.1, XP_040146264.1, XP_040146260.1, XP_013217290.1, XP_013217292.1	XP_003941813.1, XP_003941806.1, XP_010327794.1, XP_010327790.1, XP_010327793.1, XP_039322483.1, XP_010327802.1, XP_003941872.2, XP_003941814.1, XP_010327783.1, XP_039322280.1
OG0000001	XP_005336245.2	XP_039322643.1
OG0000001	XP_013218788.2	XP_039322614.1
OG0000001	XP_021589559.1	XP_010327863.1
OG0000001	XP_040137776.1	XP_039321661.1
OG0000002	XP_021577056.1, XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1	XP_003941738.1, XP_003941737.1
OG0000003	XP_005337132.1, XP_013216605.1	XP_039318518.1
OG0000003	XP_005337109.1	XP_010336292.1
OG0000003	XP_005337115.1	XP_003927316.2
OG0000003	XP_005337121.1, XP_005337103.1	XP_003927328.1
OG0000003	XP_005342617.1	XP_003935362.1
OG0000003	XP_005342616.1	XP_010344148.1
OG0000003	XP_005331197.1	XP_010328072.1
OG0000003	XP_005337126.1	XP_003944862.1, XP_003944864.1
OG0000004	XP_013219116.1	XP_039318562.1
OG0000004	XP_005337120.1	XP_010331118.1
OG0000004	XP_013219115.1	XP_003927315.1
OG0000004	XP_040139584.1	XP_010336293.1, XP_003927318.1
OG0000004	XP_013219117.1	XP_003944860.1
OG0000004	XP_021586083.1	XP_003942031.1
OG0000004	XP_005331946.1	XP_003934600.1
OG0000004	XP_005331198.1	XP_003942032.1
OG0000004	XP_005337088.1	XP_003927339.1
OG0000007	XP_005341842.2, XP_021576801.1, XP_005341858.3, XP_040135114.1, XP_005342044.1, XP_005342048.1, XP_005342968.2, XP_021576917.1, XP_005342043.1, XP_021576802.1, XP_005342846.1, XP_005341843.1, XP_005341851.1, XP_005341854.1, XP_005341852.2, XP_005342969.1, XP_005342038.2, XP_005341850.1	XP_039321697.1
OG0000007	XP_005333142.3, XP_005333141.1, XP_005333140.1	XP_010338945.1
OG0000008	XP_021585038.2	XP_003925271.2
OG0000008	XP_040142796.1, XP_005340718.1, XP_040142795.1	XP_010330062.1, XP_003943915.1
OG0000008	XP_040132762.1	XP_010348446.1, XP_010348453.2
OG0000008	XP_005340090.1	XP_010343119.1, XP_010343120.1
OG0000008	XP_021575630.1	XP_003934299.1
OG0000008	XP_005324078.1	XP_003939553.1
OG0000008	XP_021577360.1	XP_003936386.1
OG0000010	XP_021585329.1	XP_003920483.3
OG0000010	XP_013216063.1	XP_003920480.2
OG0000010	XP_005341590.1, XP_005330122.1, XP_005330123.1	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2
