Orthogroup	Loxodonta_africana	Urocitellus_parryii
OG0000000	XP_023398898.1	XP_026259515.1
OG0000000	XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1	XP_026238407.1
OG0000000	XP_003422344.1, XP_023397248.1	XP_026235051.1
OG0000000	XP_023397216.1	XP_026235903.1
OG0000000	XP_010584934.1	XP_026237094.1
OG0000000	XP_023397228.1	XP_026237210.1
OG0000000	XP_023397249.1	XP_026237216.1
OG0000000	XP_023395675.1	XP_026267304.1
OG0000000	XP_003406923.2	XP_026237090.1, XP_026237089.1
OG0000000	XP_010600469.2	XP_026265638.1
OG0000002	XP_003413354.2	XP_026238409.1, XP_026238306.1, XP_026238304.1, XP_026238532.1, XP_026238533.1, XP_026238305.1, XP_026238475.1, XP_026238504.1, XP_026238350.1, XP_026238584.1
OG0000003	XP_023411490.1, XP_003421157.1	XP_026270377.1
OG0000003	XP_023411491.1	XP_026263462.1
OG0000003	XP_023411489.1	XP_026263459.1
OG0000003	XP_023403170.1	XP_026237648.1
OG0000003	XP_023411488.1	XP_026263464.1
OG0000003	XP_023396104.1	XP_026237966.1
OG0000003	XP_010599027.1	XP_026237965.1
OG0000003	XP_023403165.1	XP_026259839.1
OG0000003	XP_003422331.1, XP_023397190.1, XP_023397191.1	XP_026270385.1
OG0000004	XP_023396023.1	XP_026270376.1
OG0000004	XP_003416459.1, XP_003421192.1	XP_026270382.1
OG0000004	XP_023411480.1	XP_026238606.1, XP_026263458.1, XP_026263455.1
OG0000004	XP_003409564.1, XP_003409562.1	XP_026238610.1
OG0000004	XP_023411485.1, XP_003416465.1	XP_026263457.1
OG0000004	XP_003421154.2	XP_026270403.1
OG0000004	XP_003409558.1	XP_026259837.1
OG0000004	XP_003405713.1	XP_026269954.1
OG0000004	XP_003409559.1	XP_026259838.1
OG0000004	XP_003416480.1, XP_003416483.1	XP_026263475.1
OG0000005	XP_010595805.1, XP_003405135.2	XP_026237754.1, XP_026236696.1
OG0000005	XP_003405143.1, XP_003405138.1, XP_003405142.1, XP_003405582.1, XP_003405140.1, XP_023396331.1	XP_026254205.1
OG0000005	XP_023396345.1, XP_023396346.1	XP_026254208.1
OG0000005	XP_023396334.1, XP_003405584.2, XP_023396327.1	XP_026237752.1, XP_026254204.1
OG0000005	XP_010595858.1, XP_003405560.1	XP_026254194.1
OG0000005	XP_023396363.1	XP_026254170.1, XP_026254267.1, XP_026254163.1, XP_026254177.1, XP_026254171.1, XP_026254175.1
OG0000006	XP_023411689.1	XP_026270592.1
OG0000006	XP_023402983.1	XP_026238559.1
OG0000007	XP_023399893.1, XP_010585368.2	XP_026235558.1
OG0000007	XP_003406631.2, XP_003406898.2, XP_023399943.1, XP_003406632.1	XP_026237661.1, XP_026237675.1, XP_026237678.1, XP_026238595.1, XP_026238594.1, XP_026238338.1, XP_026238538.1, XP_026237663.1, XP_026238337.1, XP_026237676.1, XP_026237677.1, XP_026237662.1, XP_026237660.1, XP_026237659.1
OG0000007	XP_010584713.1, XP_003406459.1, XP_003406456.1, XP_003406457.1, XP_023398909.1, XP_023398910.1, XP_023399797.1, XP_003406455.1, XP_003406479.1, XP_023398911.1, XP_003406460.1, XP_003406462.1, XP_003406461.1, XP_003406458.1, XP_010585307.2, XP_023399243.1	XP_026245659.1, XP_026245658.1, XP_026245660.1, XP_026245657.1
OG0000008	XP_023399207.1	XP_026237845.1
OG0000008	XP_010586028.2	XP_026249121.1
OG0000008	XP_023396493.1	XP_026268615.1
OG0000008	XP_023400813.1	XP_026268556.1
OG0000008	XP_010599893.1	XP_026235043.1
OG0000008	XP_023411607.1	XP_026262971.1
OG0000008	XP_010594572.1	XP_026262968.1
OG0000008	XP_023398361.1	XP_026237339.1, XP_026262695.1
OG0000008	XP_010595066.1	XP_026260312.1
