Orthogroup	Myotis_lucifugus	Ursus_americanus
OG0000000	XP_023599350.1	XP_045672096.1
OG0000000	XP_023620736.1	XP_045645196.1, XP_045645193.1, XP_045645194.1
OG0000000	XP_023610099.1, XP_023610100.1, XP_006109159.1, XP_023610093.1, XP_023610091.1, XP_023610090.1, XP_023610092.1, XP_023610098.1, XP_023610096.1, XP_023610102.1, XP_023611398.1	XP_045645200.1, XP_045645398.1, XP_045645415.1, XP_045645396.1, XP_045645391.1, XP_045645195.1
OG0000000	XP_023616360.1	XP_045642231.1
OG0000000	XP_023618147.1	XP_045661221.1
OG0000000	XP_006098677.1	XP_045661136.1
OG0000000	XP_014319713.1	XP_045661198.1
OG0000000	XP_023616328.1	XP_045661205.1
OG0000000	XP_006098666.1	XP_045661204.1
OG0000000	XP_023604378.1	XP_045629728.1
OG0000000	XP_006109488.2, XP_023604206.1	XP_045630174.1
OG0000000	XP_006107371.2	XP_045633339.1
OG0000001	XP_014303641.1	XP_045630524.1, XP_045630526.1
OG0000002	XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1	XP_045659850.1
OG0000002	XP_006099744.1	XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1
OG0000002	XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1	XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1
OG0000002	XP_006108663.1, XP_006106497.1, XP_014321261.1, XP_006106784.1, XP_006100410.1, XP_006106501.1, XP_014321263.1, XP_006106783.1, XP_006108546.2, XP_014304154.1, XP_014304155.1, XP_014304265.1, XP_006106494.1	XP_045667978.1, XP_045667981.1, XP_045667980.1, XP_045667955.1, XP_045667977.1, XP_045667966.1, XP_045653421.1
OG0000003	XP_006106487.1	XP_045656370.1
OG0000003	XP_006105754.1	XP_045656416.1
OG0000003	XP_006095234.1, XP_006105894.1	XP_045633094.1
OG0000004	XP_006105900.1	XP_045656300.1
OG0000004	XP_023602427.1, XP_006105755.1, XP_014303408.1, XP_006105904.1	XP_045656361.1
OG0000004	XP_014303296.1	XP_045656360.1
OG0000004	XP_006095377.1	XP_045633096.1
OG0000004	XP_014303409.1	XP_045656363.1
OG0000004	XP_014316718.2	XP_045633092.1
OG0000004	XP_006095233.1	XP_045633093.1
OG0000005	XP_006101362.1, XP_006101381.1	XP_045632498.1, XP_045652424.1
OG0000005	XP_006101384.1, XP_006101386.2, XP_014322144.1, XP_006101385.1, XP_006101387.1, XP_023620581.1, XP_006101388.1, XP_006101389.1	XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1
