Orthogroup	Ursus_americanus	Sarcophilus_harrisii
OG0000000	XP_045672096.1	XP_031812992.1
OG0000000	XP_045630216.1	XP_031805707.1, XP_023352302.1
OG0000000	XP_045645196.1, XP_045645193.1, XP_045645194.1	XP_031817705.1
OG0000000	XP_045661229.1	XP_031804216.1, XP_031801034.1
OG0000000	XP_045645200.1, XP_045645398.1, XP_045645415.1, XP_045645396.1, XP_045645391.1, XP_045645195.1	XP_031810195.1, XP_031823895.1, XP_023359536.1
OG0000000	XP_045642231.1, XP_045630167.1, XP_045630164.1, XP_045661194.1, XP_045661175.1, XP_045661221.1, XP_045661136.1, XP_045630187.1, XP_045661152.1, XP_045661176.1, XP_045661198.1, XP_045661205.1, XP_045661204.1, XP_045641316.1, XP_045652605.1, XP_045642070.1, XP_045642108.1	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1
OG0000000	XP_045629938.1, XP_045629146.1, XP_045629728.1, XP_045630174.1, XP_045633339.1	XP_031800804.1
OG0000001	XP_045656004.1, XP_045630521.1, XP_045630538.1, XP_045630542.1, XP_045630524.1, XP_045630526.1, XP_045656038.1	XP_031815742.1
OG0000001	XP_045630322.1	XP_012401289.1
OG0000002	XP_045634378.1, XP_045653415.1, XP_045659601.1, XP_045660122.1, XP_045653432.1, XP_045660182.1, XP_045659597.1, XP_045653429.1, XP_045660179.1, XP_045660162.1, XP_045660163.1, XP_045660181.1, XP_045660180.1, XP_045659596.1, XP_045660123.1, XP_045643395.1, XP_045659595.1, XP_045659590.1, XP_045653428.1, XP_045653446.1, XP_045660133.1, XP_045659603.1, XP_045660146.1, XP_045653418.1, XP_045660127.1, XP_045660116.1, XP_045660126.1, XP_045660134.1, XP_045660150.1, XP_045660149.1, XP_045660138.1, XP_045643397.1, XP_045660187.1, XP_045659606.1, XP_045653435.1, XP_045659604.1, XP_045659600.1, XP_045653431.1, XP_045653434.1, XP_045653440.1, XP_045653444.1, XP_045659849.1, XP_045659605.1, XP_045659598.1, XP_045653430.1, XP_045660115.1, XP_045660131.1, XP_045660141.1, XP_045660136.1, XP_045660143.1, XP_045660178.1, XP_045660160.1, XP_045660186.1, XP_045643396.1, XP_045660185.1, XP_045643394.1, XP_045659594.1, XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1, XP_045667978.1, XP_045667981.1, XP_045667980.1, XP_045667955.1, XP_045667977.1, XP_045667966.1, XP_045653421.1	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2
OG0000003	XP_045656416.1, XP_045656369.1	XP_031824341.1
OG0000003	XP_045659934.1, XP_045659933.1	XP_003769950.1
OG0000003	XP_045656413.1	XP_003768757.1
OG0000003	XP_045633094.1	XP_012404136.1, XP_003770776.2
OG0000003	XP_045656364.1, XP_045656366.1, XP_045656365.1	XP_031823293.1
