Orthogroup	Microcebus_murinus	Rattus_norvegicus
OG0000000	XP_012616738.1	XP_008757184.1, NP_001017512.2
OG0000000	XP_012626318.1	XP_063133080.1
OG0000000	XP_012633947.1, XP_012617244.2, XP_012634058.1, XP_012621017.2, XP_020145876.1, XP_012607300.1, XP_012605672.1, XP_020143628.1, XP_020140961.1, XP_020140962.1, XP_020140964.1, XP_020140957.1, XP_020144151.1, XP_020140966.1, XP_020140974.1, XP_012634054.1, XP_020146092.1, XP_020146094.1, XP_012634002.2, XP_020146097.1, XP_012617241.1, XP_020140969.1, XP_020144285.1, XP_012596655.2, XP_012634056.1, XP_012615835.2, XP_020140965.1, XP_012621727.2, XP_020140972.1, XP_020143603.1, XP_012605668.2, XP_020143604.1, XP_020140650.1, XP_020140956.1, XP_012607505.1	NP_001395762.1
OG0000000	XP_012613228.1	NP_001414718.1, XP_063143066.1
OG0000000	XP_012630387.1	NP_001128198.1, XP_038944205.1
OG0000000	XP_012630386.1, XP_012630265.1	XP_008757455.1, XP_006228826.1, XP_006228825.1, XP_006228824.1
OG0000000	XP_012630372.1	NP_001094461.1, XP_038943235.1
OG0000000	XP_012630285.2, XP_012630378.1	XP_006255213.1
OG0000000	XP_020139008.1, XP_012606846.2	XP_063133243.1
OG0000000	XP_012604505.1, XP_012613248.1	XP_006228251.1, NP_001008557.1
OG0000000	XP_020143602.1, XP_012615665.1	XP_063119671.1, NP_001387994.1
OG0000001	XP_012624815.1	XP_063124294.1
OG0000001	XP_012646010.1, XP_012645968.1, XP_012645956.1, XP_012645793.1, XP_020139507.1, XP_020139506.1, XP_012646003.1, XP_012645977.2, XP_012645971.1, XP_020139387.1	NP_001128033.2, XP_017450288.1
OG0000001	XP_020139505.1, XP_012645964.1, XP_020139501.1	NP_001396167.1
OG0000001	XP_012646178.1, XP_012646169.1, XP_012646150.1	XP_063138867.1
OG0000002	XP_012645796.1, XP_020139519.1, XP_012646004.2, XP_020139359.1	NP_997480.2, NP_001000941.1
OG0000003	XP_012596788.1	NP_001396017.1, XP_063132502.1, NP_001100822.1, NP_072173.2
OG0000003	XP_012597460.1, XP_012597518.1	NP_001403243.1
OG0000003	XP_012597512.1	NP_001395954.1
OG0000003	XP_012596785.1	NP_001101884.1
OG0000003	XP_012634028.1	NP_001104597.1
OG0000003	XP_012597454.1, XP_012597551.1, XP_012597459.1, XP_012597458.1	NP_001102870.1
OG0000004	XP_012597514.1	NP_001395916.1
OG0000004	XP_012596784.1	NP_001395861.1, NP_001102893.1
OG0000004	XP_012634027.1	NP_068612.2
OG0000004	XP_012609566.1	NP_001302422.1
OG0000004	XP_012609567.1	NP_001104811.1
OG0000004	XP_012609187.1	NP_001103080.1
OG0000004	XP_012609568.1	NP_001395771.1
OG0000005	XP_012610257.1	NP_001000060.1
OG0000005	XP_020143017.1	NP_001001365.1, NP_001000938.1, NP_001001382.1, NP_001001385.1, NP_001001361.1
OG0000005	XP_012610269.1	NP_001000075.1
OG0000005	XP_012609942.2	NP_001000587.1, NP_001001360.1, NP_001000703.1
OG0000005	XP_012610373.1	NP_001000056.1
OG0000005	XP_012610321.1	NP_001000700.1, NP_001001356.1
OG0000005	XP_012610295.1	NP_001006597.1, NP_001001357.2, NP_001410141.1, XP_056840442.1, NP_001382514.1
OG0000005	XP_012609915.1	NP_001000061.1
OG0000005	XP_012609981.1	NP_001000055.1
OG0000006	XP_012632903.1	XP_006244762.1
OG0000006	XP_012625684.2, XP_012601742.1, XP_012606863.1, XP_012595831.2, XP_012596629.2, XP_012616975.2, XP_012609122.2, XP_020143214.1	XP_063120688.1, XP_063120689.1, XP_063120693.1, XP_063120692.1, XP_063120691.1, XP_063120732.1, XP_063120731.1, XP_063120734.1, XP_063120733.1, XP_063120690.1, XP_063120687.1, XP_063120686.1
OG0000006	XP_020140814.1	XP_063136755.1, XP_063141299.1, XP_038959293.1, XP_063118789.1
OG0000006	XP_012599818.2, XP_020145819.1	XP_063138919.1, XP_063138801.1, XP_063138800.1, XP_063120507.1, XP_063128749.1, XP_063118653.1, XP_063136520.1, XP_063138765.1, XP_063144646.1, XP_063130967.1, XP_063132935.1, XP_063132936.1, XP_063138932.1, XP_063138931.1, XP_063131938.1, XP_063131939.1
OG0000007	XP_012606828.1	XP_038953247.1, XP_038953242.1, XP_038953239.1
OG0000008	XP_012624356.1	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1
OG0000008	XP_012612641.1	XP_017457697.2
OG0000008	XP_012603709.1	XP_008757447.1, XP_008757448.1, XP_017445996.1
OG0000008	XP_012614837.1	XP_006248929.1, NP_001178593.1
OG0000008	XP_020137053.1	XP_221917.5, NP_001414121.1
OG0000008	XP_012631803.2, XP_012631807.1, XP_012631809.1	NP_001100474.2
OG0000008	XP_020140578.1	XP_063136497.1
OG0000008	XP_020138106.1	NP_001020936.1, XP_063134265.1
OG0000010	XP_012643257.1, XP_012643270.1, XP_012643266.1, XP_012622829.1, XP_012643263.1	NP_001000513.1, NP_001001064.1
OG0000010	XP_012643294.1	XP_038962000.1, NP_001000627.1
OG0000010	XP_012643305.1, XP_012643256.1, XP_012643312.1, XP_012643309.1, XP_012643311.1, XP_012643310.1, XP_020142412.1, XP_012643274.1, XP_012643272.1, XP_020142062.1, XP_012643292.1, XP_020142413.1	NP_001000359.1
OG0000011	XP_012604413.1	XP_001055818.2
OG0000011	XP_012604415.2	NP_001102593.2
OG0000011	XP_012604414.2	NP_001102865.1
OG0000011	XP_012604418.1	NP_001395838.1
OG0000011	XP_012604417.2	NP_001014783.1
OG0000011	XP_012604410.1	NP_001014804.1
OG0000011	XP_012604420.1	NP_001391845.1
OG0000011	XP_012604421.1	NP_001108074.2, NP_001102860.1, NP_001395766.1
OG0000011	XP_012604412.1	NP_001395844.1
OG0000011	XP_012604416.2	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2
OG0000011	XP_012604408.1	NP_001403744.1
OG0000012	XP_012612333.1	NP_001037711.1, XP_063136102.1
OG0000012	XP_012612339.1, XP_012612340.1	XP_003752106.1
OG0000012	XP_012612331.1, XP_012612330.1, XP_012612337.2, XP_012612338.2	NP_001395772.1, NP_001171154.1
OG0000012	XP_012612329.1, XP_012612328.1	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1
OG0000013	XP_012617202.1	XP_017451017.1, NP_001000432.1, NP_001000429.1
OG0000014	XP_012606836.1	XP_006228239.1, XP_008757305.3, NP_001178549.1
