Orthogroup	Echinops_telfairi	Sus_scrofa
OG0000000	XP_045148498.1, XP_045148479.1, XP_045148490.1	XP_020952925.1
OG0000000	XP_045148842.1	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1
OG0000000	XP_045148829.1, XP_045148828.1	XP_020952815.1
OG0000000	XP_045148835.1	XP_020952850.1
OG0000000	XP_045148833.1	XP_013853826.1
OG0000000	XP_030742044.2	XP_013853905.1
OG0000000	XP_030742236.1	XP_020952895.1
OG0000000	XP_045148817.1	XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1
OG0000000	XP_045148296.1	XP_020952983.1
OG0000000	XP_045148252.1, XP_045148251.1	XP_020953072.1
OG0000000	XP_004715710.1	XP_020950733.1
OG0000000	XP_045142672.1	XP_003481363.2
OG0000001	XP_045156010.1	XP_020940803.1, XP_020939397.1, XP_013846094.1, XP_020939404.1, XP_020939396.1, XP_020939408.1, XP_003354140.1, XP_020939542.1, XP_005652869.1
OG0000002	XP_004715602.1	XP_020942029.1, XP_020942026.1, XP_020942027.1
OG0000003	XP_004712547.1	XP_020955500.1, XP_001927752.1
OG0000003	XP_030743047.1	XP_020955503.1, XP_020945586.1
OG0000003	XP_004712556.1	XP_020954093.1
OG0000003	XP_004716623.1	XP_020945588.1
OG0000004	XP_004712558.1	XP_001928592.1, XP_020955499.1
OG0000004	XP_004716624.1	XP_013852658.1
OG0000005	XP_030743198.1	XP_001926317.2
OG0000005	XP_004700923.1	XP_001927079.3, XP_020937464.1, XP_020937465.1, XP_020947415.1, XP_020936943.1, XP_020937078.1, XP_020938015.1, XP_020936944.1, XP_020937461.1, XP_020936946.1, XP_020937462.1, XP_020937074.1, XP_020936920.1, XP_020937580.1, XP_020946884.1, XP_020947426.1, XP_003126291.3, XP_020947416.1
OG0000005	XP_004700650.1, XP_030741266.1	XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3
OG0000005	XP_004700654.1	XP_020937075.1, XP_013843745.2, XP_003135548.3, XP_013853068.2
OG0000005	XP_004717924.1	XP_020937937.1, XP_003355500.2, XP_020937458.1
OG0000005	XP_004700643.1	XP_013839577.1
OG0000006	XP_012862570.1	XP_020933479.1, XP_020955477.1
OG0000007	XP_012863437.1	XP_020953225.1, XP_020953224.1, XP_020953226.1
OG0000008	XP_045148515.1	XP_020950594.1
OG0000008	XP_045152547.1	XP_005660392.2
OG0000008	XP_045141709.1	XP_020941711.1, XP_005653115.2
