Orthogroup	Saimiri_boliviensis_boliviensis	Echinops_telfairi
OG0000000	XP_039322514.1, XP_039322513.1, XP_010330414.1, XP_039322572.1, XP_039322571.1, XP_010330277.1, XP_010330278.1	XP_045148498.1, XP_045148479.1, XP_045148490.1
OG0000000	XP_010346300.1	XP_045148842.1
OG0000000	XP_010346293.1	XP_045148835.1
OG0000000	XP_039322936.1	XP_045148833.1
OG0000000	XP_010346294.1	XP_030742044.2
OG0000000	XP_039321322.1	XP_030742236.1
OG0000000	XP_010346296.1	XP_045148817.1
OG0000000	XP_039321949.1	XP_045148252.1, XP_045148251.1
OG0000000	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1	XP_004715710.1
OG0000000	XP_010328112.1	XP_045142672.1
OG0000001	XP_003938840.1, XP_039323115.1, XP_003941813.1, XP_003941806.1, XP_010327794.1, XP_010327790.1, XP_010327793.1, XP_039322483.1, XP_010327802.1, XP_003941872.2, XP_003941814.1, XP_010327783.1, XP_039322280.1, XP_003942369.1, XP_003941797.1, XP_003941798.2, XP_039322643.1, XP_039322614.1, XP_010327863.1, XP_039321593.1	XP_045156010.1
OG0000001	XP_039321661.1	XP_045156114.1
OG0000003	XP_039318518.1, XP_010336292.1, XP_003927313.1, XP_003927316.2	XP_004712547.1
OG0000003	XP_010331013.1, XP_039318670.1, XP_010331015.1, XP_003942039.2	XP_030743047.1
OG0000003	XP_003927328.1, XP_003944786.1	XP_004712556.1
OG0000003	XP_010328072.1	XP_004716623.1
OG0000004	XP_010336291.1	XP_004712548.1
OG0000004	XP_003944860.1, XP_010331020.2	XP_004712558.1
OG0000004	XP_003942032.1	XP_004716624.1
OG0000005	XP_039328185.1	XP_004700918.3
OG0000007	XP_010338945.1	XP_012863437.1
OG0000008	XP_003925271.2	XP_045152547.1
OG0000008	XP_010343119.1, XP_010343120.1	XP_045141709.1
OG0000008	XP_003934299.1	XP_045141717.1
OG0000008	XP_039334172.1	XP_045142182.1
OG0000008	XP_003936386.1	XP_045149590.1
OG0000010	XP_003920480.2	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3
OG0000010	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2	XP_004708520.1, XP_030741715.1
OG0000011	XP_039328029.1	XP_012861711.2
OG0000011	XP_010340091.2	XP_012860119.2
OG0000012	XP_003924128.1	XP_004714207.1, XP_012861936.2, XP_012864145.1
OG0000012	XP_003924126.1	XP_030743784.1, XP_004713945.1
OG0000012	XP_010333223.1	XP_045154605.1
OG0000012	XP_003924124.1	XP_012862981.1
OG0000012	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2	XP_004713947.1, XP_004711269.1
OG0000012	XP_010334984.1	XP_004710064.1
OG0000013	XP_003938964.1	XP_004714288.1, XP_004714287.1
OG0000014	XP_003944066.2	XP_045148253.1
OG0000014	XP_003944064.3, XP_010330201.2, XP_039322778.1	XP_045148695.1
OG0000014	XP_003944055.1, XP_003944052.3, XP_003944450.2	XP_045148265.1, XP_045148272.1
OG0000015	XP_003938968.2	XP_004716911.2
OG0000016	XP_003928173.1	XP_004706619.1, XP_004706620.1, XP_004706617.1
OG0000017	XP_039334162.1	XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2
OG0000017	XP_003944789.1	XP_004717472.1
OG0000017	XP_039331397.1	XP_004707348.1
OG0000018	XP_003931776.1	XP_012859399.1
OG0000018	XP_003942033.1	XP_004716622.1
OG0000019	XP_003935823.1	XP_004712724.1
OG0000019	XP_003935822.1	XP_004712723.1
OG0000021	XP_003935417.2	XP_004697311.1, XP_012860657.2, XP_030744718.1, XP_012860659.1
OG0000022	XP_010336464.1	XP_012861131.1
OG0000022	XP_039328169.1	XP_012860159.3
OG0000022	XP_003920570.1	XP_030744626.2
OG0000022	XP_003920574.1	XP_045140666.1
OG0000022	XP_010336467.2	XP_004697099.2
OG0000022	XP_039328577.1	XP_045140875.1
OG0000022	XP_039328684.1	XP_030744629.2
OG0000023	XP_039322918.1	XP_030742169.1
OG0000023	XP_010330421.2, XP_039322035.1	XP_004710771.1, XP_045148514.1, XP_012862162.1
OG0000026	XP_010344692.1, XP_010344690.1, XP_010344691.1	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1
OG0000027	XP_010334588.2	XP_012861603.1
OG0000027	XP_039335895.1	XP_012862391.1
OG0000027	XP_039318403.1	XP_004710335.1
OG0000027	XP_003939105.2	XP_012862704.1
OG0000028	XP_003920501.1	XP_004715034.1
OG0000028	XP_003920200.1, XP_003920202.2	XP_004715045.2, XP_045152990.1
OG0000031	XP_010344198.2	XP_004697319.1
OG0000031	XP_003944778.3	XP_004717464.1, XP_012863974.1
OG0000032	XP_039327706.1, XP_039327707.1	XP_045140675.1
OG0000033	XP_003931818.2, XP_039332378.1	XP_045155424.1
OG0000033	XP_003931923.1, XP_010340770.1	XP_045155427.1, XP_045155234.1
OG0000033	XP_010340761.1	XP_004709367.1, XP_012861717.2
OG0000035	XP_039318843.1	XP_004712740.1
OG0000035	XP_039320122.1	XP_004712219.1
OG0000035	XP_003922471.1	XP_030741765.1
OG0000035	XP_010349143.2	XP_045150155.1
OG0000035	XP_003925881.1	XP_004703656.1
OG0000036	XP_003922417.1, XP_003922419.1	XP_004701113.1
OG0000036	XP_003922415.1	XP_004701111.1
OG0000039	XP_003927439.2, XP_039318609.1	XP_004711707.2
OG0000039	XP_003944692.1	XP_004711733.1
OG0000039	XP_039317243.1	XP_004702931.1
OG0000039	XP_039315957.1	XP_045156035.1
OG0000039	XP_003932683.1	XP_004716151.1
OG0000039	XP_039319462.1, XP_039319460.1	XP_004702928.1
OG0000040	XP_003927936.1	XP_004711555.1
OG0000040	XP_039328176.1	XP_004711562.2
OG0000041	XP_010335862.2, XP_003920143.2	XP_012861540.1
OG0000042	XP_003920450.1	XP_004711685.1, XP_004711686.1, XP_030741751.1, XP_004711688.1, XP_004718048.1, XP_004708455.1, XP_004711696.1, XP_030741749.1, XP_045147074.1
OG0000043	XP_003920426.2, XP_003919855.1, XP_010335361.2	XP_012863712.2, XP_030741683.1, XP_030741692.1
OG0000044	XP_039318565.1	XP_004712586.2
OG0000045	XP_039331909.1	XP_045149228.1
OG0000045	XP_039332730.1	XP_012861750.1
OG0000045	XP_003929291.1, XP_003929292.1	XP_012861749.1
OG0000045	XP_010338158.2	XP_004709407.1
OG0000046	XP_039321667.1	XP_045145625.1, XP_045145661.1
OG0000048	XP_010329363.1	XP_045148624.1
OG0000048	XP_010329409.2, XP_003943268.1, XP_039323255.1, XP_039323254.1, XP_010329364.2, XP_003943259.1	XP_045148625.1, XP_030742216.1, XP_045148205.1
OG0000049	XP_003924537.2, XP_010333524.2, XP_039323980.1	XP_012859118.1
OG0000049	XP_039324393.1, XP_039324392.1	XP_004696508.2
OG0000050	XP_003945067.2	XP_004712660.1
OG0000051	XP_039329306.1	XP_045139744.1
OG0000051	XP_003925510.1	XP_045150200.1
OG0000051	XP_003928297.2	XP_004704466.1
OG0000051	XP_039320049.1	XP_045154467.1
OG0000051	XP_039325459.1	XP_045150193.1
OG0000051	XP_010344666.1	XP_004710098.1
OG0000052	XP_039319167.1	XP_004700778.2
OG0000054	XP_010346811.2	XP_045154396.1
OG0000054	XP_039315845.1	XP_030743721.1
OG0000054	XP_003937935.2	XP_004714839.1, XP_045154300.1
OG0000055	XP_003919853.2	XP_004716482.1
OG0000055	XP_003919856.1	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1
OG0000057	XP_039325467.1, XP_039325466.1	XP_045151837.1, XP_045150218.1
