Orthogroup	Loxodonta_africana	Mesocricetus_auratus
OG0000000	XP_023398898.1	XP_040590578.1
OG0000000	XP_023399955.1	XP_021078858.2
OG0000000	XP_023399242.1, XP_023399860.1, XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1	XP_040589832.1
OG0000000	XP_003422344.1, XP_023397248.1	XP_012980823.1
OG0000000	XP_023399368.1	XP_005085706.2
OG0000000	XP_023397249.1	XP_021078768.2
OG0000000	XP_010599884.1, XP_023397253.1	XP_021078895.1
OG0000000	XP_023397392.1, XP_023399407.1, XP_023399459.1	XP_040613645.1
OG0000000	XP_003406923.2	XP_040589935.1
OG0000000	XP_010600469.2	XP_040592164.1
OG0000001	XP_023407671.1, XP_010591667.1	XP_012981467.1
OG0000002	XP_003413354.2	XP_040596818.1, XP_040597230.1, XP_005080102.1, XP_005083420.1, XP_005083419.1, XP_005083422.1, XP_005083421.1
OG0000003	XP_023411490.1, XP_003421157.1	XP_005086737.1
OG0000003	XP_003416458.1	XP_005086734.1
OG0000003	XP_023396024.1	XP_040611624.1
OG0000003	XP_023403170.1	XP_021091128.1
OG0000003	XP_023411488.1	XP_040611612.1
OG0000003	XP_023396104.1	XP_012967010.1
OG0000003	XP_010599027.1	XP_005067770.2
OG0000003	XP_023397188.1, XP_003422331.1, XP_023397190.1, XP_023397191.1	XP_021079067.1
OG0000004	XP_023411480.1	XP_040611617.1, XP_040611614.1, XP_040611615.1, XP_040611618.1, XP_040611616.1
OG0000004	XP_023396105.1, XP_003421236.1	XP_005067769.1
OG0000004	XP_003409564.1	XP_040608137.1
OG0000004	XP_003409558.1	XP_021091122.2
OG0000004	XP_003405713.1	XP_005072949.1
OG0000004	XP_003409559.1	XP_021091115.2
OG0000005	XP_010595805.1, XP_003405135.2	XP_005079738.2
OG0000005	XP_003405571.1, XP_003405575.1	XP_021088443.2, XP_040610223.1
OG0000005	XP_003405134.2, XP_010599311.1	XP_005079739.1
OG0000005	XP_003405143.1, XP_003405138.1, XP_003405142.1, XP_003405582.1, XP_003405140.1, XP_023396331.1	XP_005079742.2, XP_040611146.1
OG0000005	XP_023396345.1, XP_023396346.1	XP_021088490.2
OG0000005	XP_010601004.1, XP_003405577.2, XP_010600920.2, XP_003405581.2, XP_003405141.2, XP_010599357.1, XP_003405137.3	XP_012975766.3, XP_005079740.2
OG0000005	XP_023396334.1, XP_003405584.2, XP_023396327.1	XP_005079741.1
OG0000005	XP_023396363.1	XP_005079743.1
OG0000007	XP_023399893.1, XP_010585368.2	XP_040589785.1, XP_040589784.1
OG0000007	XP_003406631.2, XP_003406898.2, XP_023399943.1, XP_003406632.1	XP_005086773.1, XP_012981157.2, XP_040589756.1, XP_005087922.1
OG0000008	XP_023399207.1, XP_010586028.2	XP_005085123.2
OG0000008	XP_023396493.1	XP_012981311.2
OG0000008	XP_010599893.1	XP_012980805.2
OG0000008	XP_023411607.1	XP_040607222.1
OG0000008	XP_010594572.1	XP_005080013.1
OG0000008	XP_023398361.1	XP_012966980.1, XP_040607169.1, XP_012974811.2
OG0000008	XP_023413682.1	XP_040589595.1
OG0000008	XP_010595066.1	XP_005076380.2, XP_021086449.1, XP_040592559.1
OG0000010	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1, XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1	XP_040600849.1
OG0000010	XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1	XP_005065040.1
OG0000010	XP_003412119.2, XP_003412120.2	XP_005064625.1
OG0000011	XP_010589614.1	XP_040597859.1
OG0000011	XP_003404600.1	XP_040597868.1
OG0000011	XP_003404609.1	XP_040597855.1
OG0000011	XP_003404610.1	XP_040597852.1
OG0000011	XP_003404608.1	XP_040597857.1, XP_040597858.1
OG0000011	XP_003404601.1	XP_040597867.1
OG0000011	XP_003404607.1	XP_040597854.1
OG0000011	XP_003404606.1	XP_005139286.1
OG0000011	XP_023405595.1	XP_040597863.1
OG0000011	XP_003404605.1	XP_040597860.1
OG0000011	XP_023405607.1	XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1
OG0000011	XP_010589642.2	XP_040597853.1
OG0000012	XP_010594127.1	XP_005088691.1
OG0000012	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1	XP_005080125.1
OG0000012	XP_003416100.1	XP_021088650.1, XP_005080130.1
OG0000012	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1	XP_040599889.1, XP_040599760.1, XP_040599888.1
OG0000013	XP_023398492.1	XP_040591191.1
OG0000013	XP_023398125.1, XP_010600994.2, XP_010600679.2, XP_023398339.1, XP_003423698.3, XP_010600704.1, XP_010600869.1, XP_003423770.1, XP_010600643.1	XP_012973996.2
OG0000014	XP_010584944.1, XP_023399387.1	XP_012980406.1
OG0000014	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1	XP_012980379.2, XP_040590028.1
OG0000015	XP_003413450.1, XP_010601001.1, XP_023407697.1, XP_003423589.2, XP_003422950.1, XP_003422956.1, XP_023407699.1, XP_003423696.3, XP_003422957.2	XP_005077393.1
OG0000016	XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1	XP_040613374.1, XP_040613378.1, XP_040613379.1, XP_040613377.1, XP_040613380.1, XP_040613381.1, XP_040613372.1, XP_040613373.1, XP_040613375.1, XP_012971927.2, XP_005074393.2, XP_040613376.1, XP_021085317.2, XP_005074343.2
OG0000017	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1	XP_005081713.2, XP_040603898.1, XP_040603900.1, XP_040603899.1
OG0000017	XP_003421166.1, XP_003421167.1, XP_003421171.2, XP_003423476.1, XP_003423477.1, XP_023396033.1, XP_003423478.1	XP_005086742.1
OG0000018	XP_010595256.1, XP_003410978.1	XP_005069967.1
OG0000018	XP_023403166.1	XP_021080732.2
OG0000018	XP_023396107.1, XP_023396108.1, XP_003421240.1, XP_023396106.1	XP_005067768.1
