Orthogroup	Saimiri_boliviensis_boliviensis	Canis_lupus_familiaris
OG0000000	XP_039322266.1	XP_038384579.1
OG0000000	XP_039322514.1, XP_039322513.1, XP_010330414.1, XP_039322572.1, XP_039322571.1, XP_010330277.1, XP_010330278.1	XP_038383888.1
OG0000000	XP_010338946.1	XP_038381458.1, XP_038383850.1, XP_038381459.1, XP_038383856.1
OG0000000	XP_010346300.1	XP_038385033.1
OG0000000	XP_003944077.1	XP_038383531.1, XP_038383540.1
OG0000000	XP_010346293.1	XP_038385144.1, XP_038385116.1
OG0000000	XP_039322936.1	XP_038385096.1
OG0000000	XP_003944081.1	XP_038383557.1
OG0000000	XP_010346287.1, XP_003937452.1	XP_038385054.1
OG0000000	XP_003937459.2	XP_038385022.1
OG0000000	XP_010346294.1	XP_038385069.1
OG0000000	XP_039321322.1	XP_038381488.1
OG0000000	XP_010346296.1	XP_038385089.1
OG0000000	XP_010329288.1, XP_010329303.1	XP_038384813.1
OG0000000	XP_003937462.1	XP_038385115.1
OG0000000	XP_039321949.1	XP_038383482.1
OG0000000	XP_010330198.2	XP_038383515.1
OG0000000	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1	XP_038383541.1
OG0000000	XP_010328112.1	XP_038411812.1
OG0000001	XP_003938840.1	XP_038423808.1
OG0000001	XP_003942369.1, XP_003941797.1	XP_038423111.1, XP_038423107.1
OG0000001	XP_003941798.2	XP_038423095.1
OG0000001	XP_039321593.1	XP_038423809.1
OG0000001	XP_039321661.1	XP_038423310.1
OG0000002	XP_003941738.1, XP_003941737.1	XP_038422957.1, NP_001013440.1, XP_038421294.1, NP_001375587.1, XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1
OG0000003	XP_039318518.1	XP_038440278.1, XP_038440289.1, XP_038440279.1
OG0000003	XP_010336292.1	XP_038440354.1, XP_038440365.1, XP_038440353.1, XP_038440333.1
OG0000003	XP_003927316.2	XP_038440297.1
OG0000003	XP_003942039.2	XP_038418003.1
OG0000003	XP_003927328.1	XP_038440305.1
OG0000003	XP_010328072.1	XP_038418004.1, XP_038418006.1, XP_038418005.1
OG0000003	XP_003944864.1	XP_038440352.1
OG0000004	XP_039318561.1, XP_039318562.1, XP_010331118.1	XP_038440340.1
OG0000004	XP_003927315.1, XP_003927325.1	XP_038440277.1
OG0000004	XP_010336293.1, XP_003927318.1	XP_038440275.1
OG0000004	XP_003942031.1	XP_038418001.1
OG0000004	XP_003934600.1	XP_038432800.1
OG0000004	XP_003942032.1	XP_038418002.1
OG0000005	XP_039328185.1	NP_001375871.1, XP_038444903.1, NP_001376078.1
OG0000008	XP_003925271.2	XP_038409055.1
OG0000008	XP_010330062.1, XP_003943915.1	XP_038444566.1
OG0000008	XP_010348446.1, XP_010348453.2	XP_038443189.1, XP_038443224.1
OG0000008	XP_010343119.1, XP_010343120.1	XP_038445242.1
OG0000008	XP_003934299.1	XP_038395427.1
OG0000008	XP_039334172.1	XP_038389738.1, XP_038389739.1, XP_038389737.1, XP_038389736.1
OG0000008	XP_003939553.1	XP_038443214.1
OG0000008	XP_003936386.1	XP_038394427.1
OG0000009	XP_039323181.1, XP_039323182.1, XP_039322117.1, XP_039323153.1, XP_039323204.1, XP_039323205.1, XP_039323297.1, XP_039322063.1, XP_039318499.1, XP_039318502.1, XP_039323216.1, XP_039323349.1, XP_039322104.1, XP_039323189.1, XP_039323188.1, XP_010330939.2, XP_039318501.1, XP_039323282.1, XP_039323265.1, XP_039323139.1	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1
OG0000010	XP_003920483.3	NP_001375563.1
OG0000010	XP_003920480.2	XP_038418409.1, NP_001375564.1
OG0000010	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2	NP_001376103.1, NP_001375879.1
OG0000011	XP_039316746.1	XP_038386314.1
OG0000011	XP_010340082.2	XP_038386305.1
OG0000011	XP_039326277.1	XP_038386315.1
OG0000011	XP_039326275.1	XP_038386324.1
OG0000011	XP_039328029.1	XP_038386308.1
OG0000011	XP_039326453.1	XP_038386303.1
OG0000011	XP_010340091.2	XP_038386309.1
OG0000011	XP_039328900.1	XP_038386325.1
OG0000011	XP_010340171.2	XP_038386316.1
OG0000012	XP_003924128.1	XP_038443043.1, XP_038443045.1, XP_038443044.1
OG0000012	XP_003924126.1	NP_001003116.1
OG0000012	XP_010333223.1	XP_038442406.1, XP_038442407.1
OG0000012	XP_003924124.1	XP_038442409.1
OG0000012	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2	XP_038442408.1, XP_038442410.1
OG0000013	XP_003938964.1	XP_038421256.1
OG0000014	XP_003944066.2	XP_038383494.1
OG0000014	XP_039321716.1	XP_038383510.1
OG0000014	XP_003944453.2	XP_038381446.1
OG0000014	XP_039322204.1	XP_038383493.1
OG0000014	XP_003944064.3, XP_010330201.2, XP_039322778.1	XP_038383498.1, XP_038383503.1
OG0000014	XP_003944057.1	XP_038383497.1, XP_038383496.1
OG0000014	XP_003944055.1	XP_038381450.1
OG0000014	XP_039322215.1, XP_010330682.2, XP_010330643.2, XP_010330639.1, XP_003944452.2	XP_038383509.1, XP_038383508.1
OG0000014	XP_010330631.1	XP_038383445.1
OG0000015	XP_003938968.2	XP_038421309.1
OG0000016	XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1
OG0000017	XP_039331397.1	XP_038402084.1
OG0000018	XP_003930341.1, XP_003931776.1	XP_038402506.1
OG0000018	XP_039316138.1, XP_003942033.1	XP_038417997.1
OG0000018	XP_039318517.1	NP_001361514.1, XP_038440360.1, XP_038440338.1
OG0000019	XP_003935822.1	XP_038445405.1
