Orthogroup	Loxodonta_africana	Saimiri_boliviensis_boliviensis
OG0000000	XP_023398898.1	XP_039322266.1
OG0000000	XP_023399242.1	XP_039322557.1, XP_039322576.1
OG0000000	XP_023399860.1	XP_039322556.1
OG0000000	XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1	XP_039322514.1, XP_039322513.1, XP_010330414.1, XP_039322572.1, XP_039322571.1, XP_010330277.1, XP_010330278.1
OG0000000	XP_003422344.1, XP_023397248.1	XP_010346300.1
OG0000000	XP_023399368.1	XP_003944077.1
OG0000000	XP_023397216.1	XP_039322936.1
OG0000000	XP_010584934.1	XP_003944081.1
OG0000000	XP_023397228.1	XP_010346287.1, XP_003937452.1
OG0000000	XP_010599888.1	XP_003937459.2
OG0000000	XP_023397249.1	XP_010346294.1
OG0000000	XP_010599884.1, XP_023397253.1	XP_039321322.1
OG0000000	XP_023395675.1	XP_039323111.1
OG0000000	XP_023399459.1	XP_039321949.1
OG0000000	XP_003406923.2	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1
OG0000000	XP_010600469.2	XP_010328112.1
OG0000001	XP_010599729.2, XP_023396729.1	XP_003938840.1
OG0000001	XP_023407671.1	XP_039321661.1
OG0000002	XP_003413354.2	XP_003941738.1, XP_003941737.1
OG0000003	XP_023411490.1, XP_003421157.1, XP_003416466.1	XP_039318518.1
OG0000003	XP_003416445.1	XP_010336292.1
OG0000003	XP_023411489.1	XP_039318519.1
OG0000003	XP_023396024.1	XP_010331013.1, XP_039318670.1
OG0000003	XP_023403170.1	XP_003942039.2
OG0000003	XP_023411488.1	XP_003927328.1
OG0000003	XP_023396025.1	XP_003944786.1
OG0000003	XP_023396104.1	XP_003935362.1
OG0000003	XP_010599027.1	XP_010344148.1
OG0000003	XP_023403165.1	XP_010328072.1
OG0000003	XP_003422331.1, XP_023397190.1, XP_023397191.1	XP_003944864.1
OG0000004	XP_023396022.1, XP_003416470.1, XP_023411486.1, XP_003421190.1, XP_003409367.1	XP_010336291.1
OG0000004	XP_003421192.1	XP_039318562.1
OG0000004	XP_003422330.1	XP_003944780.1
OG0000004	XP_023411480.1	XP_003927315.1, XP_003927325.1
OG0000004	XP_023396105.1, XP_003421236.1	XP_003935360.1
OG0000004	XP_023411485.1, XP_003416465.1	XP_010336293.1, XP_003927318.1
OG0000004	XP_003421154.2	XP_010331020.2
OG0000004	XP_003409558.1	XP_003942031.1
OG0000004	XP_003405713.1	XP_003934600.1
OG0000004	XP_003409559.1	XP_003942032.1
OG0000004	XP_003416483.1	XP_003927339.1
OG0000005	XP_003405571.1, XP_003405575.1	XP_039328185.1
OG0000007	XP_003406631.2, XP_003406898.2, XP_023399943.1, XP_003406632.1	XP_039321697.1
OG0000007	XP_010584713.1, XP_003406459.1, XP_003406456.1, XP_003406457.1, XP_023398909.1, XP_023398910.1, XP_023399797.1, XP_003406455.1, XP_003406479.1, XP_023398911.1, XP_003406460.1, XP_003406462.1, XP_003406461.1, XP_003406458.1, XP_010585307.2, XP_023399243.1	XP_010338945.1
OG0000008	XP_010586028.2	XP_003925271.2
OG0000008	XP_023396493.1	XP_010330062.1, XP_003943915.1
OG0000008	XP_023400813.1	XP_010348446.1, XP_010348453.2
OG0000008	XP_023411607.1	XP_010343119.1, XP_010343120.1
OG0000008	XP_010594572.1	XP_003934299.1
OG0000008	XP_023413682.1	XP_003939553.1
OG0000008	XP_010595066.1	XP_003936386.1
