Orthogroup	Rattus_norvegicus	Echinops_telfairi
OG0000000	XP_063133791.1, XP_038947125.2, XP_063128847.1, XP_063133790.1	XP_045148310.1
OG0000000	NP_001128198.1, XP_038944205.1	XP_045148835.1
OG0000000	NP_001094461.1, XP_038943235.1	XP_030742044.2
OG0000000	XP_006255213.1	XP_030742236.1, XP_045148817.1
OG0000000	XP_063133243.1	XP_045148296.1, XP_045148252.1, XP_045148251.1
OG0000000	XP_006228251.1, NP_001008557.1	XP_004715710.1
OG0000000	XP_063119671.1, NP_001387994.1	XP_045142672.1
OG0000001	XP_063124294.1, XP_063118998.1, NP_001103147.2, NP_001395692.1, XP_017455833.1, XP_063132002.1, NP_001128033.2, XP_017450288.1, NP_001396167.1	XP_045156010.1
OG0000001	XP_038948571.1, XP_017455044.1, NP_001382532.1, XP_017455029.1, NP_001171380.1, NP_001396210.1, XP_038957392.1, XP_017454926.2, XP_017445586.1, XP_017445584.1, XP_017453250.1, XP_038952215.1, XP_017452376.2, NP_001381950.1, XP_063137127.1, NP_001395956.1, XP_063136635.1, XP_038962670.1, XP_063141291.1, XP_063141290.1, XP_063141202.1, XP_006253835.3, XP_038962525.2, XP_038962669.1, XP_038962668.1, XP_006235724.3, XP_063141292.1, XP_038962524.2, XP_008760797.2, XP_017457707.1, XP_038954258.2, XP_063124011.1, XP_063122590.1, XP_006238266.1, XP_063136844.1, XP_063136808.1, XP_063123872.1, XP_063136851.1, XP_063136855.1, XP_063136858.1, XP_038954243.2, NP_001156535.1, XP_038936355.1, XP_017449361.1, XP_038943507.2, XP_063141293.1, XP_063141294.1, XP_063141295.1, XP_008760845.2, XP_038964471.1, XP_038962561.1, XP_063137129.1, XP_063140870.1	XP_045148497.1, XP_045143347.1
OG0000001	XP_063138867.1	XP_045156114.1
OG0000003	NP_001396019.1, NP_001396017.1, XP_063132502.1, NP_001100822.1, NP_072173.2, NP_001395862.1	XP_004712547.1
OG0000003	NP_001403243.1	XP_030743047.1
OG0000003	NP_001395954.1	XP_004712545.1, XP_004712556.1
OG0000004	NP_001019453.1	XP_004712557.3
OG0000004	NP_001395771.1	XP_004716624.1
OG0000005	NP_001000060.1	XP_030743198.1
OG0000005	NP_001001365.1, NP_001000938.1, NP_001001382.1, NP_001001385.1, NP_001001361.1	XP_004700918.3
OG0000005	NP_001000075.1	XP_004700923.1
OG0000005	NP_001000700.1, NP_001001356.1	XP_004700650.1, XP_030741266.1
OG0000005	NP_001000061.1	XP_004717924.1
OG0000005	NP_001000055.1	XP_004700643.1
OG0000006	XP_006244762.1	XP_012862570.1
OG0000006	XP_063120688.1, XP_063120689.1, XP_063120693.1, XP_063120692.1, XP_063120691.1, XP_063120732.1, XP_063120731.1, XP_063120734.1, XP_063120733.1, XP_063120690.1, XP_063120687.1, XP_063120686.1	XP_045145606.1
OG0000008	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1	XP_045148515.1, XP_045152547.1
OG0000008	XP_006248929.1, NP_001178593.1	XP_045141709.1
OG0000008	XP_221917.5, NP_001414121.1	XP_045141717.1
OG0000008	NP_001020936.1, XP_063134265.1	XP_045149590.1
OG0000009	NP_001161825.1	XP_045151687.1, XP_045151702.1
OG0000010	XP_038962000.1, NP_001000627.1	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3
OG0000010	NP_001000359.1	XP_004708520.1, XP_030741715.1
OG0000010	NP_001001067.1	XP_004708431.3
OG0000011	NP_001108074.2, NP_001102860.1, NP_001395766.1	XP_012861711.2
OG0000011	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2	XP_012860119.2
OG0000012	NP_001037711.1, XP_063136102.1	XP_004714207.1, XP_012861936.2, XP_012864145.1
OG0000012	NP_001100435.1, XP_003752106.1	XP_012862981.1
OG0000012	NP_001395772.1, NP_001171154.1	XP_045146714.1, XP_045146698.1, XP_045146499.1
OG0000012	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1	XP_004713947.1, XP_004711269.1
OG0000013	NP_001000881.1	XP_004714288.1, XP_004714287.1
OG0000013	XP_017451017.1, NP_001000432.1, NP_001000429.1	XP_004714373.1
OG0000014	XP_006228239.1, XP_008757305.3, NP_001178549.1, XP_038956264.1	XP_045148265.1, XP_045148272.1
OG0000015	NP_001406638.1, NP_001000864.1, XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1, XP_038938790.1, XP_002729926.5	XP_004716911.2
OG0000017	NP_999990.1, NP_001006598.1, NP_001403703.1, NP_775455.1, NP_999987.1, NP_999989.1, NP_001000494.1, XP_038942452.1, NP_001000980.1, NP_001000529.2, NP_999988.1, NP_001000858.1, NP_999995.1, NP_001000979.1, NP_001000857.1, XP_063124604.1, NP_999996.1, XP_063124601.1, NP_999992.1, NP_999993.1, XP_063124602.1, NP_001000523.1, NP_999994.1, NP_001000978.1, XP_017452546.1, NP_999991.1	XP_004706250.1, XP_004706251.1, XP_004706265.1, XP_045141829.1, XP_004706263.1, XP_004706256.1, XP_004706253.1, XP_004706254.3, XP_004706252.1, XP_004717982.2, XP_004706249.2, XP_030740248.1, XP_030740247.1, XP_004706273.1, XP_030740249.1, XP_004706248.1, XP_045141832.1, XP_004706244.1, XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2
OG0000017	NP_001000038.1, NP_001001098.1	XP_004707348.1
OG0000017	NP_001000492.1	XP_012863346.1
OG0000018	NP_001389155.1, NP_001389154.1	XP_012859399.1
OG0000018	NP_001101168.1, NP_001395612.1, XP_063133017.1, XP_063133018.1	XP_004716622.1
OG0000018	NP_001103112.1	XP_004696931.1
OG0000019	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1	XP_004712786.1, XP_004712718.2, XP_004698479.1
OG0000019	XP_017447447.1, NP_001000607.1	XP_004712790.1
OG0000019	NP_001000604.1	XP_004712724.1
OG0000019	NP_001000601.1, NP_001000376.1	XP_004712723.1
OG0000020	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1	XP_030742134.1
OG0000020	NP_001406335.1, XP_063139091.1	XP_045148328.1
OG0000021	NP_001000557.1	XP_004717803.1
OG0000021	NP_001000104.1	XP_030744587.1
OG0000022	XP_008770293.3	XP_012861131.1
OG0000022	NP_001032230.1	XP_012860159.3
OG0000022	NP_001014773.1	XP_030744626.2
OG0000022	NP_001032214.1	XP_045140666.1
OG0000022	NP_001032217.1	XP_004697099.2
OG0000022	NP_001032216.1	XP_045140875.1
OG0000022	NP_001032231.1	XP_030744629.2
OG0000023	XP_017445590.1, NP_001388743.1	XP_030742169.1
OG0000023	XP_056841157.1	XP_012862151.1
OG0000024	NP_775152.2, NP_001000517.1, NP_001000518.1, NP_001000463.1, NP_001000800.1, NP_001000801.1, XP_063122016.1	XP_004714285.1
OG0000026	XP_006257363.1, NP_001102791.1	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1
OG0000027	XP_063123300.1	XP_012861603.1
OG0000027	XP_063119450.1	XP_012862391.1
OG0000027	NP_001019510.1	XP_004710335.1
OG0000027	NP_001099588.1, XP_063132306.1	XP_012862704.1
OG0000028	NP_001000252.1, NP_001396075.1	XP_004715034.1
OG0000028	XP_003749125.1, NP_001000255.1	XP_004715045.2, XP_045152990.1
OG0000029	NP_001000725.1, NP_001001009.1, NP_001000049.1	XP_012861092.2
OG0000029	NP_001000046.1, NP_001000047.1, NP_001000045.1, NP_001000048.1, NP_001000531.1	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2
OG0000031	NP_001001110.1	XP_004717805.1
OG0000031	NP_001001097.1	XP_004697319.1
OG0000031	NP_068632.1	XP_004717464.1, XP_012863974.1
OG0000033	XP_038942584.1, NP_001192277.1	XP_045155424.1
OG0000033	NP_001160049.1, XP_038942799.1	XP_004709364.2
OG0000033	NP_001161136.1	XP_045155427.1, XP_045155234.1
OG0000033	XP_017452644.1, NP_001020282.1, NP_001395662.1, XP_038943714.1, XP_017453231.1, NP_001189392.1	XP_004709367.1, XP_012861717.2
OG0000035	NP_062056.1	XP_004712740.1
OG0000035	NP_062085.1	XP_004712219.1
OG0000035	NP_112266.1	XP_030741765.1
OG0000035	XP_063133716.1, XP_063133717.1, XP_063133715.1	XP_045150155.1
OG0000035	NP_001099879.1	XP_004703656.1
OG0000035	NP_037025.1, XP_006236790.1	XP_030740512.1
OG0000036	NP_114027.2, XP_017445274.1	XP_012859662.1, XP_045147370.1
OG0000036	XP_038952632.1, NP_058854.1, XP_038961177.2, XP_038957345.2, XP_063136433.1, XP_063137106.1, NP_001013926.2, XP_063136421.1	XP_004701114.1
OG0000036	NP_612521.2, XP_038946459.1	XP_004701111.1
OG0000038	NP_001000932.1	XP_012861542.1
OG0000039	NP_001013908.2, NP_001102589.1	XP_004711707.2
OG0000039	NP_775125.1	XP_004711733.1
OG0000039	NP_954525.2	XP_004702931.1
OG0000039	NP_640347.2	XP_045156035.1
OG0000039	XP_003749686.1	XP_004716151.1
OG0000039	NP_001020846.1	XP_004702928.1
OG0000040	NP_001000993.1	XP_004711551.1, XP_004711550.1
OG0000040	NP_001000424.1, XP_006242382.1	XP_004711481.1
OG0000040	NP_001000423.1	XP_004711562.2
OG0000041	NP_001000318.1, NP_001000315.1	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1
OG0000041	NP_001000312.1, NP_001000673.1, NP_001000316.1, NP_001000930.1	XP_012861540.1
