Orthogroup	Urocitellus_parryii	Saimiri_boliviensis_boliviensis
OG0000000	XP_026259515.1	XP_039322266.1
OG0000000	XP_026238407.1	XP_039322514.1, XP_039322513.1, XP_010330414.1, XP_039322572.1, XP_039322571.1, XP_010330277.1, XP_010330278.1
OG0000000	XP_026235051.1	XP_010346300.1
OG0000000	XP_026262699.1	XP_010346293.1
OG0000000	XP_026235903.1	XP_039322936.1
OG0000000	XP_026237094.1	XP_003944081.1
OG0000000	XP_026237210.1	XP_010346287.1, XP_003937452.1
OG0000000	XP_026237216.1	XP_010346294.1
OG0000000	XP_026267304.1	XP_039323111.1
OG0000000	XP_026267921.1	XP_003937462.1
OG0000000	XP_026237455.1	XP_010330198.2
OG0000000	XP_026237090.1, XP_026237089.1	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1
OG0000000	XP_026265638.1	XP_010328112.1
OG0000001	XP_026245818.1, XP_026245589.1, XP_026245763.1, XP_026245594.1, XP_026245673.1, XP_026245671.1, XP_026245675.1, XP_026245672.1, XP_026245636.1, XP_026245635.1	XP_003941813.1, XP_003941806.1, XP_010327794.1, XP_010327790.1, XP_010327793.1, XP_039322483.1, XP_010327802.1, XP_003941872.2, XP_003941814.1, XP_010327783.1, XP_039322280.1
OG0000001	XP_026255633.1	XP_039322643.1
OG0000001	XP_026255459.1	XP_039322614.1
OG0000001	XP_026255460.1	XP_010327863.1
OG0000002	XP_026238504.1, XP_026238350.1, XP_026238584.1	XP_003941738.1, XP_003941737.1
OG0000003	XP_026263461.1, XP_026270378.1, XP_026270377.1	XP_039318518.1
OG0000003	XP_026263459.1	XP_039318519.1
OG0000003	XP_026237648.1	XP_003942039.2
OG0000003	XP_026263464.1	XP_003927328.1
OG0000003	XP_026237966.1	XP_003935362.1
OG0000003	XP_026237965.1	XP_010344148.1
OG0000003	XP_026259839.1	XP_010328072.1
OG0000003	XP_026270385.1	XP_003944862.1, XP_003944864.1
OG0000004	XP_026270382.1	XP_039318561.1, XP_039318562.1, XP_010331118.1
OG0000004	XP_026238606.1	XP_003927315.1
OG0000004	XP_026263455.1	XP_003927325.1
OG0000004	XP_026263457.1	XP_010336293.1, XP_003927318.1
OG0000004	XP_026270403.1	XP_003944860.1, XP_010331020.2
OG0000004	XP_026259837.1	XP_003942031.1
OG0000004	XP_026269954.1	XP_003934600.1
OG0000004	XP_026259838.1	XP_003942032.1
OG0000004	XP_026263475.1	XP_003927339.1
OG0000007	XP_026235559.1	XP_039321715.1
OG0000007	XP_026237661.1, XP_026237675.1, XP_026237678.1, XP_026238595.1, XP_026238594.1, XP_026238338.1, XP_026238538.1, XP_026237663.1, XP_026238337.1, XP_026237676.1, XP_026237677.1, XP_026237662.1, XP_026237660.1, XP_026237659.1	XP_039321697.1
OG0000007	XP_026245659.1, XP_026245658.1, XP_026245660.1, XP_026245657.1	XP_010338945.1
OG0000008	XP_026249121.1	XP_003925271.2
OG0000008	XP_026268615.1	XP_010330062.1, XP_003943915.1
OG0000008	XP_026268556.1	XP_010348446.1, XP_010348453.2
OG0000008	XP_026262971.1	XP_010343119.1, XP_010343120.1
OG0000008	XP_026262968.1	XP_003934299.1
OG0000008	XP_026260312.1	XP_003936386.1
OG0000010	XP_026235016.1	XP_003920483.3
OG0000010	XP_026235001.1	XP_003920480.2
OG0000010	XP_026237833.1, XP_026234999.1, XP_026235002.1	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2
OG0000011	XP_026240285.1	XP_039316464.1, XP_039327340.1
OG0000011	XP_026240157.1	XP_039316746.1
OG0000011	XP_026240169.1	XP_010340082.2
OG0000011	XP_026240287.1	XP_039326277.1
OG0000011	XP_026240286.1	XP_039328082.1, XP_039328036.1
OG0000011	XP_026240203.1	XP_039316705.1, XP_039327835.1, XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1
OG0000011	XP_026240223.1	XP_039328029.1
OG0000011	XP_026240234.1	XP_039328885.1
OG0000011	XP_026240156.1	XP_039326453.1
OG0000011	XP_026240283.1, XP_026240273.1, XP_026240279.1	XP_010340091.2
OG0000012	XP_026267998.1	XP_003924128.1
OG0000012	XP_026236424.1, XP_026236422.1	XP_003924126.1
OG0000012	XP_026265286.1	XP_003924124.1
OG0000012	XP_026265287.1	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2
OG0000012	XP_026252549.1	XP_010334984.1
OG0000013	XP_026267604.1	XP_003938964.1
OG0000013	XP_026267646.1	XP_010347905.2
OG0000014	XP_026237452.1	XP_003944066.2
OG0000014	XP_026237457.1	XP_039321716.1
OG0000014	XP_026237453.1	XP_003944064.3, XP_010330201.2, XP_039322778.1
OG0000014	XP_026238218.1	XP_003944057.1
OG0000014	XP_026238215.1	XP_003944055.1
OG0000014	XP_026235497.1	XP_003944052.3
OG0000014	XP_026235530.1	XP_039322215.1, XP_010330682.2, XP_010330643.2, XP_010330639.1, XP_003944452.2
OG0000014	XP_026235521.1	XP_039322199.1
OG0000015	XP_026237050.1, XP_026237057.1, XP_026238370.1, XP_026238358.1, XP_026238520.1, XP_026237048.1, XP_026238002.1, XP_026238003.1, XP_026238256.1, XP_026237055.1	XP_003938968.2
OG0000016	XP_026254324.1, XP_026238530.1, XP_026254325.1, XP_026254326.1, XP_026253371.1, XP_026253373.1	XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1
OG0000017	XP_026241043.1, XP_026241097.1	XP_039334162.1
OG0000017	XP_026242115.1	XP_010331339.1
OG0000018	XP_026260518.1, XP_026261538.1	XP_003931776.1
OG0000018	XP_026263466.1	XP_003942033.1
OG0000019	XP_026237352.1	XP_003935823.1
OG0000019	XP_026237905.1	XP_003935822.1
OG0000022	XP_026240262.1	XP_010336464.1
OG0000022	XP_026240150.1	XP_039328169.1
OG0000022	XP_026240155.1	XP_003920570.1
OG0000022	XP_026240267.1, XP_026240268.1	XP_010336498.1
OG0000022	XP_026240151.1	XP_010336445.2
OG0000022	XP_026240264.1	XP_003920574.1
OG0000022	XP_026240207.1	XP_010336467.2
OG0000022	XP_026240188.1	XP_039328577.1
OG0000022	XP_026240152.1	XP_039328684.1
OG0000023	XP_026237819.1	XP_010330421.2
OG0000023	XP_026237812.1	XP_039322035.1
OG0000024	XP_026236680.1, XP_026258469.1, XP_026258479.1, XP_026236677.1, XP_026258471.1, XP_026258470.1, XP_026236684.1, XP_026236676.1, XP_026258467.1	XP_003923612.1
OG0000026	XP_026258673.1	XP_010344692.1, XP_010344690.1, XP_010344691.1
OG0000027	XP_026246086.1	XP_010334588.2
OG0000027	XP_026262798.1	XP_010348076.2
OG0000027	XP_026257455.1	XP_039335895.1
