Orthogroup	Canis_lupus_familiaris	Microcebus_murinus
OG0000000	XP_038384579.1	XP_012616738.1
OG0000000	XP_038383888.1	XP_012641044.1, XP_012613266.1, XP_012628339.1, XP_012628337.1, XP_012613289.1
OG0000000	XP_038385033.1	XP_012630310.1
OG0000000	XP_038383531.1, XP_038383540.1	XP_012613228.1
OG0000000	XP_038385116.1	XP_012630387.1
OG0000000	XP_038385096.1	XP_012630382.1, XP_012630385.1, XP_012630384.1, XP_012630383.1, XP_012630381.1, XP_012630380.1
OG0000000	XP_038383557.1	XP_012604394.1
OG0000000	XP_038385054.1	XP_012630386.1
OG0000000	XP_038385022.1	XP_012630265.1
OG0000000	XP_038385069.1	XP_012630372.1
OG0000000	XP_038381488.1	XP_012630285.2
OG0000000	XP_038385089.1	XP_012630378.1
OG0000000	XP_038384813.1	XP_012630058.2
OG0000000	XP_038385115.1	XP_012630232.1
OG0000000	XP_038383482.1	XP_020139008.1
OG0000000	XP_038383515.1	XP_012606846.2
OG0000000	XP_038383541.1	XP_012604505.1, XP_012613248.1
OG0000000	XP_038411812.1	XP_012615665.1
OG0000001	XP_038423808.1	XP_012624815.1
OG0000001	XP_038423111.1, XP_038423107.1	XP_020139505.1
OG0000001	XP_038423095.1	XP_012645964.1
OG0000001	XP_038423809.1	XP_020139610.1
OG0000001	XP_038423310.1	XP_012646178.1, XP_012646169.1
OG0000001	XP_038423296.1	XP_012646150.1
OG0000002	XP_038422957.1, NP_001013440.1, XP_038421294.1, NP_001375587.1, XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1	XP_020139519.1, XP_012646004.2, XP_020139359.1
OG0000003	XP_038440278.1, XP_038440289.1, XP_038440279.1, XP_038440354.1, XP_038440365.1, XP_038440353.1, XP_038440333.1	XP_012596788.1
OG0000003	XP_038440297.1	XP_012596787.1
OG0000003	XP_038418003.1	XP_012597460.1, XP_012597518.1
OG0000003	XP_038440305.1	XP_012597512.1
OG0000003	XP_038440283.1, XP_038440284.1, XP_038440281.1, XP_038440282.1, XP_038440298.1, XP_038440303.1, XP_038440304.1, XP_038440302.1, XP_038440300.1, XP_038440301.1, XP_038440288.1, XP_038440287.1, XP_038440285.1	XP_012596785.1
OG0000003	XP_038418004.1, XP_038418006.1, XP_038418005.1	XP_012609570.1
OG0000003	XP_038440363.1, XP_038440334.1, XP_038440352.1, XP_038440364.1	XP_012597458.1
OG0000004	XP_038440340.1	XP_012597451.1, XP_012597450.1
OG0000004	XP_038440277.1	XP_012596784.1
OG0000004	XP_038418000.1	XP_012609566.1
OG0000004	XP_038440275.1	XP_012596782.1, XP_012596783.1
OG0000004	XP_038418001.1	XP_012609567.1
OG0000004	XP_038432800.1	XP_012609187.1
OG0000004	XP_038418002.1	XP_012609568.1
OG0000005	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1	XP_012610257.1
OG0000005	NP_001375871.1, XP_038444903.1, NP_001376078.1	XP_020143017.1
OG0000005	NP_001375861.1, XP_038444905.1, NP_001376081.1	XP_012609915.1
OG0000005	NP_001376104.1	XP_012609981.1
OG0000006	XP_038400303.1, XP_038400305.1, XP_038400304.1	XP_012625684.2, XP_012601742.1, XP_012606863.1, XP_012595831.2, XP_012596629.2, XP_012616975.2, XP_012609122.2, XP_020143214.1
OG0000006	XP_038407892.1, XP_038444158.1	XP_012599818.2, XP_020145819.1
OG0000007	NP_001346935.1	XP_020139117.1
OG0000007	XP_038381463.1	XP_012613264.2
