Orthogroup	Echinops_telfairi	Canis_lupus_familiaris
OG0000000	XP_045148498.1, XP_045148479.1, XP_045148490.1	XP_038383888.1
OG0000000	XP_045148842.1	XP_038385033.1
OG0000000	XP_045148835.1	XP_038385144.1, XP_038385116.1
OG0000000	XP_045148833.1	XP_038385096.1
OG0000000	XP_030742044.2	XP_038385069.1
OG0000000	XP_030742236.1	XP_038381488.1
OG0000000	XP_045148817.1	XP_038385089.1
OG0000000	XP_045148252.1, XP_045148251.1	XP_038383482.1
OG0000000	XP_004715710.1	XP_038383541.1
OG0000000	XP_045142672.1	XP_038411812.1
OG0000001	XP_045156010.1	XP_038423808.1, XP_038423114.1, XP_038423111.1, XP_038423107.1, XP_038423095.1, XP_038423809.1
OG0000001	XP_045156114.1	XP_038423310.1, XP_038423296.1
OG0000002	XP_004715615.2	NP_001375833.1
OG0000003	XP_004712547.1	XP_038440295.1, XP_038440296.1, XP_038440278.1, XP_038440289.1, XP_038440279.1, XP_038440354.1, XP_038440365.1, XP_038440353.1, XP_038440333.1, XP_038440297.1
OG0000003	XP_030743047.1	XP_038418003.1
OG0000003	XP_004712556.1	XP_038440305.1
OG0000003	XP_004716623.1	XP_038418004.1, XP_038418006.1, XP_038418005.1
OG0000004	XP_004716624.1	XP_038418002.1
OG0000005	XP_030743198.1	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1
OG0000005	XP_004700918.3	NP_001375871.1, XP_038444903.1, NP_001376078.1
OG0000005	XP_004717924.1	NP_001375861.1, XP_038444905.1, NP_001376081.1
OG0000005	XP_004700643.1	NP_001376104.1
OG0000006	XP_012862570.1	XP_038444719.1, XP_038394754.1, XP_038406796.1, XP_038444716.1, XP_038428904.1, XP_038385483.1, XP_038415095.1, XP_038407547.1, XP_038444756.1, XP_038421308.1
OG0000006	XP_045145606.1	XP_038400303.1, XP_038400305.1, XP_038400304.1
OG0000007	XP_030742138.1, XP_004715725.1, XP_030742141.1	XP_038381463.1
OG0000008	XP_045148515.1	XP_038383866.1
OG0000008	XP_045152547.1	XP_038409055.1
OG0000008	XP_045141709.1	XP_038445242.1
OG0000008	XP_045141717.1	XP_038395427.1
OG0000008	XP_045142182.1	XP_038389738.1, XP_038389739.1, XP_038389737.1, XP_038389736.1
OG0000008	XP_045149590.1	XP_038394427.1
OG0000009	XP_045148686.1, XP_004717465.2, XP_045154630.1, XP_004717452.2, XP_045151687.1, XP_045151702.1, XP_030743027.2	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1
OG0000010	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3	XP_038418409.1, NP_001375564.1
OG0000010	XP_004708520.1, XP_030741715.1	NP_001376103.1, NP_001375879.1
OG0000010	XP_004708431.3	NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1
OG0000011	XP_012861711.2	XP_038386308.1
OG0000011	XP_012860119.2	XP_038386309.1
OG0000012	XP_004714207.1, XP_012861936.2, XP_012864145.1	XP_038443043.1, XP_038443045.1, XP_038443044.1
OG0000012	XP_030743784.1, XP_004713945.1	NP_001003116.1
OG0000012	XP_045154605.1	XP_038442406.1, XP_038442407.1
OG0000012	XP_012862981.1	XP_038442402.1, XP_038442403.1, XP_038442409.1
OG0000012	XP_004714205.2	XP_038442401.1
OG0000012	XP_004713947.1, XP_004711269.1	XP_038442408.1, XP_038442410.1
OG0000013	XP_004714288.1, XP_004714287.1	XP_038421256.1
OG0000013	XP_004714376.1	NP_001375605.1
OG0000013	XP_012863082.1, XP_012863083.1	XP_038421257.1, XP_038421258.1, NP_001376074.1, NP_001375607.1
OG0000013	XP_004714375.1, XP_004714374.1	NP_001375608.1
OG0000013	XP_030744122.1, XP_004714364.1, XP_030744186.1, XP_004714369.1, XP_004714366.1, XP_004714365.1, XP_030744172.1, XP_004714368.1, XP_004714371.1, XP_004714370.1, XP_030744124.1	NP_001375609.1
OG0000013	XP_004714373.1	NP_001376117.1
OG0000014	XP_045148253.1	XP_038383494.1
OG0000014	XP_045148695.1	XP_038383498.1, XP_038383503.1
OG0000014	XP_045148265.1, XP_045148272.1	XP_038381450.1
OG0000015	XP_004716911.2	XP_038423317.1, XP_038421309.1
OG0000015	XP_004717431.1	NP_001375602.1
OG0000016	XP_004706676.1	XP_038409208.1
OG0000017	XP_004706000.1	NP_001375733.1
OG0000017	XP_004707348.1	XP_038402084.1
OG0000018	XP_012859399.1	XP_038402506.1
OG0000018	XP_004716622.1	XP_038417997.1
OG0000019	XP_004712788.1, XP_004712719.1, XP_004712720.1, XP_004712787.1, XP_004712721.1, XP_004712791.1	NP_001375695.1
OG0000019	XP_004698479.1	XP_038435794.1
OG0000019	XP_004712723.1	XP_038445405.1
OG0000020	XP_030742134.1, XP_045148328.1, XP_045148327.1, XP_045148329.1	XP_038383733.1, XP_038381457.1
OG0000021	XP_012860623.1, XP_004697282.1, XP_004697280.1, XP_030744593.1, XP_004697311.1, XP_012860657.2, XP_030744718.1, XP_012860659.1, XP_004717377.1, XP_012863941.2, XP_004717372.2, XP_004717798.2, XP_004717375.1, XP_004717804.3, XP_004717803.1	XP_038439912.1
OG0000022	XP_012860159.3	XP_038386332.1
OG0000022	XP_030744626.2	XP_038386347.1
OG0000022	XP_045140666.1	XP_038386342.1
OG0000022	XP_004697099.2	XP_038386333.1
OG0000022	XP_045140875.1	XP_038386334.1
OG0000022	XP_030744629.2	XP_038386340.1
OG0000023	XP_030742169.1	XP_038383955.1
OG0000023	XP_004710771.1, XP_045148514.1, XP_012862162.1	XP_038383893.1
OG0000023	XP_012862150.2, XP_030742168.1	XP_038383936.1, XP_038383935.1, XP_038383934.1
OG0000023	XP_012862151.1	XP_038381467.1
