Orthogroup	Saimiri_boliviensis_boliviensis	Sarcophilus_harrisii
OG0000000	XP_039322266.1	XP_031812992.1
OG0000000	XP_039322567.1, XP_039322569.1, XP_039322564.1, XP_039322566.1, XP_039336058.1, XP_010330281.2, XP_039322557.1, XP_039322576.1, XP_039322556.1, XP_039322514.1, XP_039322513.1, XP_010330414.1, XP_039322572.1, XP_039322571.1, XP_010330277.1, XP_010330278.1	XP_031817705.1
OG0000000	XP_010338946.1, XP_039324031.1, XP_039321673.1, XP_039321400.1, XP_010330711.2, XP_039321425.1, XP_039321418.1, XP_039321412.1, XP_039320155.1, XP_010331289.2, XP_039323208.1, XP_010334138.2, XP_010331230.1, XP_039321404.1, XP_039316661.1, XP_010331229.1, XP_039321397.1, XP_039321411.1, XP_039335007.1, XP_039318893.1	XP_031810195.1, XP_031823895.1, XP_023359536.1
OG0000000	XP_010346300.1, XP_003944077.1, XP_010346293.1, XP_039322936.1, XP_003937449.1, XP_003944081.1, XP_010346287.1, XP_003937452.1, XP_003937459.2, XP_010346294.1, XP_039321322.1, XP_010346296.1, XP_039323111.1, XP_010329288.1, XP_010329303.1, XP_039323028.1, XP_039323027.1, XP_003937462.1	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1
OG0000000	XP_039321949.1, XP_010330198.2, XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1, XP_010328112.1	XP_031800804.1
OG0000001	XP_003938840.1, XP_039323115.1, XP_003941813.1, XP_003941806.1, XP_010327794.1, XP_010327790.1, XP_010327793.1, XP_039322483.1, XP_010327802.1, XP_003941872.2, XP_003941814.1, XP_010327783.1, XP_039322280.1, XP_003942369.1, XP_003941797.1, XP_003941798.2, XP_039322643.1, XP_039322614.1, XP_010327863.1, XP_039321593.1	XP_031815742.1
OG0000001	XP_039321661.1	XP_012401289.1
OG0000002	XP_003941738.1, XP_003941737.1	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2
OG0000003	XP_003927328.1, XP_003944786.1	XP_031824341.1
OG0000003	XP_003935362.1, XP_010344148.1	XP_003769950.1
OG0000003	XP_010328072.1	XP_012404136.1, XP_003770776.2, XP_003770630.2
OG0000003	XP_003944862.1, XP_003944864.1	XP_031823293.1
OG0000004	XP_010336291.1	XP_003767376.1
OG0000004	XP_039318562.1	XP_003768759.1
OG0000004	XP_003942031.1	XP_003769951.1
OG0000004	XP_003934600.1, XP_003942032.1	XP_012405154.1
OG0000004	XP_003927339.1	XP_003768752.1
