Orthogroup	Sarcophilus_harrisii	Echinops_telfairi
OG0000000	XP_031812992.1	XP_030742209.2, XP_045148337.1, XP_045148348.1, XP_045148355.1, XP_045148344.1
OG0000000	XP_023352955.1, XP_031804996.1, XP_031804999.1, XP_031814033.1, XP_031804877.1, XP_031804988.1, XP_031804979.1, XP_031804991.1, XP_031805001.1	XP_030742376.2
OG0000000	XP_031817705.1	XP_045148293.1, XP_045148498.1, XP_045148479.1, XP_045148490.1
OG0000000	XP_031804216.1, XP_031801034.1	XP_045148310.1
OG0000000	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1	XP_045148842.1, XP_045148829.1, XP_045148828.1, XP_045148835.1, XP_045148833.1, XP_030742044.2, XP_030742236.1, XP_045148817.1
OG0000000	XP_031800804.1	XP_045142753.1, XP_045148296.1, XP_045148252.1, XP_045148251.1, XP_004715710.1, XP_045142672.1
OG0000001	XP_031815742.1	XP_045156010.1
OG0000001	XP_031819923.1	XP_045148497.1, XP_045143347.1
OG0000001	XP_012401289.1	XP_045156114.1
OG0000002	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2	XP_004715618.1, XP_004715604.1, XP_004715605.1, XP_004715536.1, XP_012863411.1, XP_030741355.1, XP_004715612.2, XP_004715617.1, XP_004715611.1, XP_004715610.2, XP_004718007.1, XP_045145612.1, XP_045145611.1, XP_004715619.1, XP_004715620.1, XP_030741342.1, XP_004715622.2, XP_004715616.1, XP_004715535.1, XP_004715608.1, XP_004715602.1, XP_045145692.1, XP_004715533.1, XP_030741354.1, XP_004715534.1, XP_030741365.1, XP_004715615.2
OG0000003	XP_031824341.1	XP_004712556.1
OG0000003	XP_012404136.1, XP_003770776.2	XP_004716623.1
OG0000004	XP_003767376.1	XP_004712548.1
OG0000004	XP_012405154.1	XP_004716624.1
OG0000005	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3	XP_030743198.1, XP_004700918.3, XP_004700923.1, XP_004700650.1, XP_030741266.1, XP_004700654.1, XP_004700916.1, XP_004717924.1, XP_004700643.1, XP_004700644.1, XP_004700645.1, XP_004700646.2
OG0000006	XP_031801369.1	XP_045145606.1
OG0000007	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3	XP_030742138.1, XP_004715725.1, XP_030742141.1, XP_012863437.1
OG0000008	XP_031806199.1	XP_045148515.1, XP_045152547.1
OG0000008	XP_023361210.2, XP_031794448.1	XP_045141709.1, XP_045141717.1, XP_045142182.1, XP_045149590.1
OG0000009	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2	XP_045148686.1, XP_004717465.2, XP_045154630.1, XP_004717452.2, XP_045151687.1, XP_045151702.1, XP_030743027.2
OG0000010	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3, XP_004708520.1, XP_030741715.1, XP_004708431.3
OG0000011	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3	XP_012861711.2, XP_012860119.2
