Orthogroup	Loxodonta_africana	Mus_musculus
OG0000000	XP_023398898.1	XP_030098258.1, NP_033587.2
OG0000000	XP_023399368.1	NP_001020334.1
OG0000000	XP_023397216.1, XP_010584934.1	NP_001389468.1
OG0000000	XP_023397228.1, XP_010599888.1	NP_001406212.1
OG0000000	XP_023397249.1	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1
OG0000000	XP_010599884.1, XP_023397253.1	NP_808557.2
OG0000000	XP_003406923.2	NP_001020099.1, XP_006540216.1
OG0000000	XP_010600469.2	NP_001345745.1
OG0000001	XP_023407671.1, XP_010591667.1	XP_030106060.1
OG0000002	XP_003413354.2	NP_666447.1, NP_667251.1, NP_667252.1, NP_667253.1, NP_667282.1
OG0000003	XP_023411476.1	NP_835503.1
OG0000003	XP_003421157.1	NP_001277309.1
OG0000003	XP_003416466.1	NP_835501.1
OG0000003	XP_003409563.1	NP_835586.2
OG0000003	XP_023403170.1	NP_783597.2
OG0000003	XP_023411488.1, XP_023396025.1	NP_783595.1
OG0000003	XP_003416463.1	NP_835507.1
OG0000003	XP_003421153.1	NP_835508.1, NP_835502.1
OG0000003	XP_023396104.1	NP_084358.1
OG0000003	XP_010599027.1	NP_001380452.1
OG0000003	XP_023403165.1, XP_023397188.1, XP_003422331.1, XP_023397190.1, XP_023397191.1	NP_835504.1
OG0000004	XP_023411480.1	NP_835494.1, NP_835496.1, NP_835490.1, NP_835491.1, NP_835492.1, NP_783591.2, NP_835489.1, NP_835493.1, NP_001171015.1, NP_835495.1
OG0000004	XP_023396105.1, XP_003421236.1	NP_835736.1
OG0000004	XP_003409564.1	NP_038577.1
OG0000004	XP_003409562.1	NP_835584.1
OG0000004	XP_003409558.1	NP_835585.3
OG0000004	XP_003405713.1	NP_808356.1
OG0000004	XP_003409559.1	NP_783593.1
OG0000005	XP_010595805.1, XP_003405135.2	NP_667141.1
OG0000005	XP_003405571.1, XP_003405575.1	NP_667138.1, NP_666939.1
OG0000005	XP_003405134.2, XP_010599311.1	NP_666396.1
OG0000005	XP_003405143.1, XP_003405138.1, XP_003405142.1, XP_003405582.1, XP_003405140.1, XP_023396331.1	NP_666758.1
OG0000005	XP_023396345.1, XP_023396346.1	NP_667074.1
OG0000005	XP_010601004.1, XP_003405577.2, XP_010600920.2, XP_003405581.2, XP_003405141.2, XP_010599357.1, XP_003405137.3	NP_666759.1, NP_666755.1
OG0000005	XP_023396334.1, XP_003405584.2, XP_023396327.1	NP_666378.1, NP_996891.2
OG0000005	XP_010595858.1, XP_003405560.1	NP_666490.1
OG0000005	XP_023396363.1	NP_666379.1
OG0000006	XP_023402983.1	XP_036016100.1
OG0000007	XP_003406631.2, XP_003406898.2, XP_023399943.1, XP_003406632.1	NP_598959.1, NP_598961.1
OG0000008	XP_023399207.1, XP_010586028.2	NP_001277279.1
OG0000008	XP_023396493.1	NP_033592.2
OG0000008	XP_010599893.1	NP_001408747.1
OG0000008	XP_023411607.1	NP_067301.1, NP_001346164.1, NP_001038947.1
OG0000008	XP_010594572.1	NP_001276518.1
OG0000008	XP_023398361.1	NP_035888.2, NP_082406.2, XP_006504688.1, NP_766351.3
OG0000008	XP_010595066.1	NP_001355257.1
OG0000009	XP_023397179.1, XP_010600918.1	NP_001108547.1, XP_030105660.1
OG0000010	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1, XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1	NP_667181.1
OG0000010	XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1	NP_667001.1
OG0000010	XP_003412119.2, XP_003412120.2	NP_667194.1
OG0000011	XP_010589626.1	NP_444373.1
OG0000011	XP_010589614.1	NP_444370.1
OG0000011	XP_003404600.1	NP_444357.1
OG0000011	XP_003404609.1	NP_444375.2
OG0000011	XP_003404610.1	NP_444376.1
OG0000011	XP_003404608.1	NP_444374.2
OG0000011	XP_003404601.1	NP_444358.2
OG0000011	XP_003404607.1	NP_444371.3
OG0000011	XP_003404606.1	NP_444372.2
OG0000011	XP_023405595.1	NP_444360.1, NP_444364.3, NP_444362.3
