Orthogroup	Microcebus_murinus	Ictidomys_tridecemlineatus
OG0000000	XP_012616738.1	XP_005338252.2
OG0000000	XP_012626318.1	XP_021576805.2
OG0000000	XP_012641044.1, XP_012613266.1, XP_012628339.1, XP_012628337.1, XP_012613289.1	XP_021576803.1
OG0000000	XP_012630387.1	XP_021576898.1
OG0000000	XP_012630382.1, XP_012630385.1, XP_012630384.1, XP_012630383.1, XP_012630381.1, XP_012630380.1	XP_021576901.1
OG0000000	XP_012604394.1	XP_021576636.1
OG0000000	XP_012630372.1	XP_005342012.1
OG0000000	XP_012630285.2	XP_021576027.1
OG0000000	XP_012630378.1	XP_021576894.1
OG0000000	XP_012630062.1	XP_005342901.3, XP_005336545.1
OG0000000	XP_012630552.1	XP_040135352.1
OG0000000	XP_012630232.1	XP_021576039.1
OG0000000	XP_020139008.1	XP_040146794.1
OG0000000	XP_012606846.2	XP_040136033.1, XP_021576780.1
OG0000000	XP_012604505.1, XP_012613248.1	XP_013221241.1
OG0000000	XP_020143602.1, XP_012615665.1	XP_013212186.1
OG0000001	XP_012646010.1, XP_012645968.1, XP_012645956.1, XP_012645793.1, XP_020139507.1, XP_020139506.1, XP_012646003.1, XP_012645977.2, XP_012645971.1, XP_020139387.1	XP_021587205.1, XP_021587207.1, XP_021587102.1, XP_021587204.1, XP_040146264.1, XP_040146260.1, XP_013217290.1, XP_013217292.1
OG0000001	XP_020139501.1	XP_013218788.2
OG0000001	XP_012645962.2	XP_021589559.1
OG0000001	XP_012646178.1, XP_012646169.1	XP_040137776.1
OG0000002	XP_020139519.1, XP_012646004.2, XP_020139359.1	XP_021577056.1, XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1
OG0000003	XP_012596788.1	XP_005337132.1, XP_013216605.1, XP_005337109.1
OG0000003	XP_012596787.1	XP_005337115.1
OG0000003	XP_012597512.1	XP_005337121.1, XP_005337103.1
OG0000003	XP_012596785.1	XP_021590094.1
OG0000003	XP_012634028.1	XP_005342617.1
OG0000003	XP_012609570.1	XP_005331197.1
OG0000003	XP_012597551.1, XP_012597459.1, XP_012597458.1	XP_005337126.1
OG0000004	XP_012597450.1	XP_013219116.1, XP_005337120.1
OG0000004	XP_012596784.1	XP_013219115.1
OG0000004	XP_012609566.1	XP_005331193.1, XP_005331195.1
OG0000004	XP_012596782.1, XP_012596783.1	XP_040139584.1
OG0000004	XP_012597453.1	XP_013219117.1
OG0000004	XP_012609567.1	XP_021586083.1
OG0000004	XP_012609187.1	XP_005331946.1
