Orthogroup	Sus_scrofa	Loxodonta_africana
OG0000000	XP_020953205.1	XP_023398898.1
OG0000000	XP_020952925.1	XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1
OG0000000	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1	XP_003422344.1, XP_023397248.1
OG0000000	XP_005664948.2	XP_023399368.1
OG0000000	XP_020952815.1	XP_023397246.1
OG0000000	XP_013853826.1	XP_023397216.1
OG0000000	XP_020950760.1	XP_010584934.1
OG0000000	XP_020952794.1	XP_023397228.1
OG0000000	XP_013853905.1	XP_023397249.1
OG0000000	XP_020952895.1	XP_010599884.1, XP_023397253.1
OG0000000	XP_020950037.1	XP_023395675.1
OG0000000	XP_020952983.1	XP_023399407.1
OG0000000	XP_020953072.1	XP_023399459.1
OG0000000	XP_020950733.1	XP_003406923.2
OG0000000	XP_003481363.2	XP_010600469.2
OG0000001	XP_020940803.1	XP_010599729.2, XP_023396729.1
OG0000002	XP_003123457.2, XP_020937693.1, XP_020937428.1, XP_020937989.1, XP_020937422.1, XP_020937698.1, XP_020940765.1, XP_020940766.1, XP_003123429.1, XP_003123435.1, XP_005661279.1, XP_003123450.2, XP_020937687.1, XP_003480815.2, XP_003123451.2, XP_003123462.2, XP_020937696.1, XP_003123498.3, XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1	XP_003413354.2
OG0000002	XP_020942029.1, XP_020942026.1, XP_020942027.1	XP_003413355.2, XP_003413366.1, XP_003413356.1, XP_003423569.1, XP_003413365.2, XP_003413363.1, XP_023408073.1, XP_023408072.1, XP_003413358.1, XP_003413360.1, XP_003423570.1, XP_003413357.1, XP_003413362.2, XP_003413364.1
OG0000003	XP_020955495.1	XP_023411476.1
OG0000003	XP_020955500.1	XP_023411490.1, XP_003421157.1
OG0000003	XP_001927752.1	XP_003416445.1
OG0000003	XP_020955503.1	XP_023396024.1
OG0000003	XP_020945586.1	XP_023403170.1
OG0000003	XP_020954093.1	XP_023411488.1
OG0000003	NP_001230585.1	XP_003416463.1
OG0000003	XP_020939042.1	XP_010599027.1
OG0000003	XP_020945588.1	XP_023403165.1
OG0000003	XP_020955502.1	XP_003422331.1, XP_023397190.1, XP_023397191.1
OG0000004	XP_001927727.1	XP_003421192.1
OG0000004	XP_020954090.1, XP_020954092.1	XP_023411480.1
OG0000004	XP_020939041.1	XP_023396105.1, XP_003421236.1
OG0000004	XP_020954091.1	XP_023411485.1, XP_003416465.1
OG0000004	XP_020945584.1	XP_003409558.1
OG0000004	XP_013853268.2	XP_003405713.1
OG0000004	XP_013852658.1	XP_003409559.1
OG0000004	XP_001925399.1	XP_003416483.1
OG0000005	XP_001926317.2	XP_010595805.1, XP_003405135.2
OG0000005	XP_001927079.3, XP_020937464.1, XP_020937465.1, XP_020947415.1, XP_020936943.1, XP_020937078.1, XP_020938015.1, XP_020936944.1, XP_020937461.1, XP_020936946.1, XP_020937462.1, XP_020937074.1, XP_020936920.1, XP_020937580.1, XP_020946884.1, XP_020947426.1, XP_003126291.3, XP_020947416.1	XP_003405134.2, XP_010599311.1
