Orthogroup	Sarcophilus_harrisii	Mesocricetus_auratus
OG0000000	XP_031812992.1	XP_040590578.1, XP_021078858.2
OG0000000	XP_031805707.1, XP_023352302.1	XP_040586165.1
OG0000000	XP_031817705.1	XP_040589832.1
OG0000000	XP_031810195.1, XP_031823895.1, XP_023359536.1	XP_040613840.1, XP_040613640.1, XP_021091568.2, XP_040613688.1, XP_005065477.2, XP_021091293.1, XP_040613642.1, XP_040613648.1, XP_040613841.1, XP_040587381.1, XP_040587380.1, XP_021088808.1, XP_005069759.1, XP_021079596.1, XP_040597034.1, XP_040590073.1, XP_040590097.1, XP_040590071.1
OG0000000	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1	XP_012980823.1, XP_005085706.2, XP_040590281.1, XP_040590282.1, XP_021078768.2, XP_021078895.1
OG0000000	XP_031800804.1	XP_040613645.1, XP_040589935.1, XP_040592164.1
OG0000001	XP_031815742.1	XP_040597963.1, XP_040597954.1, XP_012976937.1, XP_012974810.3
OG0000001	XP_031819923.1	XP_040598214.1, XP_040591117.1, XP_012981991.2, XP_012981549.1, XP_040589839.1, XP_021084573.2, XP_040596870.1, XP_040598213.1, XP_040597186.1, XP_040597891.1, XP_040598120.1, XP_040606170.1, XP_005074172.1, XP_040613227.1, XP_040597032.1, XP_040596955.1, XP_040591182.1, XP_040586293.1, XP_040589727.1, XP_040596758.1, XP_040599251.1, XP_040596923.1, XP_040596936.1, XP_040592977.1, XP_012980114.1, XP_005069719.1, XP_040596762.1, XP_040592595.1, XP_040597162.1, XP_040597017.1, XP_040590128.1, XP_040591407.1, XP_040600781.1, XP_040593987.1, XP_040593104.1, XP_040593959.1, XP_040598136.1, XP_021087094.1, XP_040589758.1, XP_040596853.1, XP_040611174.1
OG0000001	XP_012401289.1	XP_012981467.1
OG0000002	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2	XP_005087851.1, XP_040596818.1, XP_040597230.1, XP_005080102.1, XP_005083420.1, XP_005083419.1, XP_005083422.1, XP_005083421.1
OG0000003	XP_031824341.1	XP_040611612.1
OG0000003	XP_003769950.1	XP_012967010.1, XP_005067770.2
OG0000003	XP_031823293.1	XP_021079067.1
OG0000004	XP_031823292.1	XP_040608138.1, XP_040608137.1
OG0000004	XP_003769951.1	XP_021091122.2
OG0000004	XP_012405154.1	XP_005072949.1, XP_021091115.2
OG0000005	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3	XP_005079738.2, XP_021088443.2, XP_040610223.1, XP_005079739.1, XP_005079742.2, XP_040611146.1, XP_021088490.2, XP_012975766.3, XP_005079740.2, XP_005079741.1, XP_005079743.1
