Orthogroup	Urocitellus_parryii	Mus_musculus
OG0000000	XP_026259515.1	XP_030098258.1, NP_033587.2
OG0000000	XP_026247644.1, XP_026237883.1, XP_026257775.1	NP_001296303.1, XP_017170821.1, NP_001296302.1, NP_001389832.1, NP_573491.2, NP_001001130.1, NP_938081.2, NP_001012325.2, NP_082678.2, NP_001360967.2, NP_001041669.1, NP_001001186.3, NP_001074410.2, NP_001013791.2, NP_808479.1
OG0000000	XP_026262699.1	NP_690027.1
OG0000000	XP_026235903.1, XP_026237094.1	NP_001389468.1
OG0000000	XP_026237210.1	NP_001406212.1
OG0000000	XP_026237216.1	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1
OG0000000	XP_026237090.1, XP_026237089.1	NP_001020099.1, XP_006540216.1
OG0000000	XP_026265638.1	NP_001345745.1
OG0000001	XP_026237585.1, XP_026236579.1, XP_026237586.1, XP_026237910.1, XP_026235726.1	XP_011247286.1, NP_848504.2
OG0000001	XP_026245818.1, XP_026245589.1, XP_026245763.1, XP_026245594.1, XP_026245673.1, XP_026245671.1, XP_026245675.1, XP_026245672.1, XP_026245636.1, XP_026245635.1	NP_001020121.2, XP_006524318.1
OG0000001	XP_026245661.1, XP_026255633.1, XP_026255459.1	NP_001028985.1
OG0000002	XP_026238504.1, XP_026238350.1, XP_026238584.1	NP_667253.1, NP_667282.1
OG0000003	XP_026270377.1	NP_075911.2, NP_001277309.1
OG0000003	XP_026237648.1	NP_783597.2
OG0000003	XP_026270402.1, XP_026263464.1	NP_783595.1
OG0000003	XP_026237966.1	NP_084358.1
OG0000003	XP_026237965.1	NP_001380452.1
OG0000003	XP_026259839.1, XP_026270399.1, XP_026270385.1	NP_835504.1
OG0000004	XP_026238606.1	NP_835493.1
OG0000004	XP_026238610.1	NP_038577.1, NP_835584.1
OG0000004	XP_026263456.1	NP_783590.1
OG0000004	XP_026259837.1	NP_835585.3
OG0000004	XP_026269954.1	NP_808356.1
OG0000004	XP_026259838.1	NP_783593.1
OG0000005	XP_026237754.1, XP_026236696.1	NP_667141.1
OG0000005	XP_026254205.1	NP_666758.1
OG0000005	XP_026254208.1	NP_667074.1
OG0000005	XP_026237752.1, XP_026254204.1	NP_666378.1, NP_996891.2
OG0000005	XP_026254194.1	NP_666490.1
OG0000005	XP_026254170.1, XP_026254267.1, XP_026254163.1, XP_026254177.1, XP_026254171.1, XP_026254175.1	NP_666379.1
OG0000006	XP_026236425.1	XP_030110853.2
OG0000006	XP_026245409.1, XP_026268252.1, XP_026238327.1, XP_026265281.1, XP_026251594.1, XP_026268248.1, XP_026250486.1, XP_026263551.1, XP_026238340.1, XP_026237231.1, XP_026236588.1, XP_026240291.1, XP_026267714.1, XP_026260361.1	XP_036010828.1
OG0000006	XP_026238559.1	XP_036014909.1, XP_011248102.1, XP_030108145.2, XP_030109804.2, XP_011245720.1, XP_036021580.1, XP_030102923.1, XP_036020532.1, XP_036016100.1, XP_036020530.1, XP_011237194.2, XP_036018054.1
OG0000007	XP_026237661.1, XP_026237675.1, XP_026237678.1, XP_026238595.1, XP_026238594.1, XP_026238338.1, XP_026238538.1, XP_026237663.1, XP_026238337.1, XP_026237676.1, XP_026237677.1, XP_026237662.1, XP_026237660.1, XP_026237659.1	NP_598959.1, NP_598961.1
OG0000007	XP_026238376.1, XP_026237658.1, XP_026238331.1, XP_026238375.1	NP_598953.1, NP_598956.3, NP_598952.1, NP_598954.2, NP_598951.1, NP_598955.1, NP_001160207.1, NP_598991.2, NP_665841.1, NP_001165543.1, NP_598990.2, NP_665847.1, NP_598992.1, NP_001161012.1
OG0000008	XP_026237845.1, XP_026249121.1	NP_001277279.1
OG0000008	XP_026268615.1	NP_033592.2
OG0000008	XP_026235043.1	NP_001408747.1
OG0000008	XP_026262971.1	NP_067301.1, NP_001346164.1, NP_001038947.1
OG0000008	XP_026262968.1	NP_001276518.1
OG0000008	XP_026237339.1, XP_026262695.1	NP_035888.2
OG0000008	XP_026260312.1	NP_001355257.1
OG0000009	XP_026237619.1	NP_001108547.1, XP_030105660.1
OG0000010	XP_026235016.1	XP_017174101.1, NP_667184.2
OG0000010	XP_026235001.1	NP_667181.1
OG0000010	XP_026237833.1, XP_026234999.1, XP_026235002.1	NP_667001.1
OG0000010	XP_026235003.1, XP_026235031.1, XP_026235037.1, XP_026235026.1, XP_026235005.1, XP_026235024.1	NP_667194.1
OG0000011	XP_026240285.1	NP_444373.1
OG0000011	XP_026240157.1	NP_444370.1
OG0000011	XP_026240169.1	NP_444357.1
OG0000011	XP_026240287.1	NP_444375.2
OG0000011	XP_026240286.1	NP_444374.2
OG0000011	XP_026240203.1	NP_444371.3, NP_444372.2
OG0000011	XP_026240223.1	NP_444360.1, NP_444364.3, NP_444362.3
OG0000011	XP_026240234.1	NP_444369.3
OG0000011	XP_026240156.1	NP_444368.1
OG0000011	XP_026240283.1, XP_026240273.1, XP_026240279.1	NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1
OG0000012	XP_026267998.1	NP_776144.1
OG0000012	XP_026265286.1	XP_006527991.1, NP_001094920.1
OG0000012	XP_026267996.1	NP_112448.1, NP_034889.1, NP_032571.2
OG0000012	XP_026265287.1	NP_001028664.2
OG0000013	XP_026267604.1	NP_001011824.1, NP_001011823.1
OG0000013	XP_026267656.1	NP_666733.1, NP_666734.1
OG0000013	XP_026267646.1	NP_997028.1
OG0000013	XP_026267655.1, XP_026267654.1	NP_667117.1
OG0000014	XP_026238215.1	NP_666291.2
OG0000014	XP_026235497.1	NP_033603.2
OG0000015	XP_026238401.1	NP_666774.1
OG0000015	XP_026237057.1	NP_666770.1, NP_666769.1
OG0000015	XP_026237048.1	NP_666772.1
OG0000016	XP_026254324.1, XP_026238530.1, XP_026254325.1, XP_026254326.1, XP_026253371.1, XP_026253373.1	NP_034637.1, NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2, NP_796321.1
OG0000017	XP_026241043.1, XP_026241097.1	NP_667071.1
OG0000017	XP_026245802.1	NP_666450.2
OG0000017	XP_026242115.1	NP_667152.1, NP_667153.1
OG0000017	XP_026269685.1	NP_666404.1
OG0000018	XP_026260518.1, XP_026261538.1	NP_032237.1
OG0000018	XP_026263466.1	NP_835734.2, NP_783584.1
OG0000018	XP_026263454.1	NP_038576.1
OG0000018	XP_026237964.1	NP_001304932.1
OG0000019	XP_026237322.1, XP_026237907.1, XP_026237350.1	NP_666953.1, NP_666661.2, NP_001011787.1, NP_001011803.2, NP_997034.1, NP_666474.1
OG0000019	XP_026237345.1	NP_666514.2
OG0000019	XP_026237347.1	NP_666513.2
OG0000019	XP_026237352.1	NP_666386.1
OG0000019	XP_026237905.1	NP_666660.1
OG0000020	XP_026238549.1, XP_026237159.1	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1
OG0000021	XP_026238466.1	NP_666402.2
OG0000022	XP_026240262.1	NP_291065.3
OG0000022	XP_026240150.1	NP_291072.1
OG0000022	XP_026240155.1	NP_291068.2
OG0000022	XP_026240267.1, XP_026240268.1	NP_291069.1
OG0000022	XP_026240151.1	NP_291071.1
OG0000022	XP_026240264.1	NP_291066.1
OG0000022	XP_026240207.1	NP_291062.1
OG0000022	XP_026240188.1	NP_291063.1
OG0000022	XP_026240152.1	NP_291064.1
OG0000024	XP_026236673.1, XP_026258497.1	NP_666650.1, NP_667041.2
OG0000024	XP_026236675.1	NP_666958.1, NP_666957.1
