Orthogroup	Saimiri_boliviensis_boliviensis	Mus_musculus
OG0000000	XP_039322266.1	XP_030098258.1, NP_033587.2
OG0000000	XP_010330281.2	NP_663458.2
OG0000000	XP_039324031.1, XP_039321673.1, XP_039321400.1, XP_010330711.2, XP_039321425.1, XP_039321418.1, XP_039321412.1, XP_039320155.1, XP_010331289.2, XP_039323208.1, XP_010334138.2, XP_010331230.1, XP_039321404.1, XP_039316661.1, XP_010331229.1, XP_039321397.1, XP_039321411.1, XP_039335007.1, XP_039318893.1	NP_001094948.1
OG0000000	XP_003944077.1	NP_001020334.1
OG0000000	XP_010346293.1	NP_690027.1
OG0000000	XP_039322936.1, XP_003937449.1, XP_003944081.1	NP_001389468.1
OG0000000	XP_010346287.1, XP_003937452.1, XP_003937459.2	NP_001406212.1
OG0000000	XP_010346294.1	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1
OG0000000	XP_039321322.1, XP_010346296.1	NP_808557.2
OG0000000	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1	NP_001020099.1, XP_006540216.1
OG0000000	XP_010328112.1	NP_001345745.1
OG0000001	XP_003941813.1, XP_003941806.1, XP_010327794.1, XP_010327790.1, XP_010327793.1, XP_039322483.1, XP_010327802.1, XP_003941872.2, XP_003941814.1, XP_010327783.1, XP_039322280.1	NP_001020121.2, XP_006524318.1
OG0000001	XP_003942369.1, XP_003941797.1, XP_003941798.2, XP_039322643.1, XP_039322614.1	NP_001028985.1
OG0000001	XP_039321661.1	XP_030106060.1
OG0000002	XP_003941738.1, XP_003941737.1	NP_667253.1, NP_667282.1
OG0000003	XP_039318518.1	NP_001171124.1, NP_075911.2, NP_001277309.1, NP_835501.1
OG0000003	XP_003927313.1	NP_001277459.1
OG0000003	XP_003942039.2	NP_783597.2
OG0000003	XP_003927328.1, XP_003944786.1	NP_783595.1
OG0000003	XP_003935362.1	NP_084358.1
OG0000003	XP_010344148.1	NP_001380452.1
OG0000003	XP_010328072.1, XP_003944862.1, XP_003944864.1	NP_835504.1
OG0000004	XP_003927315.1	NP_835490.1, NP_835491.1, NP_835492.1, NP_783591.2, NP_835489.1, NP_835493.1
OG0000004	XP_003935360.1	NP_835736.1
OG0000004	XP_003942031.1	NP_835585.3
OG0000004	XP_003934600.1	NP_808356.1
OG0000004	XP_003942032.1	NP_783593.1
OG0000005	XP_039328185.1	NP_667138.1, NP_666939.1
OG0000007	XP_039321697.1	NP_598959.1, NP_598961.1
OG0000008	XP_003925271.2	NP_001277279.1
OG0000008	XP_010330062.1, XP_003943915.1	NP_033592.2
OG0000008	XP_010343119.1, XP_010343120.1	NP_067301.1, NP_001346164.1, NP_001038947.1
OG0000008	XP_003934299.1	NP_001276518.1
OG0000008	XP_003936386.1	NP_001355257.1
OG0000010	XP_003920483.3	XP_017174101.1, NP_667184.2
OG0000010	XP_003920480.2	NP_667181.1
OG0000010	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2	NP_667001.1
OG0000011	XP_039316464.1, XP_039327340.1	NP_444373.1
OG0000011	XP_039316746.1	NP_444370.1
OG0000011	XP_010340082.2	NP_444357.1
OG0000011	XP_039326277.1	NP_444375.2
OG0000011	XP_039326275.1	NP_444376.1
OG0000011	XP_039328082.1, XP_039328036.1	NP_444374.2
OG0000011	XP_039316705.1, XP_039327835.1	NP_444371.3
OG0000011	XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1	NP_444372.2
OG0000011	XP_039328029.1	NP_444360.1, NP_444364.3, NP_444362.3
OG0000011	XP_039328885.1	NP_444369.3
OG0000011	XP_039326453.1	NP_444368.1
OG0000011	XP_010340091.2	NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1
OG0000011	XP_010340171.2	NP_444377.3
OG0000012	XP_003924128.1	NP_776144.1
OG0000012	XP_003924124.1	XP_006527991.1, NP_001094920.1
OG0000012	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2	NP_001028664.2
OG0000013	XP_003938964.1	NP_001011824.1, NP_001011823.1
OG0000013	XP_010347905.2	NP_997028.1
OG0000014	XP_003944055.1	NP_666291.2
OG0000014	XP_003944052.3	NP_033603.2
OG0000015	XP_003938968.2	NP_666770.1, NP_666769.1, NP_666772.1
OG0000016	XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1	NP_034637.1, NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2, NP_796321.1
OG0000017	XP_039334162.1	NP_667071.1
OG0000017	XP_003944789.1	NP_666395.2
OG0000017	XP_039331397.1	NP_001011863.1, NP_001349594.1, NP_035132.2
OG0000017	XP_010331339.1	NP_667152.1, NP_667153.1
OG0000018	XP_003931776.1	NP_032237.1
OG0000018	XP_003942033.1	NP_835734.2, NP_783584.1
OG0000018	XP_003927331.1, XP_010331012.2, XP_039318517.1	NP_835514.1
OG0000018	XP_010336290.1	NP_038578.2
OG0000018	XP_039324008.1, XP_010350016.2	NP_001074488.1, NP_001357860.1
OG0000019	XP_003935823.1	NP_666386.1
OG0000019	XP_003935822.1	NP_666660.1
