Orthogroup	Echinops_telfairi	Myotis_lucifugus
OG0000000	XP_045148293.1, XP_045148498.1, XP_045148479.1, XP_045148490.1	XP_023620736.1
OG0000000	XP_045148842.1	XP_023616360.1
OG0000000	XP_045148835.1	XP_023618147.1
OG0000000	XP_045148833.1	XP_006098677.1
OG0000000	XP_030742044.2	XP_014319713.1
OG0000000	XP_030742236.1	XP_023616328.1
OG0000000	XP_045148817.1	XP_006098666.1
OG0000000	XP_004715710.1	XP_006109488.2, XP_023604206.1
OG0000000	XP_045142672.1	XP_006107371.2
OG0000001	XP_045156010.1	XP_023601577.1, XP_023600178.1, XP_023602735.1, XP_014301019.2, XP_006103138.1, XP_006104610.1, XP_014303641.1, XP_006103139.1, XP_014301016.2, XP_006103137.3, XP_006109167.1, XP_023600179.1, XP_023600175.1, XP_014301002.2, XP_014302358.1
OG0000002	XP_004715618.1, XP_004715604.1, XP_004715605.1, XP_004715536.1, XP_012863411.1, XP_030741355.1, XP_004715612.2, XP_004715617.1, XP_004715611.1, XP_004715610.2, XP_004718007.1, XP_045145612.1, XP_045145611.1, XP_004715619.1, XP_004715620.1, XP_030741342.1, XP_004715622.2, XP_004715616.1, XP_004715535.1, XP_004715608.1, XP_004715602.1, XP_045145692.1, XP_004715533.1, XP_030741354.1, XP_004715534.1, XP_030741365.1, XP_004715615.2	XP_006108663.1, XP_006106497.1, XP_014321261.1, XP_006106784.1, XP_006100410.1, XP_006106501.1, XP_014321263.1, XP_006106783.1, XP_006108546.2, XP_014304154.1, XP_014304155.1, XP_014304265.1, XP_006106494.1
OG0000003	XP_004712547.1	XP_006105760.1, XP_006105762.1, XP_006107727.1, XP_023602528.1, XP_006105761.1, XP_014303297.1, XP_006106487.1, XP_006105897.1, XP_023602527.1, XP_006105901.1, XP_006105765.1
OG0000003	XP_004712556.1	XP_006105754.1
OG0000003	XP_004716623.1	XP_006095234.1, XP_006105894.1
OG0000004	XP_004712558.1	XP_014303409.1
OG0000004	XP_004716624.1	XP_006095233.1
OG0000005	XP_030743198.1	XP_006101362.1, XP_006101381.1
OG0000005	XP_004700918.3	XP_006101384.1, XP_006101386.2, XP_014322144.1, XP_006101385.1, XP_006101387.1, XP_023620581.1, XP_006101388.1, XP_006101389.1
OG0000005	XP_004700650.1, XP_030741266.1	XP_006101365.1
OG0000005	XP_004717924.1	XP_006101378.1
OG0000005	XP_004700643.1	XP_006101368.1
OG0000006	XP_012862570.1	XP_023606226.1, XP_023601033.1, XP_023611373.1, XP_023602675.1, XP_023605007.1, XP_023605031.1, XP_023620624.1, XP_023606225.1, XP_023603621.1, XP_023602676.1, XP_023602721.1, XP_023607947.1, XP_023605259.1, XP_023604781.1, XP_023607122.1, XP_023611083.1
OG0000006	XP_045145606.1	XP_023611739.1
OG0000008	XP_045148515.1	XP_023603086.1, XP_023603088.1
OG0000008	XP_045152547.1	XP_023609052.1
OG0000008	XP_045141709.1	XP_014318909.1
OG0000008	XP_045141717.1	XP_023617197.1
OG0000008	XP_045149590.1	XP_023618878.1
OG0000010	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3	XP_006091995.1
OG0000011	XP_012861711.2	XP_006109698.1
OG0000011	XP_012860119.2	XP_006086526.1
OG0000012	XP_004714207.1, XP_012861936.2, XP_012864145.1	XP_006085710.1
OG0000012	XP_030743784.1, XP_004713945.1	XP_006085742.1
OG0000012	XP_045154605.1	XP_014308588.1, XP_006085741.1
OG0000012	XP_012862981.1	XP_014308586.1, XP_006085739.1, XP_006085740.1, XP_014308590.1
OG0000012	XP_045146714.1, XP_045146698.1, XP_045146499.1	XP_006085738.1
OG0000012	XP_004713947.1, XP_004711269.1	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1
OG0000012	XP_004710064.1	XP_006088682.1
OG0000013	XP_004714288.1, XP_004714287.1	XP_006102505.1
OG0000013	XP_004714376.1	XP_006102520.1
OG0000013	XP_030744122.1, XP_004714364.1, XP_030744186.1, XP_004714369.1, XP_004714366.1, XP_004714365.1, XP_030744172.1, XP_004714368.1, XP_004714371.1, XP_004714370.1, XP_030744124.1	XP_006102519.1, XP_014323272.1
OG0000014	XP_045148263.1	XP_014314720.1
OG0000014	XP_045148695.1	XP_023604027.1, XP_014304991.1, XP_014304989.1
OG0000015	XP_004716911.2	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1
OG0000015	XP_004717431.1	XP_014323262.2
OG0000016	XP_004706619.1, XP_004706620.1, XP_004706617.1	XP_006109610.1, XP_023605073.1, XP_006108782.1, XP_006098173.1, XP_006108783.1, XP_006098177.1, XP_006098175.1, XP_006098178.1, XP_006098179.1, XP_014319259.1, XP_006098180.1
OG0000017	XP_004706000.1	XP_006081579.1
OG0000017	XP_012863346.1	XP_014315670.1
OG0000018	XP_012859399.1	XP_014301359.1
OG0000018	XP_004716622.1	XP_006095231.1
OG0000019	XP_004698479.1	XP_006087532.1
OG0000019	XP_004712790.1	XP_006087533.1
OG0000019	XP_004712723.1	XP_014310270.1
OG0000020	XP_030742134.1	XP_014322076.2
OG0000020	XP_045148328.1	XP_023605092.1
OG0000020	XP_045148327.1, XP_045148329.1	XP_023603961.1, XP_023605176.1, XP_023603177.1
OG0000022	XP_012861131.1	XP_006086666.1
OG0000022	XP_012860159.3	XP_006086504.1
OG0000022	XP_030744626.2	XP_006086502.1
OG0000022	XP_045140666.1	XP_023607849.1
OG0000022	XP_004697099.2	XP_023607811.1
OG0000022	XP_045140875.1	XP_023607808.1
OG0000023	XP_030742169.1	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2
