Orthogroup	Canis_lupus_familiaris	Ursus_americanus
OG0000000	XP_038384579.1	XP_045672096.1
OG0000000	XP_038383925.1	XP_045645193.1
OG0000000	XP_038383888.1	XP_045645194.1
OG0000000	XP_038381458.1	XP_045645200.1
OG0000000	XP_038383850.1	XP_045645398.1, XP_045645415.1, XP_045645396.1, XP_045645391.1
OG0000000	XP_038383856.1	XP_045645195.1
OG0000000	XP_038385033.1	XP_045642231.1
OG0000000	XP_038383531.1, XP_038383540.1	XP_045630167.1, XP_045630164.1
OG0000000	XP_038385144.1	XP_045661175.1
OG0000000	XP_038385116.1	XP_045661221.1
OG0000000	XP_038385096.1	XP_045661136.1
OG0000000	XP_038383557.1	XP_045630187.1
OG0000000	XP_038385054.1	XP_045661152.1
OG0000000	XP_038385022.1	XP_045661176.1
OG0000000	XP_038385069.1	XP_045661198.1
OG0000000	XP_038381488.1	XP_045661205.1
OG0000000	XP_038385089.1	XP_045661204.1
OG0000000	XP_038384813.1	XP_045641316.1
OG0000000	XP_038385115.1	XP_045642108.1
OG0000000	XP_038383482.1	XP_045629146.1
OG0000000	XP_038383515.1	XP_045629728.1
OG0000000	XP_038383541.1	XP_045630174.1
OG0000000	XP_038411812.1	XP_045633339.1
OG0000001	XP_038423808.1	XP_045656004.1
OG0000001	XP_038423114.1	XP_045630521.1
OG0000001	XP_038423111.1	XP_045630538.1
OG0000001	XP_038423107.1	XP_045630542.1
OG0000001	XP_038423095.1	XP_045630524.1, XP_045630526.1
OG0000001	XP_038423809.1	XP_045656038.1
OG0000001	XP_038423310.1	XP_045630322.1
OG0000002	NP_001375586.1	XP_045634378.1
OG0000002	NP_001375600.1	XP_045653415.1, XP_045659601.1, XP_045660122.1, XP_045653432.1, XP_045660182.1, XP_045659597.1, XP_045653429.1, XP_045660179.1, XP_045660162.1, XP_045660163.1, XP_045660181.1, XP_045660180.1, XP_045659596.1, XP_045660123.1, XP_045643395.1, XP_045659595.1, XP_045659590.1, XP_045653428.1, XP_045653446.1, XP_045660133.1, XP_045659603.1
OG0000002	NP_001375957.1	XP_045660146.1
OG0000002	NP_001375593.1	XP_045660127.1
OG0000002	NP_001375589.1	XP_045660134.1, XP_045660150.1, XP_045660149.1, XP_045660138.1, XP_045643397.1, XP_045660187.1, XP_045659606.1, XP_045653435.1, XP_045659604.1, XP_045659600.1, XP_045653431.1, XP_045653434.1, XP_045653440.1, XP_045653444.1, XP_045659849.1, XP_045659605.1
OG0000002	XP_038422957.1	XP_045659598.1, XP_045653430.1
OG0000002	NP_001013440.1	XP_045660115.1, XP_045660131.1, XP_045660141.1, XP_045660136.1, XP_045660143.1, XP_045660178.1, XP_045660160.1, XP_045660186.1, XP_045643396.1, XP_045660185.1, XP_045643394.1
OG0000002	XP_038421296.1	XP_045659850.1
OG0000002	XP_038421302.1	XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1
OG0000002	XP_038421293.1, XP_038421292.1	XP_045633912.1
OG0000002	NP_001375819.1	XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1
OG0000002	NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1	XP_045659602.1
OG0000002	NP_001375817.1	XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1
OG0000002	XP_038422956.1	XP_045660125.1, XP_045660120.1, XP_045660119.1
OG0000002	NP_001375596.1, NP_001375594.1	XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1
OG0000003	XP_038440279.1	XP_045656370.1
OG0000003	XP_038418003.1	XP_045656371.1
OG0000003	XP_038440305.1	XP_045656416.1
OG0000003	XP_038440283.1, XP_038440284.1, XP_038440281.1, XP_038440282.1, XP_038440298.1, XP_038440303.1, XP_038440304.1, XP_038440302.1, XP_038440300.1, XP_038440301.1, XP_038440288.1, XP_038440287.1, XP_038440285.1, XP_038440286.1	XP_045656412.1
OG0000003	XP_038418004.1, XP_038418006.1, XP_038418005.1	XP_045633094.1
OG0000003	XP_038440363.1, XP_038440334.1, XP_038440352.1	XP_045656365.1
OG0000004	XP_038440340.1	XP_045656361.1
OG0000004	XP_038440277.1	XP_045656406.1, XP_045656405.1
OG0000004	XP_038440276.1	XP_045656359.1, XP_045656404.1
OG0000004	XP_038418000.1	XP_045633095.1, XP_045633096.1
OG0000004	XP_038440275.1	XP_045656403.1
OG0000004	XP_038440341.1	XP_045656362.1
OG0000004	XP_038418001.1	XP_045633092.1
OG0000004	XP_038432800.1	XP_045637404.1
OG0000004	XP_038418002.1	XP_045633093.1
OG0000005	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1	XP_045632498.1, XP_045652424.1
OG0000005	NP_001375871.1, XP_038444903.1, NP_001376078.1	XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1
OG0000005	NP_001375861.1, XP_038444905.1, NP_001376081.1	XP_045652430.1, XP_045652427.1, XP_045632518.1
