Orthogroup	Ursus_americanus	Saimiri_boliviensis_boliviensis
OG0000000	XP_045672096.1	XP_039322266.1
OG0000000	XP_045645194.1	XP_039336058.1, XP_010330281.2, XP_039322557.1, XP_039322576.1, XP_039322556.1, XP_039322514.1, XP_039322513.1, XP_010330414.1, XP_039322572.1, XP_039322571.1, XP_010330277.1, XP_010330278.1
OG0000000	XP_045645200.1, XP_045645398.1, XP_045645415.1, XP_045645396.1, XP_045645391.1, XP_045645195.1	XP_010338946.1
OG0000000	XP_045642231.1	XP_010346300.1
OG0000000	XP_045630167.1, XP_045630164.1	XP_003944077.1
OG0000000	XP_045661175.1, XP_045661221.1	XP_010346293.1
OG0000000	XP_045661136.1	XP_039322936.1
OG0000000	XP_045630187.1	XP_003944081.1
OG0000000	XP_045661152.1	XP_010346287.1, XP_003937452.1
OG0000000	XP_045661176.1	XP_003937459.2
OG0000000	XP_045661198.1	XP_010346294.1
OG0000000	XP_045661205.1	XP_039321322.1
OG0000000	XP_045661204.1	XP_010346296.1
OG0000000	XP_045641316.1	XP_010329288.1, XP_010329303.1
OG0000000	XP_045642070.1	XP_039323028.1, XP_039323027.1
OG0000000	XP_045642108.1	XP_003937462.1
OG0000000	XP_045629146.1	XP_039321949.1
OG0000000	XP_045629728.1	XP_010330198.2
OG0000000	XP_045630174.1	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1
OG0000000	XP_045633339.1	XP_010328112.1
OG0000001	XP_045656004.1	XP_003938840.1
OG0000001	XP_045630538.1, XP_045630542.1	XP_003942369.1, XP_003941797.1
OG0000001	XP_045630524.1, XP_045630526.1	XP_003941798.2
OG0000001	XP_045656038.1	XP_039321593.1
OG0000001	XP_045630322.1	XP_039321661.1
OG0000002	XP_045659598.1, XP_045653430.1, XP_045660115.1, XP_045660131.1, XP_045660141.1, XP_045660136.1, XP_045660143.1, XP_045660178.1, XP_045660160.1, XP_045660186.1, XP_045643396.1, XP_045660185.1, XP_045643394.1, XP_045659594.1, XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1	XP_003941738.1, XP_003941737.1
OG0000003	XP_045656410.1, XP_045656415.1, XP_045656367.1, XP_045656299.1, XP_045656370.1	XP_039318518.1
OG0000003	XP_045656408.1	XP_003927313.1
OG0000003	XP_045656371.1	XP_010331013.1, XP_039318670.1, XP_010331015.1, XP_003942039.2
OG0000003	XP_045656416.1	XP_003927328.1
OG0000003	XP_045656369.1	XP_003944786.1
OG0000003	XP_045659934.1	XP_003935362.1
OG0000003	XP_045659933.1	XP_010344148.1
OG0000003	XP_045633098.1, XP_045633097.1, XP_045633094.1	XP_010328072.1
OG0000003	XP_045656365.1	XP_003944864.1
OG0000004	XP_045656361.1	XP_039318561.1, XP_039318562.1, XP_010331118.1
OG0000004	XP_045656358.1	XP_003944780.1
OG0000004	XP_045656405.1	XP_003927315.1
OG0000004	XP_045656403.1	XP_010336293.1, XP_003927318.1
OG0000004	XP_045656363.1	XP_003944860.1
OG0000004	XP_045633092.1	XP_003942031.1
OG0000004	XP_045637404.1	XP_003934600.1
OG0000004	XP_045633093.1	XP_003942032.1
OG0000004	XP_045656431.1	XP_003927339.1
OG0000005	XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1	XP_039328185.1
OG0000007	XP_045629912.1	XP_039321715.1
OG0000007	XP_045645201.1, XP_045631120.1	XP_039321697.1
OG0000007	XP_045645182.1	XP_010330276.2
OG0000008	XP_045670779.1	XP_003925271.2
OG0000008	XP_045644759.1	XP_010330062.1, XP_003943915.1
OG0000008	XP_045651930.1	XP_010348446.1, XP_010348453.2
OG0000008	XP_045669366.1	XP_010343119.1, XP_010343120.1
OG0000008	XP_045669362.1	XP_003934299.1
OG0000008	XP_045658297.1	XP_039334172.1
OG0000008	XP_045670809.1	XP_003936386.1
OG0000009	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1	XP_039323181.1, XP_039323182.1, XP_039322117.1, XP_039323153.1, XP_039323204.1, XP_039323205.1, XP_039323297.1, XP_039322063.1, XP_039318499.1, XP_039318502.1, XP_039323216.1, XP_039323349.1, XP_039322104.1, XP_039323189.1, XP_039323188.1, XP_010330939.2, XP_039318501.1, XP_039323282.1, XP_039323265.1, XP_039323139.1
OG0000010	XP_045642840.1	XP_003920483.3
OG0000010	XP_045642833.1, XP_045642838.1	XP_003920480.2
OG0000010	XP_045642839.1	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2
OG0000011	XP_045650413.1	XP_039316464.1, XP_039327340.1
OG0000011	XP_045650417.1	XP_039316746.1
OG0000011	XP_045650426.1	XP_010340082.2
OG0000011	XP_045650411.1	XP_039326277.1
OG0000011	XP_045650409.1	XP_039326275.1
OG0000011	XP_045650412.1	XP_039328082.1, XP_039328036.1
OG0000011	XP_045650416.1	XP_039316705.1, XP_039327835.1
OG0000011	XP_045650414.1	XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1
OG0000011	XP_045650423.1	XP_039328029.1
OG0000011	XP_045650419.1	XP_039326453.1
OG0000011	XP_045650422.1	XP_010340091.2
OG0000011	XP_045650410.1	XP_039328900.1
OG0000011	XP_045650407.1	XP_010340171.2
OG0000012	XP_045659615.1	XP_003924128.1
OG0000012	XP_045660985.1, XP_045660983.1	XP_003924126.1
OG0000012	XP_045660984.1	XP_010333223.1
OG0000012	XP_045634849.1	XP_003924124.1
OG0000012	XP_045634850.1, XP_045634848.1	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2
OG0000012	XP_045660009.1	XP_010334984.1
OG0000013	XP_045630277.1	XP_003938964.1
OG0000014	XP_045629486.1	XP_003944066.2
OG0000014	XP_045629702.1	XP_039321716.1
OG0000014	XP_045629270.1	XP_003944453.2
OG0000014	XP_045629750.1, XP_045629740.1	XP_039322204.1
OG0000014	XP_045629613.1, XP_045629604.1, XP_045629575.1	XP_003944064.3, XP_010330201.2, XP_039322778.1
OG0000014	XP_045629542.1	XP_003944057.1
OG0000014	XP_045629587.1	XP_003944055.1
OG0000014	XP_045629495.1, XP_045629475.1	XP_039322215.1, XP_010330682.2, XP_010330643.2, XP_010330639.1, XP_003944452.2
OG0000014	XP_045629594.1	XP_010330631.1
OG0000014	XP_045629554.1	XP_039322199.1
OG0000015	XP_045630360.1	XP_003938968.2
