Orthogroup	Homo_sapiens	Urocitellus_parryii
OG0000000	NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1	XP_026259515.1
OG0000000	NP_001356754.1, NP_001309058.1, NP_150630.2, NP_942596.1, NP_001309066.1, NP_001309067.1, NP_001309068.1, NP_001309065.1, NP_001309064.1, NP_001309059.1, NP_001309061.1, NP_001309060.1, NP_001309062.1, NP_001309063.1, NP_001096073.1, NP_001309057.1, XP_047295573.1, NP_001166145.1, NP_001166146.1, NP_115973.2, NP_001340387.1, XP_047295035.1	XP_026238407.1
OG0000000	NP_001308920.1, NP_001287922.1	XP_026235051.1
OG0000000	NP_001138815.1	XP_026262699.1
OG0000000	NP_001035939.1	XP_026235903.1
OG0000000	NP_653291.1, NP_001307300.2	XP_026237094.1
OG0000000	NP_694989.2	XP_026237210.1
OG0000000	NP_001284548.1	XP_026237216.1
OG0000000	NP_848639.2	XP_026267304.1
OG0000000	NP_001092907.1, NP_001092908.1, NP_919306.2, XP_011525745.1	XP_026247064.1
OG0000000	NP_001166161.1	XP_026267921.1
OG0000000	NP_001291264.1, NP_001291266.1, NP_001291265.1, NP_001291263.1, NP_940944.1, NP_001091961.1, NP_001278673.1	XP_026237455.1
OG0000000	NP_001308285.1	XP_026237090.1, XP_026237089.1
OG0000000	NP_001336738.1	XP_026265638.1
OG0000001	NP_001284497.1	XP_026237585.1, XP_026236579.1, XP_026237586.1, XP_026237910.1, XP_026235726.1
OG0000001	NP_660338.1, NP_003428.1, NP_001129973.1, NP_660276.2, XP_047294275.1, XP_016882684.1, NP_001073873.2, NP_066966.2, XP_005259787.1, NP_689569.2, NP_001073962.1, NP_001157748.1, NP_110451.1, NP_660319.1	XP_026245818.1, XP_026245589.1, XP_026245763.1, XP_026245594.1, XP_026245673.1, XP_026245671.1, XP_026245675.1, XP_026245672.1, XP_026245636.1, XP_026245635.1
OG0000001	NP_079080.2, XP_047295678.1, NP_149990.1	XP_026245661.1
OG0000001	NP_699189.2	XP_026255633.1
OG0000001	NP_689814.1	XP_026255459.1
OG0000002	NP_001005190.1, NP_112163.1	XP_026238504.1, XP_026238350.1, XP_026238584.1
OG0000003	NP_001368918.1	XP_026263461.1, XP_026270378.1, XP_026270377.1
OG0000003	NP_003516.1	XP_026263462.1
OG0000003	NP_001154806.1	XP_026237648.1
OG0000003	NP_066406.1	XP_026263464.1
OG0000003	NP_778225.1	XP_026237965.1
OG0000003	NP_003519.1	XP_026259839.1
OG0000003	NP_542160.1, NP_066402.2, NP_001299582.1	XP_026270385.1
OG0000004	NP_003502.1	XP_026270376.1
OG0000004	NP_003505.1, NP_003500.1, NP_066408.1	XP_026270382.1
OG0000004	NP_066390.1	XP_026238606.1
OG0000004	NP_003507.1	XP_026238610.1
OG0000004	NP_003503.1	XP_026263457.1
OG0000004	NP_542163.1, NP_066544.1	XP_026270403.1
