Orthogroup	Mus_musculus	Ursus_americanus
OG0000000	XP_030098258.1, NP_033587.2	XP_045672096.1
OG0000000	XP_030100300.1, NP_001004190.2	XP_045630216.1
OG0000000	NP_663458.2	XP_045645194.1
OG0000000	NP_001020334.1	XP_045630167.1, XP_045630164.1
OG0000000	NP_690027.1	XP_045661221.1
OG0000000	NP_001389468.1	XP_045661136.1, XP_045630187.1
OG0000000	NP_001406212.1	XP_045661152.1, XP_045661176.1
OG0000000	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1	XP_045661198.1
OG0000000	NP_808557.2	XP_045661205.1, XP_045661204.1
OG0000000	NP_001020099.1, XP_006540216.1	XP_045630174.1
OG0000000	NP_001345745.1	XP_045633339.1
OG0000001	NP_001028985.1	XP_045630538.1, XP_045630542.1, XP_045630524.1, XP_045630526.1
OG0000001	XP_030106060.1	XP_045630322.1
OG0000002	NP_667070.1	XP_045634378.1
OG0000002	NP_667253.1, NP_667282.1	XP_045659598.1, XP_045653430.1, XP_045660115.1, XP_045660131.1, XP_045660141.1, XP_045660136.1, XP_045660143.1, XP_045660178.1, XP_045660160.1, XP_045660186.1, XP_045643396.1, XP_045660185.1, XP_045643394.1, XP_045659594.1, XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1
OG0000003	NP_835503.1	XP_045656411.1
OG0000003	NP_001277309.1	XP_045656370.1
OG0000003	NP_001277459.1	XP_045656408.1
OG0000003	NP_835586.2	XP_045656417.1
OG0000003	NP_783597.2	XP_045656371.1
OG0000003	NP_783595.1	XP_045656416.1, XP_045656369.1
OG0000003	NP_835507.1	XP_045656412.1
OG0000003	NP_084358.1	XP_045659934.1
OG0000003	NP_001380452.1	XP_045659933.1
OG0000003	NP_835504.1	XP_045656413.1, XP_045633098.1, XP_045633097.1, XP_045633094.1, XP_045656364.1, XP_045656366.1, XP_045656365.1
OG0000004	NP_783592.1	XP_045656407.1
OG0000004	NP_835490.1, NP_835491.1, NP_835492.1, NP_783591.2, NP_835489.1, NP_835493.1	XP_045656405.1
OG0000004	NP_038577.1	XP_045633095.1, XP_045633096.1
OG0000004	NP_783590.1	XP_045656362.1
OG0000004	NP_835585.3	XP_045633092.1
OG0000004	NP_808356.1	XP_045637404.1
OG0000004	NP_783593.1	XP_045633093.1
OG0000005	NP_667141.1	XP_045632498.1, XP_045652424.1
OG0000005	NP_667138.1, NP_666939.1	XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1
OG0000005	NP_666758.1	XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1
OG0000005	NP_666759.1, NP_666755.1	XP_045632521.1, XP_045645925.1
OG0000005	NP_666378.1, NP_996891.2	XP_045645927.1, XP_045632517.1
OG0000005	NP_666490.1	XP_045652430.1, XP_045652427.1, XP_045632518.1
OG0000005	NP_666379.1	XP_045645521.1
OG0000007	NP_598959.1, NP_598961.1	XP_045645201.1, XP_045631120.1
OG0000008	NP_001277279.1	XP_045631167.1, XP_045631098.1, XP_045670779.1
OG0000008	NP_033592.2	XP_045644759.1
OG0000008	NP_001408747.1	XP_045642057.1
OG0000008	NP_067301.1, NP_001346164.1, NP_001038947.1	XP_045669366.1
OG0000008	NP_001276518.1	XP_045669362.1
OG0000008	NP_035888.2	XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1
OG0000008	NP_001355257.1	XP_045670809.1
OG0000009	NP_001108547.1, XP_030105660.1, NP_034521.1, NP_034522.2, XP_011244602.1, NP_034520.2, NP_001355671.1, NP_001411251.1, NP_001411253.1, NP_001411252.1, NP_001411248.1, NP_075613.3, NP_001411249.1, NP_997531.1, NP_001355670.1, NP_001188389.1, NP_034524.3, NP_001137161.1, XP_017173254.1, NP_001357747.1, XP_006524864.1, NP_001074501.2, NP_001390291.1, XP_006523736.1, NP_034510.3	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1
OG0000010	XP_017174101.1, NP_667184.2	XP_045642840.1
OG0000010	NP_667181.1	XP_045642833.1, XP_045642838.1
OG0000010	NP_667001.1	XP_045642839.1
OG0000010	NP_667194.1	XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1
OG0000011	NP_444373.1	XP_045650413.1
OG0000011	NP_444370.1	XP_045650417.1
OG0000011	NP_444357.1	XP_045650426.1
OG0000011	NP_444375.2	XP_045650411.1
OG0000011	NP_444376.1	XP_045650409.1
OG0000011	NP_444374.2	XP_045650412.1
OG0000011	NP_444358.2	XP_045650424.1
OG0000011	NP_444371.3	XP_045650416.1
OG0000011	NP_444372.2	XP_045650414.1
OG0000011	NP_444360.1, NP_444364.3, NP_444362.3	XP_045650423.1
OG0000011	NP_444368.1	XP_045650419.1
OG0000011	NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1	XP_045650422.1
OG0000011	NP_444377.3	XP_045650407.1
OG0000012	NP_776144.1	XP_045659615.1
OG0000012	XP_006527991.1, NP_001094920.1	XP_045634849.1
OG0000012	NP_001028664.2	XP_045634850.1, XP_045634848.1
OG0000013	NP_001011824.1, NP_001011823.1	XP_045630277.1
OG0000013	NP_667117.1	XP_045630326.1
OG0000014	NP_666291.2	XP_045629587.1
OG0000015	NP_666774.1	XP_045630316.1
OG0000015	NP_666770.1, NP_666769.1, NP_666772.1	XP_045630360.1
OG0000015	NP_666739.1, NP_666737.2, NP_035131.1, NP_001012265.1, NP_666773.1, XP_030100252.1	XP_045630319.1
OG0000016	NP_034637.1, NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2, NP_796321.1	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1
OG0000017	NP_667071.1	XP_045640004.1, XP_045639964.1, XP_045640398.1
OG0000017	NP_666450.2	XP_045634772.1, XP_045634756.1
OG0000017	NP_666395.2	XP_045656563.1
OG0000017	NP_001011863.1, NP_001349594.1, NP_035132.2	XP_045629463.1
OG0000017	NP_667152.1, NP_667153.1	XP_045647112.1
OG0000017	NP_666404.1	XP_045634937.1
OG0000018	NP_032236.1, XP_006532311.1, NP_032237.1	XP_045670225.1
OG0000018	NP_835512.1, NP_473386.1, NP_835510.1, NP_835734.2, NP_783584.1, NP_835511.1, NP_038576.1, NP_835587.1	XP_045633105.1
OG0000018	NP_835514.1	XP_045656399.1, XP_045656385.1
OG0000018	NP_001304932.1	XP_045659932.1
OG0000019	NP_666953.1, NP_666661.2, NP_001011787.1, NP_001011803.2, NP_997034.1, NP_666474.1	XP_045645141.1, XP_045643388.1
OG0000019	NP_666514.2	XP_045645143.1, XP_045643386.1
OG0000020	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1	XP_045645295.1, XP_045645300.1
OG0000020	XP_036011513.1, NP_001278821.1, NP_032173.1, NP_038560.1	XP_045645315.1, XP_045645319.1, XP_045645325.1
OG0000021	NP_666401.1, NP_666399.1, NP_666843.1, NP_001011753.2, NP_001013593.2, XP_011244764.1, NP_666489.1, NP_996552.1, NP_001011829.1, NP_667101.1, NP_666402.2	XP_045672083.1
OG0000022	NP_291065.3	XP_045650391.1
OG0000022	NP_291072.1	XP_045650387.1
OG0000022	NP_291073.1	XP_045650388.1
OG0000022	NP_291067.1	XP_045650393.1
OG0000022	NP_291068.2	XP_045650396.1
OG0000022	NP_291069.1	XP_045650384.1
OG0000022	NP_291066.1	XP_045650404.1
OG0000022	NP_291062.1	XP_045650405.1
OG0000022	NP_291064.1	XP_045650392.1
OG0000023	NP_001104528.1, XP_006540653.1, XP_036008866.1, NP_848821.2	XP_045631035.1
OG0000023	XP_036008858.1, NP_663556.1	XP_045631030.1
OG0000023	NP_112458.2, XP_006541381.1	XP_045631031.1
OG0000024	NP_666650.1, NP_667041.2, NP_666958.1, NP_666957.1	XP_045653510.1
