Orthogroup	Loxodonta_africana	Homo_sapiens
OG0000000	XP_023398898.1	NP_001375102.1, NP_001375106.1, NP_057003.2, NP_001375105.1, NP_001375104.1, NP_001139692.1, NP_001027546.1, NP_001375103.1, NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1
OG0000000	XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1	NP_001356754.1, NP_001309058.1, NP_150630.2, NP_942596.1, NP_001309066.1, NP_001309067.1, NP_001309068.1, NP_001309065.1, NP_001309064.1, NP_001309059.1, NP_001309061.1, NP_001309060.1, NP_001309062.1, NP_001309063.1, NP_001096073.1, NP_001309057.1, XP_047295573.1, NP_001166145.1, NP_001166146.1, NP_115973.2, NP_001340387.1, XP_047295035.1
OG0000000	XP_003422344.1, XP_023397248.1	NP_001308920.1, NP_001287922.1
OG0000000	XP_023399368.1	NP_065864.2
OG0000000	XP_023397216.1	NP_001035939.1
OG0000000	XP_010584934.1	NP_653291.1, NP_001307300.2
OG0000000	XP_023397228.1	NP_694989.2
OG0000000	XP_010599888.1	NP_001229729.1, NP_001229730.1, NP_001229731.1, NP_996777.2, XP_047294754.1
OG0000000	XP_023397249.1	NP_001284548.1
OG0000000	XP_010599884.1, XP_023397253.1	NP_001307595.1
OG0000000	XP_023395675.1	NP_848639.2
OG0000000	XP_023399459.1	NP_775819.1
OG0000000	XP_003406923.2	NP_001308285.1
OG0000000	XP_010600469.2	NP_001336738.1
OG0000001	XP_010599729.2, XP_023396729.1	NP_079243.1
OG0000001	XP_023407671.1	NP_001189337.1, NP_001189338.1, NP_001189341.1, NP_001189339.1, NP_001189340.1, NP_001189335.1, NP_115886.1, NP_001189336.1
OG0000002	XP_003413354.2	NP_001005190.1, NP_112163.1, NP_001357409.1, NP_001357412.1, NP_001357411.1, NP_059976.1, NP_001357410.1
OG0000003	XP_023411476.1	NP_003509.1
OG0000003	XP_023411490.1, XP_003421157.1	NP_001368918.1
OG0000003	XP_023411491.1	NP_003516.1
OG0000003	XP_003409563.1	NP_003510.1
OG0000003	XP_023396024.1	NP_003518.2
OG0000003	XP_023403170.1	NP_001019770.1, NP_001154806.1
OG0000003	XP_023411488.1	NP_066406.1
OG0000003	XP_023396025.1	NP_003511.1
OG0000003	XP_003416463.1	NP_066407.1
OG0000003	XP_010599027.1	NP_778225.1
OG0000003	XP_023403165.1	NP_003519.1
OG0000003	XP_003422331.1, XP_023397190.1, XP_023397191.1	NP_066402.2
OG0000004	XP_023396022.1, XP_003416470.1, XP_023411486.1, XP_003421190.1, XP_003409367.1	NP_066409.1
OG0000004	XP_023396023.1	NP_003502.1
OG0000004	XP_003421192.1	NP_066408.1
OG0000004	XP_023411480.1	NP_003504.2, NP_066390.1
OG0000004	XP_023396105.1, XP_003421236.1	NP_254280.1
OG0000004	XP_003409564.1	NP_003507.1
OG0000004	XP_023411485.1, XP_003416465.1	NP_003503.1
OG0000004	XP_003421154.2	NP_066544.1
OG0000004	XP_003409558.1	NP_778235.1
OG0000004	XP_003405713.1	NP_808760.1
OG0000004	XP_003409559.1	NP_003508.1
OG0000004	XP_003416483.1	NP_734466.1
OG0000005	XP_010595805.1, XP_003405135.2	NP_473446.1
OG0000005	XP_003405134.2, XP_010599311.1	NP_001005519.2
OG0000006	XP_023411689.1	XP_047289367.1
OG0000007	XP_023399856.1, XP_023399857.1	NP_776255.2
OG0000008	XP_010586028.2	NP_001269444.1
OG0000008	XP_023396493.1	NP_001129745.1
OG0000008	XP_023400813.1	NP_001123370.1, NP_001034980.1
OG0000008	XP_010599893.1	NP_001275729.1
OG0000008	XP_023411607.1	NP_001191385.1, NP_066986.1
OG0000008	XP_010594572.1	NP_057349.2, NP_008887.2
OG0000008	XP_023398361.1	NP_001310956.1, NP_001121695.1, NP_001277137.1, NP_001277138.1, XP_011531546.1, XP_047298751.1, NP_001310955.1, NP_001277139.1, NP_001310957.1
OG0000008	XP_023413682.1	NP_003437.2
OG0000008	XP_010595066.1	XP_016878441.1
OG0000009	XP_023398360.1, XP_023396632.1, XP_023397413.1, XP_010599502.2, XP_023396647.1, XP_023398346.1, XP_023396648.1, XP_010599487.1	NP_001229971.1, NP_002108.4, XP_054186779.1, NP_005505.2, XP_041536702.1, NP_002107.3, NP_001229687.1, NP_001350496.1, XP_054186575.1, XP_016866296.1, NP_005507.3
OG0000010	XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1	NP_001005272.3, NP_001005274.1
OG0000010	XP_003412119.2, XP_003412120.2	NP_001005512.2
OG0000011	XP_010589626.1	NP_061992.3, NP_061753.1
OG0000011	XP_010589614.1	NP_061763.1
OG0000011	XP_003404600.1	NP_061759.1
OG0000011	XP_003404609.1	NP_061757.1
OG0000011	XP_003404608.1	NP_061754.1, NP_061755.1
OG0000011	XP_003404601.1	NP_061760.2
OG0000011	XP_003404607.1	NP_061993.3, NP_061756.1
OG0000011	XP_003404606.1	NP_066008.2
OG0000011	XP_023405595.1	NP_061761.1
OG0000011	XP_003404603.1	NP_001290074.1, NP_061762.2
OG0000011	XP_023405607.1	NP_056484.2
