Orthogroup	Canis_lupus_familiaris	Loxodonta_africana
OG0000000	XP_038384579.1	XP_023398898.1
OG0000000	XP_038383888.1	XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1
OG0000000	XP_038385033.1	XP_003422344.1, XP_023397248.1
OG0000000	XP_038383531.1, XP_038383540.1	XP_023399368.1
OG0000000	XP_038385096.1	XP_023397216.1
OG0000000	XP_038383557.1	XP_010584934.1
OG0000000	XP_038385054.1	XP_023397228.1
OG0000000	XP_038385022.1	XP_010599888.1
OG0000000	XP_038385069.1	XP_023397249.1
OG0000000	XP_038381488.1	XP_010599884.1, XP_023397253.1
OG0000000	XP_038383482.1	XP_023399459.1
OG0000000	XP_038383541.1	XP_003406923.2
OG0000000	XP_038411812.1	XP_010600469.2
OG0000001	XP_038423808.1	XP_010599729.2, XP_023396729.1
OG0000001	XP_038423310.1	XP_023407671.1
OG0000001	XP_038423296.1	XP_010591667.1
OG0000002	NP_001375600.1, NP_001375957.1, NP_001375593.1, NP_001375589.1, XP_038421239.1, XP_038422957.1, NP_001013440.1, XP_038421294.1, NP_001375587.1, XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1	XP_003413354.2
OG0000003	XP_038440279.1	XP_003421157.1
OG0000003	XP_038440354.1, XP_038440365.1, XP_038440353.1, XP_038440333.1	XP_003416445.1
OG0000003	XP_038418003.1	XP_023403170.1
OG0000003	XP_038440305.1	XP_023411488.1
OG0000003	XP_038440282.1, XP_038440298.1, XP_038440303.1, XP_038440304.1, XP_038440302.1, XP_038440300.1, XP_038440301.1, XP_038440288.1, XP_038440287.1, XP_038440285.1	XP_003416463.1
OG0000003	XP_038418004.1, XP_038418006.1, XP_038418005.1	XP_023403165.1
OG0000003	XP_038440352.1	XP_003422331.1, XP_023397190.1, XP_023397191.1
OG0000004	XP_038440340.1	XP_003416459.1, XP_003421192.1
OG0000004	XP_038440277.1	XP_023411480.1
OG0000004	XP_038418000.1	XP_003409564.1
OG0000004	XP_038440275.1	XP_023411485.1, XP_003416465.1
OG0000004	XP_038418001.1	XP_003409558.1
OG0000004	XP_038432800.1	XP_003405713.1
OG0000004	XP_038418002.1	XP_003409559.1
OG0000005	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1	XP_010595805.1, XP_003405135.2
OG0000005	NP_001375871.1, XP_038444903.1, NP_001376078.1	XP_003405571.1, XP_003405575.1
OG0000005	NP_001375861.1, XP_038444905.1, NP_001376081.1	XP_010595858.1, XP_003405560.1
OG0000005	NP_001376104.1	XP_023396363.1
OG0000006	XP_038400303.1, XP_038400305.1, XP_038400304.1	XP_023411689.1
OG0000006	XP_038407892.1, XP_038444158.1	XP_023402983.1
OG0000007	NP_001346935.1	XP_023399456.1
OG0000007	XP_038381463.1	XP_023399856.1, XP_023399857.1
OG0000008	XP_038383866.1	XP_023399207.1
OG0000008	XP_038409055.1	XP_010586028.2
OG0000008	XP_038444566.1	XP_023396493.1
OG0000008	XP_038443189.1, XP_038443224.1	XP_023400813.1
OG0000008	XP_038384956.1	XP_010599893.1
OG0000008	XP_038445242.1	XP_023411607.1
OG0000008	XP_038395427.1	XP_010594572.1
OG0000008	XP_038435142.1	XP_023398361.1
OG0000008	XP_038443214.1	XP_023413682.1
OG0000008	XP_038394427.1	XP_010595066.1
OG0000009	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1	XP_023398360.1, XP_023396632.1, XP_023397413.1, XP_010599502.2, XP_023396647.1, XP_023398346.1, XP_023396648.1, XP_010599487.1, XP_010599501.2, XP_003423760.3, XP_023397179.1, XP_010600918.1, XP_023398140.1, XP_023398138.1, XP_010600063.1
OG0000010	XP_038418409.1, NP_001375564.1	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1, XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1
OG0000010	NP_001376103.1, NP_001375879.1	XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1
OG0000010	NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1	XP_003412119.2, XP_003412120.2
OG0000011	XP_038386314.1	XP_010589614.1
OG0000011	XP_038386305.1	XP_003404600.1
OG0000011	XP_038386315.1	XP_003404609.1
OG0000011	XP_038386324.1	XP_003404610.1
OG0000011	XP_038386312.1	XP_003404601.1
OG0000011	XP_038386308.1	XP_023405595.1
OG0000011	XP_038386303.1	XP_003404603.1
OG0000011	XP_038386309.1	XP_023405607.1
OG0000011	XP_038386325.1	XP_003404858.2
OG0000011	XP_038386316.1	XP_010589642.2
OG0000012	XP_038443043.1, XP_038443045.1, XP_038443044.1	XP_010594127.1
OG0000012	NP_001003116.1	XP_023410900.1, XP_003416054.1
OG0000012	XP_038442409.1	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1
OG0000012	XP_038442401.1	XP_023410902.1
OG0000012	XP_038442408.1, XP_038442410.1	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1
OG0000013	XP_038421256.1	XP_023398492.1
OG0000013	NP_001375605.1	XP_003413463.1, XP_003413462.2, XP_003413461.2, XP_003423702.1, XP_023408238.1, XP_003423701.2
OG0000013	XP_038421257.1, XP_038421258.1, NP_001376074.1, NP_001375607.1	XP_003423616.2, XP_023398096.1, XP_003423491.1, XP_003423716.2, XP_003423082.3, XP_003423081.3, XP_003423080.2, XP_010600893.1, XP_003423501.1, XP_003423084.3, XP_023398154.1, XP_023398099.1, XP_003423406.2, XP_010600648.1, XP_003423750.2, XP_003423763.1, XP_023398236.1, XP_003423646.1, XP_010600645.1, XP_010600765.1, XP_023398155.1, XP_003423635.1, XP_023398157.1, XP_023398098.1, XP_023398235.1, XP_010600767.1, XP_010600647.1, XP_023398156.1
OG0000013	NP_001375608.1	XP_023398231.1, XP_023398293.1, XP_023398464.1, XP_010600703.2, XP_023398233.1, XP_010600958.2, XP_023398124.1, XP_023398344.1
OG0000013	NP_001375609.1	XP_010600764.1, XP_023398152.1, XP_003423634.3, XP_003423518.3, XP_023398101.1, XP_010600529.1, XP_010600530.1, XP_023398127.1, XP_003423567.2
OG0000013	NP_001376117.1	XP_023398125.1, XP_010600994.2, XP_010600679.2, XP_023398339.1, XP_003423698.3, XP_010600704.1, XP_010600869.1, XP_003423770.1, XP_010600643.1
OG0000014	XP_038383494.1	XP_010584944.1, XP_023399387.1
OG0000014	XP_038383510.1	XP_023399372.1
OG0000014	XP_038381446.1	XP_023399410.1, XP_023399411.1, XP_010584956.1
OG0000014	XP_038383493.1	XP_023399401.1
