Orthogroup	Mesocricetus_auratus	Canis_lupus_familiaris
OG0000000	XP_040590578.1	XP_038384579.1
OG0000000	XP_040589832.1	XP_038383925.1, XP_038383888.1
OG0000000	XP_012980823.1	XP_038385033.1
OG0000000	XP_005085706.2	XP_038383531.1, XP_038383540.1
OG0000000	XP_040590281.1, XP_040590282.1	XP_038385116.1
OG0000000	XP_021078768.2	XP_038385069.1
OG0000000	XP_021078895.1	XP_038381488.1, XP_038385089.1
OG0000000	XP_040613645.1	XP_038383482.1, XP_038383515.1
OG0000000	XP_040589935.1	XP_038383541.1
OG0000000	XP_040592164.1	XP_038411812.1
OG0000001	XP_012981467.1	XP_038423310.1, XP_038423296.1
OG0000002	XP_005087851.1	NP_001375586.1
OG0000002	XP_005083422.1, XP_005083421.1	XP_038422957.1, NP_001013440.1, XP_038421294.1, NP_001375587.1, XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1
OG0000003	XP_005086737.1	XP_038440289.1, XP_038440279.1
OG0000003	XP_021091128.1	XP_038418003.1
OG0000003	XP_040611612.1	XP_038440305.1
OG0000003	XP_021079067.1	XP_038440363.1, XP_038440334.1, XP_038440352.1, XP_038440364.1
OG0000004	XP_040611617.1, XP_040611614.1, XP_040611615.1, XP_040611618.1, XP_040611616.1	XP_038440277.1
OG0000004	XP_021080734.2, XP_040611619.1, XP_012981136.1, XP_012981123.1	XP_038440276.1
OG0000004	XP_021079073.2	XP_038440361.1
OG0000004	XP_040608137.1	XP_038418000.1
OG0000004	XP_040611610.1	XP_038440341.1
OG0000004	XP_021091122.2	XP_038418001.1
OG0000004	XP_005072949.1	XP_038432800.1
OG0000004	XP_021091115.2	XP_038418002.1
OG0000005	XP_005079738.2	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1
OG0000005	XP_021088443.2, XP_040610223.1	NP_001375871.1, XP_038444903.1, NP_001376078.1
OG0000005	XP_005079743.1	NP_001376104.1
OG0000006	XP_040597031.1	XP_038444756.1, XP_038421308.1
OG0000008	XP_005085123.2	XP_038383866.1, XP_038409055.1
OG0000008	XP_012981311.2	XP_038444566.1
OG0000008	XP_012980805.2	XP_038384956.1
OG0000008	XP_040607222.1	XP_038445242.1
OG0000008	XP_005080013.1	XP_038395427.1
