Orthogroup	Sarcophilus_harrisii	Microcebus_murinus
OG0000000	XP_031812992.1	XP_012616738.1
OG0000000	XP_031817705.1	XP_020138819.1, XP_012626318.1, XP_012641044.1, XP_012613266.1, XP_012628339.1, XP_012628337.1, XP_012613289.1
OG0000000	XP_031810195.1, XP_031823895.1, XP_023359536.1	XP_012633947.1, XP_012617244.2, XP_012634058.1, XP_012621017.2, XP_020145876.1, XP_012607300.1, XP_012605672.1, XP_020143628.1, XP_020140961.1, XP_020140962.1, XP_020140964.1, XP_020140957.1, XP_020144151.1, XP_020140966.1, XP_020140974.1, XP_012634054.1, XP_020146092.1, XP_020146094.1, XP_012634002.2, XP_020146097.1, XP_012617241.1, XP_020140969.1, XP_020144285.1, XP_012596655.2, XP_012634056.1, XP_012615835.2, XP_020140965.1, XP_012621727.2, XP_020140972.1, XP_020143603.1, XP_012605668.2, XP_020143604.1, XP_020140650.1, XP_020140956.1, XP_012607505.1
OG0000000	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1	XP_012630310.1, XP_012613228.1, XP_012630387.1, XP_012630382.1, XP_012630385.1, XP_012630384.1, XP_012630383.1, XP_012630381.1, XP_012630380.1, XP_012604394.1, XP_012630386.1, XP_012630265.1, XP_012630372.1, XP_012630285.2, XP_012630378.1, XP_012630062.1, XP_012630058.2, XP_012630552.1, XP_020139213.1, XP_012630232.1
OG0000000	XP_031800804.1	XP_020139008.1, XP_012606846.2, XP_012604505.1, XP_012613248.1, XP_020143602.1, XP_012615665.1
OG0000001	XP_031815742.1	XP_012624815.1, XP_012645800.1, XP_012646010.1, XP_012645968.1, XP_012645956.1, XP_012645793.1, XP_020139507.1, XP_020139506.1, XP_012646003.1, XP_012645977.2, XP_012645971.1, XP_020139387.1, XP_012646008.2, XP_020139505.1, XP_012645964.1, XP_020139501.1, XP_012645962.2, XP_020139610.1
OG0000001	XP_012401289.1	XP_012646178.1, XP_012646169.1, XP_012646150.1
OG0000002	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2	XP_012645796.1, XP_020139519.1, XP_012646004.2, XP_020139359.1
OG0000003	XP_031824341.1	XP_012597512.1
OG0000003	XP_003769950.1	XP_012634028.1
OG0000003	XP_012404136.1, XP_003770776.2	XP_012609570.1
OG0000003	XP_003770630.2	XP_012609569.1
OG0000003	XP_031823293.1	XP_012597454.1, XP_012597551.1, XP_012597459.1, XP_012597458.1
OG0000004	XP_003767376.1	XP_012597516.1
OG0000004	XP_003768759.1	XP_012597450.1
OG0000004	XP_031823292.1	XP_012609566.1
OG0000004	XP_003769951.1	XP_012609567.1
OG0000004	XP_012405154.1	XP_012609187.1, XP_012609568.1
OG0000004	XP_003768752.1	XP_012596861.1
OG0000005	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3	XP_012610257.1, XP_020143017.1, XP_012610269.1, XP_012609942.2, XP_012610373.1, XP_012610321.1, XP_012610295.1, XP_012609955.1, XP_012610386.1, XP_012608319.1, XP_012609915.1, XP_012609981.1
OG0000006	XP_031801369.1	XP_012625684.2, XP_012601742.1, XP_012606863.1, XP_012595831.2, XP_012596629.2, XP_012616975.2, XP_012609122.2, XP_020143214.1
OG0000006	XP_031814102.1, XP_031814100.1	XP_012599818.2, XP_020145819.1
OG0000007	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3	XP_012606828.1, XP_020139117.1, XP_012613253.2, XP_012613252.2, XP_012613254.2, XP_012613251.1, XP_012613264.2, XP_020138350.1, XP_020138351.1, XP_020138348.1, XP_020138352.1, XP_020138349.1, XP_020138346.1, XP_020138347.1, XP_020138345.1, XP_012618410.1, XP_012618411.1, XP_020138403.1, XP_020138425.1, XP_012613263.1, XP_012611041.1
OG0000008	XP_031806199.1	XP_012624356.1
OG0000008	XP_023362616.1, XP_031800616.1	XP_012615774.1, XP_012612641.1
OG0000008	XP_023355868.1, XP_012401259.1	XP_012619942.1, XP_020140831.1
OG0000008	XP_023361210.2, XP_031794448.1	XP_012603709.1, XP_012614837.1, XP_020137053.1, XP_012631803.2, XP_012631807.1, XP_012631809.1, XP_020140578.1, XP_020138106.1
OG0000009	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2	XP_020138303.1, XP_012592719.2, XP_012619031.1, XP_012592717.1, XP_020138306.1, XP_012619032.1, XP_020142922.1, XP_020138304.1
OG0000010	XP_031800130.1	XP_012643257.1, XP_012643270.1, XP_012643266.1, XP_012622829.1, XP_012643263.1
OG0000010	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1	XP_012643294.1, XP_012643305.1, XP_012643256.1, XP_012643312.1, XP_012643309.1, XP_012643311.1, XP_012643310.1, XP_020142412.1, XP_012643274.1, XP_012643272.1, XP_020142062.1, XP_012643292.1, XP_020142413.1
OG0000011	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3	XP_012604413.1, XP_012604415.2, XP_012604414.2, XP_012604418.1, XP_012604417.2, XP_012604410.1, XP_012604420.1, XP_012604421.1, XP_012604412.1, XP_012604416.2, XP_020137935.1, XP_012604408.1
OG0000016	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1	XP_012625267.1, XP_020144780.1, XP_012625264.2, XP_012625260.1, XP_020144782.1, XP_012625263.2, XP_012625265.2, XP_020144781.1
OG0000017	XP_012398581.1	XP_012598886.2, XP_012598882.1, XP_012598884.1, XP_020137192.1, XP_012598883.2, XP_012599300.2, XP_020137154.1, XP_012598877.2, XP_012598878.1
OG0000017	XP_023358579.1	XP_012614266.1
OG0000017	XP_003775021.1	XP_012634096.1
OG0000017	XP_003758428.1, XP_003758978.1, XP_003759273.1	XP_012627716.1
OG0000018	XP_031822886.1	XP_012606772.1
OG0000019	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2	XP_012603628.1, XP_012598342.1, XP_012598311.1, XP_012598312.1, XP_012603616.1
OG0000019	XP_031805364.1, XP_003759311.2, XP_031805363.1, XP_003759310.2	XP_020141498.1
OG0000019	XP_031805360.1	XP_012598338.1, XP_012598339.2, XP_012598340.2
OG0000021	XP_012404626.1, XP_003769277.1, XP_003769271.1, XP_003769272.1, XP_031820467.1, XP_003769273.1	XP_012607739.1
OG0000022	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1	XP_020137854.1, XP_020137845.1, XP_020137846.1, XP_020137849.1, XP_020137843.1, XP_020137850.1, XP_020137851.1, XP_012604363.1, XP_020137848.1, XP_020137847.1
OG0000024	XP_003764405.1	XP_012638762.1
OG0000024	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1	XP_012638763.1, XP_012638746.1, XP_012638745.1
OG0000026	XP_012397681.1, XP_012397680.1, XP_012397682.1	XP_012644305.2, XP_012644304.2, XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1
OG0000027	XP_003765946.1	XP_012595657.1
OG0000027	XP_023360032.2, XP_031820681.1	XP_012616812.1
OG0000027	XP_023360426.1	XP_012603184.1
OG0000027	XP_003767621.1	XP_012599928.1
OG0000027	XP_031804908.1	XP_012632128.1
OG0000027	XP_031793822.1, XP_012407220.2	XP_012616799.2
OG0000028	XP_003774032.2	XP_012605430.1, XP_012605431.1, XP_012605321.1, XP_012605437.1
OG0000029	XP_003766414.1	XP_012598557.1, XP_012598512.1, XP_012598519.2, XP_012598514.2, XP_012598513.1, XP_012598518.2
OG0000031	XP_012404307.1	XP_012599100.1
OG0000031	XP_003770492.1	XP_020145822.1, XP_020146129.1
OG0000031	XP_003765338.1, XP_012400082.1, XP_031817645.1	XP_012597485.1, XP_012597472.1, XP_012607743.1, XP_012609977.1
OG0000032	XP_031809276.1, XP_031809275.1, XP_031809269.1, XP_031809268.1, XP_012406642.2, XP_031809277.1, XP_031805170.1, XP_031805168.1	XP_020137959.1, XP_020137958.1
OG0000032	XP_031809273.1	XP_020137954.1, XP_020137953.1
OG0000033	XP_012403541.1	XP_020136664.1, XP_012634183.1
OG0000033	XP_023358276.2	XP_012634191.1
OG0000035	XP_003756019.1	XP_012621797.1
OG0000035	XP_003767872.1	XP_012619798.1
OG0000035	XP_031812849.1, XP_031812848.1, XP_031812850.1	XP_012620530.1
OG0000035	XP_003761602.1	XP_012614407.1
OG0000035	XP_031821487.1	XP_012644914.1
OG0000035	XP_003759426.1	XP_012631175.1
OG0000035	XP_031805495.1	XP_020141787.1, XP_012644119.2
OG0000036	XP_031812610.1, XP_031812613.1, XP_031812612.1, XP_031812611.1, XP_003754959.1, XP_003754958.1, XP_031812533.1, XP_031812108.1	XP_012623845.1
OG0000036	XP_003755303.1, XP_003755291.1	XP_012621879.2, XP_012621903.1, XP_012621933.1, XP_012621834.1, XP_020136186.1, XP_012621864.2, XP_012621955.1
OG0000039	XP_031802795.1	XP_012623865.1
OG0000039	XP_003760265.2	XP_012623864.1
OG0000039	XP_003768941.1	XP_012591805.1
OG0000039	XP_003757584.1	XP_012639934.1
OG0000039	XP_031803594.1	XP_012617155.2
OG0000039	XP_031805964.1	XP_012601634.1
OG0000039	XP_031807551.1	XP_012625877.1
OG0000041	XP_023362197.2, XP_031799550.1	XP_012602144.1, XP_012602117.1, XP_012602149.1, XP_020142260.1
OG0000042	XP_031798147.1	XP_012612185.1, XP_012636069.1, XP_012612152.1, XP_012608504.2, XP_020142421.1
OG0000044	XP_023353357.1	XP_012597462.1, XP_012609563.1
OG0000044	XP_012405112.1	XP_012596792.1, XP_012596793.1
OG0000044	XP_031801760.1	XP_012596789.1
OG0000045	XP_003759383.1	XP_020138865.1
OG0000045	XP_031821400.1	XP_020136755.1
OG0000045	XP_003759381.1	XP_012633220.1
OG0000045	XP_031821396.1	XP_012633193.1, XP_012633184.1
OG0000045	XP_031821399.1	XP_012633169.1
OG0000046	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1	XP_012613755.1, XP_012613821.1, XP_012613824.2, XP_020140109.1, XP_012613823.1, XP_012613814.1, XP_012613819.1, XP_012613809.1
OG0000048	XP_012402396.1	XP_012616684.2, XP_012616670.1, XP_020139184.1, XP_020139183.1, XP_020138897.1, XP_012616683.2, XP_012616569.2, XP_020138894.1
OG0000049	XP_003756342.1, XP_031808465.1	XP_020141259.1, XP_012611591.2, XP_012611590.1, XP_012626152.1, XP_012626153.1, XP_012626155.1
OG0000051	XP_003765783.1	XP_012607324.1
OG0000051	XP_031813804.1	XP_012604860.1
OG0000051	XP_023356253.1, XP_003765782.2	XP_012607323.1
OG0000051	XP_031813802.1, XP_031813803.1	XP_012605901.1, XP_012604862.1
OG0000051	XP_031800822.1	XP_012605846.1
OG0000052	XP_023360233.1, XP_031794166.1	XP_012642546.1, XP_020143347.1
OG0000053	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1	XP_020140298.1
OG0000054	XP_012403485.2	XP_012604193.1, XP_012604189.1, XP_012604184.1, XP_012604186.1, XP_012604143.1, XP_012604149.1, XP_012604191.1, XP_012604146.1, XP_012604185.1
