Orthogroup	Myotis_lucifugus	Sarcophilus_harrisii
OG0000000	XP_023599356.1, XP_023599350.1	XP_031812992.1
OG0000000	XP_023615659.1	XP_031812945.1, XP_031819338.1, XP_031819352.1, XP_031819351.1, XP_031819808.1
OG0000000	XP_023601280.1	XP_031805268.1, XP_031804942.1, XP_031804938.1, XP_031797142.1, XP_031805270.1, XP_031805395.1, XP_031799025.1, XP_031813187.1, XP_031809153.1, XP_031804954.1, XP_031804939.1, XP_031812968.1, XP_031812973.1, XP_031812952.1, XP_031799372.1, XP_031819414.1
OG0000000	XP_023620736.1	XP_031817705.1
OG0000000	XP_023610099.1, XP_023610100.1, XP_006109159.1, XP_023610093.1, XP_023610091.1, XP_023610090.1, XP_023610092.1, XP_023610098.1, XP_023610096.1, XP_023610102.1, XP_023611398.1	XP_031810195.1, XP_031823895.1, XP_023359536.1
OG0000000	XP_023616360.1, XP_023618147.1, XP_006098677.1, XP_014319713.1, XP_023616328.1, XP_006098666.1	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1
OG0000000	XP_023599537.1, XP_023599527.1, XP_023604378.1, XP_006109488.2, XP_023604206.1, XP_006107371.2	XP_031800804.1
OG0000001	XP_023601577.1, XP_023600178.1, XP_023602735.1, XP_014301019.2, XP_006103138.1, XP_006104610.1, XP_014303641.1, XP_006103139.1, XP_014301016.2, XP_006103137.3, XP_006109167.1, XP_023600179.1, XP_023600175.1, XP_014301002.2, XP_014302358.1	XP_031815742.1
OG0000002	XP_006106210.1, XP_006107454.1, XP_006109070.1, XP_006107515.1, XP_006107514.1, XP_006099747.1, XP_006099742.1, XP_006106211.1, XP_006106209.1, XP_006107119.1, XP_006107121.1, XP_006107120.1, XP_006107453.1, XP_006106212.1, XP_023619081.1, XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1, XP_006099744.1, XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1, XP_006108663.1, XP_006106497.1, XP_014321261.1, XP_006106784.1, XP_006100410.1, XP_006106501.1, XP_014321263.1, XP_006106783.1, XP_006108546.2, XP_014304154.1, XP_014304155.1, XP_014304265.1, XP_006106494.1	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2
OG0000003	XP_006105754.1	XP_031824341.1
OG0000003	XP_006105894.1	XP_012404136.1, XP_003770776.2
OG0000004	XP_006105904.1	XP_003768759.1
OG0000004	XP_006095377.1, XP_006095232.1	XP_031823292.1
OG0000004	XP_006105759.1	XP_012404135.1, XP_031821118.1, XP_012405694.1
OG0000004	XP_014316718.2	XP_003769951.1
OG0000004	XP_006095233.1	XP_012405154.1
OG0000005	XP_006101362.1, XP_006101381.1, XP_006101384.1, XP_006101386.2, XP_014322144.1, XP_006101385.1, XP_006101387.1, XP_023620581.1, XP_006101388.1, XP_006101389.1, XP_006101391.1, XP_006109268.1, XP_006101365.1, XP_006101366.1, XP_006101367.1, XP_006101378.1, XP_006101368.1	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3
OG0000006	XP_023611739.1	XP_031801369.1
OG0000008	XP_023603086.1, XP_023603088.1, XP_023609052.1	XP_031806199.1
OG0000008	XP_023608739.1	XP_023362616.1, XP_031800616.1
OG0000008	XP_006090633.1	XP_023355868.1, XP_012401259.1
OG0000008	XP_006101245.1, XP_014318909.1, XP_023617197.1, XP_023616724.1, XP_023618878.1	XP_023361210.2, XP_031794448.1
OG0000009	XP_023603895.1, XP_006108147.1, XP_023603897.1, XP_023604454.1, XP_023605044.1, XP_023604763.1, XP_023604764.1, XP_023603922.1, XP_006108085.1, XP_014304586.1, XP_006109548.2, XP_014304465.1, XP_014306514.2, XP_006103427.2, XP_023603919.1, XP_023604980.1, XP_014304469.1, XP_023603555.1, XP_014304476.1, XP_023603920.1, XP_023603918.1, XP_023603634.1, XP_006108930.2, XP_014305975.1, XP_014304594.1, XP_014305051.1, XP_023604586.1, XP_023603595.1, XP_023604095.1	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2
OG0000010	XP_014313946.1	XP_031800130.1
OG0000010	XP_006091995.1, XP_006092150.1	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1
OG0000011	XP_006109699.2, XP_006086528.1, XP_023607814.1, XP_006086520.1, XP_023607813.1, XP_006086527.1, XP_023607816.1, XP_006086523.2, XP_006109698.1, XP_006086525.1, XP_023607817.1, XP_006086526.1, XP_014309297.1, XP_006086677.1	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3
OG0000016	XP_006109610.1, XP_023605073.1, XP_006108782.1, XP_006098173.1, XP_006108783.1, XP_006098177.1, XP_006098175.1, XP_006098178.1, XP_006098179.1, XP_014319259.1, XP_006098180.1	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1
OG0000017	XP_006081579.1	XP_023358579.1
OG0000017	XP_014315670.1	XP_003758424.1, XP_031806205.1
OG0000018	XP_014301359.1	XP_031822886.1
OG0000018	XP_006095231.1	XP_023359832.1, XP_023358477.2, XP_031823291.1
OG0000019	XP_006087592.3, XP_006087532.1	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2
OG0000019	XP_006087533.1	XP_031805364.1, XP_003759311.2, XP_031805363.1, XP_003759310.2
OG0000019	XP_014310270.1	XP_031805360.1
