Orthogroup	Mus_musculus	Homo_sapiens
OG0000000	XP_030098258.1, NP_033587.2	NP_001375102.1, NP_001375106.1, NP_057003.2, NP_001375105.1, NP_001375104.1, NP_001139692.1, NP_001027546.1, NP_001375103.1, NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1
OG0000000	NP_663458.2	NP_001309054.1, NP_001309055.1, XP_047295761.1
OG0000000	NP_001094948.1	XP_047272426.1, NP_001265594.1, XP_047294753.1, NP_001243101.1, XP_011513906.2, XP_047295611.1, XP_016864080.1, NP_001164376.1, NP_612203.2, XP_047294335.1, NP_001092096.1, XP_016881603.1, NP_001264332.1, NP_689839.1, NP_848653.2, NP_001230967.1, NP_001342333.1, NP_067092.2
OG0000000	NP_001020334.1	NP_065864.2
OG0000000	NP_690027.1	NP_001138815.1
OG0000000	NP_001389468.1	NP_001035939.1, NP_001180481.1, NP_653291.1, NP_001307300.2
OG0000000	NP_001406212.1	NP_694989.2, NP_001229729.1, NP_001229730.1, NP_001229731.1, NP_996777.2, XP_047294754.1
OG0000000	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1	NP_001284548.1
OG0000000	NP_808557.2	NP_001307595.1, NP_001308846.1
OG0000000	NP_001020099.1, XP_006540216.1	NP_001308285.1
OG0000000	NP_001345745.1	NP_001336738.1
OG0000001	XP_011247286.1, NP_848504.2	NP_001284497.1
OG0000001	NP_001020121.2, XP_006524318.1	NP_660338.1, NP_003428.1, NP_001129973.1, NP_660276.2, XP_047294275.1, XP_016882684.1, NP_001073873.2, NP_066966.2, XP_005259787.1, NP_689569.2, NP_001073962.1, NP_001157748.1, NP_110451.1, NP_660319.1
OG0000001	NP_001028985.1	NP_066358.2, NP_065765.1, NP_659413.1, NP_079080.2, XP_047295678.1, NP_149990.1, NP_699189.2, NP_689814.1
OG0000001	XP_030106060.1	NP_001189337.1, NP_001189338.1, NP_001189341.1, NP_001189339.1, NP_001189340.1, NP_001189335.1, NP_115886.1, NP_001189336.1
OG0000002	NP_667253.1, NP_667282.1	NP_001005190.1, NP_112163.1
OG0000003	NP_835503.1	NP_003509.1
OG0000003	NP_001171124.1, NP_075911.2, NP_001277309.1	NP_001368918.1
OG0000003	NP_001277459.1	NP_003513.1
OG0000003	NP_835586.2	NP_003510.1
OG0000003	NP_783597.2	NP_001019770.1, NP_001154806.1
OG0000003	NP_783595.1	NP_059141.1, XP_006723981.1, NP_066406.1, NP_003511.1
OG0000003	NP_835507.1	NP_066407.1
OG0000003	NP_001380452.1	NP_778225.1
OG0000003	NP_835504.1	NP_003519.1, NP_542160.1, NP_066402.2, NP_001299582.1
