Orthogroup	Saimiri_boliviensis_boliviensis	Homo_sapiens
OG0000000	XP_039322266.1	NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1
OG0000000	XP_039322567.1, XP_039322569.1, XP_039322564.1, XP_039322566.1	NP_001340733.1
OG0000000	XP_039336058.1	NP_001276882.1
OG0000000	XP_010330281.2	NP_001309054.1, NP_001309055.1, XP_047295761.1
OG0000000	XP_039322514.1, XP_039322513.1, XP_010330414.1	NP_001356754.1
OG0000000	XP_039322572.1	NP_001309058.1, NP_150630.2, NP_942596.1, NP_001309066.1, NP_001309067.1, NP_001309068.1, NP_001309065.1, NP_001309064.1, NP_001309059.1, NP_001309061.1, NP_001309060.1, NP_001309062.1, NP_001309063.1, NP_001096073.1, NP_001309057.1, XP_047295573.1
OG0000000	XP_039322571.1	NP_001166145.1, NP_001166146.1, NP_115973.2
OG0000000	XP_010330277.1, XP_010330278.1	XP_047295035.1
OG0000000	XP_010338946.1	NP_001381102.1
OG0000000	XP_039324031.1	XP_047272426.1
OG0000000	XP_039321673.1, XP_039321400.1	NP_001265594.1
OG0000000	XP_010330711.2	XP_047294753.1
OG0000000	XP_039321425.1, XP_039321418.1	NP_001243101.1
OG0000000	XP_039321412.1	XP_047295611.1
OG0000000	XP_039320155.1, XP_010331289.2, XP_039323208.1	XP_016864080.1
OG0000000	XP_010334138.2, XP_010331230.1	NP_001164376.1
OG0000000	XP_039321404.1	NP_612203.2, XP_047294335.1
OG0000000	XP_039316661.1	NP_689839.1
OG0000000	XP_010331229.1	NP_848653.2
OG0000000	XP_039321397.1	NP_001230967.1
OG0000000	XP_039321411.1	NP_001342333.1
OG0000000	XP_039335007.1	NP_067092.2
OG0000000	XP_010346300.1	NP_001308920.1, NP_001287922.1
OG0000000	XP_003944077.1	NP_065864.2
OG0000000	XP_010346293.1	NP_001138815.1
OG0000000	XP_039322936.1	NP_001035939.1
OG0000000	XP_003937449.1	NP_001180481.1
OG0000000	XP_003944081.1	NP_653291.1, NP_001307300.2
OG0000000	XP_010346287.1, XP_003937452.1	NP_694989.2
OG0000000	XP_003937459.2	NP_001229729.1, NP_001229730.1, NP_001229731.1, NP_996777.2, XP_047294754.1
