Orthogroup	Echinops_telfairi	Ictidomys_tridecemlineatus
OG0000000	XP_030742209.2, XP_045148337.1, XP_045148348.1, XP_045148355.1	XP_040135078.1
OG0000000	XP_045148498.1, XP_045148479.1, XP_045148490.1	XP_021576803.1
OG0000000	XP_045148835.1	XP_021576898.1
OG0000000	XP_045148833.1	XP_021576901.1
OG0000000	XP_030742044.2	XP_005342012.1
OG0000000	XP_030742236.1	XP_021576027.1
OG0000000	XP_045148817.1	XP_021576894.1
OG0000000	XP_045148252.1, XP_045148251.1	XP_040146794.1
OG0000000	XP_004715710.1	XP_013221241.1
OG0000000	XP_045142672.1	XP_013212186.1
OG0000001	XP_045156010.1	XP_040146916.1, XP_021589114.1, XP_021576558.1, XP_013221205.1, XP_021587206.1, XP_021587205.1, XP_021587207.1, XP_021587102.1, XP_021587204.1, XP_040146264.1, XP_040146260.1, XP_013217290.1, XP_013217292.1, XP_013218748.2, XP_005336245.2, XP_013218788.2, XP_021589559.1, XP_040148063.1
OG0000001	XP_045156114.1	XP_040137776.1
OG0000003	XP_004712547.1	XP_005337106.1, XP_005337118.1, XP_005337132.1, XP_013216605.1, XP_005337109.1, XP_005337115.1
OG0000003	XP_004712545.1	XP_021590095.1
OG0000003	XP_004712556.1	XP_005337121.1, XP_005337103.1
OG0000003	XP_004716623.1	XP_005331197.1
OG0000004	XP_004712558.1	XP_013219117.1
OG0000004	XP_004716624.1	XP_005331198.1
OG0000005	XP_030743198.1	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1
OG0000005	XP_004700650.1, XP_030741266.1	XP_005342769.3
OG0000005	XP_004700643.1	XP_005342567.1
OG0000006	XP_012862570.1	XP_040137726.1, XP_040124164.1, XP_040143849.1
OG0000006	XP_045145606.1	XP_013220679.2
OG0000007	XP_030742138.1, XP_004715725.1, XP_030742141.1	XP_040135772.1
OG0000007	XP_012863437.1	XP_040135775.1, XP_005333142.3, XP_005333141.1, XP_005333140.1
OG0000008	XP_045152547.1	XP_021585038.2
OG0000008	XP_045141709.1	XP_005340090.1
OG0000008	XP_045141717.1	XP_021575630.1
OG0000008	XP_045149590.1	XP_021577360.1
OG0000009	XP_045151687.1, XP_045151702.1	XP_040139563.1, XP_040137927.1
OG0000010	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3	XP_013216063.1
OG0000010	XP_004708520.1, XP_030741715.1	XP_005341590.1, XP_005330122.1, XP_005330123.1
OG0000010	XP_004708431.3	XP_005330009.1, XP_005330125.1, XP_005330126.1, XP_005330124.1, XP_005341591.1, XP_005330010.1, XP_005330129.3, XP_005341582.1, XP_005330008.1
OG0000011	XP_012861711.2	XP_013213578.3, XP_013213630.1
OG0000011	XP_012860119.2	XP_013213560.1, XP_005324320.1
OG0000012	XP_004714207.1, XP_012861936.2, XP_012864145.1	XP_005329220.1
OG0000012	XP_030743784.1, XP_004713945.1	XP_013215724.1, XP_040144087.1, XP_040144082.1, XP_040144098.1
OG0000012	XP_012862981.1	XP_021584686.2, XP_021584687.1
OG0000012	XP_045146714.1, XP_045146698.1, XP_045146499.1	XP_005329233.1, XP_005329232.1
OG0000012	XP_004713947.1, XP_004711269.1	XP_040144109.1
OG0000012	XP_004710064.1	XP_040143977.1, XP_005316390.1
OG0000013	XP_004714288.1, XP_004714287.1	XP_013216903.1
OG0000013	XP_004714376.1	XP_005342199.1, XP_005342184.2, XP_040146941.1, XP_005342200.1
OG0000013	XP_004714373.1	XP_005342933.2, XP_040146943.1, XP_005332219.2
OG0000014	XP_045148263.1	XP_040135461.1
OG0000014	XP_045148253.1	XP_005341812.3
OG0000014	XP_045148695.1	XP_013221367.2
OG0000014	XP_045148265.1, XP_045148272.1	XP_021576769.1, XP_040135700.1, XP_013221372.3
OG0000015	XP_004716911.2	XP_040147035.1, XP_040147041.1, XP_013221517.1, XP_013221516.1, XP_013221515.1, XP_013221949.2, XP_040147040.1, XP_013221514.1, XP_013221559.1, XP_013221554.1, XP_005342190.2, XP_013221511.1, XP_013221510.3, XP_040146934.1, XP_013221512.2, XP_005342118.2, XP_040147036.1, XP_013221948.1, XP_013221537.1, XP_021576956.2, XP_013221552.1, XP_005342114.1, XP_005342115.1, XP_005342191.1, XP_013221519.2, XP_021576954.1, XP_040147037.1, XP_005342111.1, XP_013221540.1, XP_013221557.1, XP_005342210.1, XP_005342211.1
OG0000017	XP_004707348.1	XP_013215216.2
OG0000017	XP_012863346.1	XP_005319549.1
OG0000018	XP_012859399.1	XP_005332630.1
OG0000018	XP_004716622.1	XP_005331196.1, XP_021590090.1
OG0000018	XP_004696931.1	XP_005342614.1
OG0000019	XP_004698479.1	XP_005337215.1, XP_040144992.1
OG0000019	XP_004712790.1	XP_005337230.1
OG0000019	XP_004712724.1	XP_005337206.1, XP_005337211.1, XP_005337213.1, XP_005337212.1
OG0000019	XP_004712723.1	XP_005337207.1
OG0000020	XP_030742134.1	XP_040135768.1
OG0000021	XP_004717377.1, XP_012863941.2, XP_004717372.2, XP_004717798.2, XP_004717375.1, XP_004717804.3	XP_005341282.1, XP_013219994.1, XP_005338899.1
OG0000021	XP_004717803.1	XP_005338882.1, XP_013221669.1
OG0000021	XP_004697297.1	XP_013221200.1
OG0000021	XP_004697303.1	XP_005341493.2, XP_013221937.1, XP_005341492.1, XP_005342426.1
OG0000021	XP_012861777.1	XP_005342785.1
OG0000022	XP_012861131.1	XP_013213574.1
