Orthogroup	Rattus_norvegicus	Sus_scrofa
OG0000000	XP_008757184.1, NP_001017512.2	XP_020953205.1
OG0000000	NP_001414718.1, XP_063143066.1	XP_005664948.2
OG0000000	NP_001128198.1, XP_038944205.1	XP_020952850.1
OG0000000	XP_008757455.1, XP_006228826.1, XP_006228825.1, XP_006228824.1	XP_020952794.1
OG0000000	NP_001094461.1, XP_038943235.1	XP_013853905.1
OG0000000	XP_006255213.1	XP_020952895.1, XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1
OG0000000	XP_063133243.1	XP_020952983.1, XP_020953072.1, XP_020952989.1
OG0000000	XP_006228251.1, NP_001008557.1	XP_020950733.1
OG0000000	XP_063119671.1, NP_001387994.1	XP_003481363.2
OG0000001	XP_063124294.1	XP_020940803.1
OG0000001	NP_001396167.1	XP_013846094.1, XP_020939404.1, XP_020939396.1, XP_020939408.1, XP_003354140.1, XP_020939542.1
OG0000002	NP_001000108.1, XP_006255421.1	XP_003123502.2
OG0000002	NP_997480.2, NP_001000941.1	XP_005661279.1, XP_003123450.2, XP_020937687.1, XP_003480815.2, XP_003123451.2, XP_003123462.2, XP_020937696.1, XP_003123498.3, XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1
OG0000003	NP_001396017.1	XP_020955500.1
OG0000003	NP_001100822.1	XP_001927752.1
OG0000003	NP_001403243.1	XP_020955503.1, XP_020945586.1
OG0000003	NP_001395954.1	XP_020954093.1
OG0000003	NP_001101884.1	NP_001230585.1, XP_001927974.2
OG0000003	NP_001103111.1	XP_020939042.1
OG0000003	NP_001102870.1	XP_003356615.2, XP_020955505.1, XP_020955504.1, XP_020955502.1
OG0000004	NP_001395916.1	XP_013832958.1, XP_013832957.1
OG0000004	NP_001395680.1, NP_001395861.1, NP_001102893.1	XP_020954090.1
OG0000004	NP_068612.2	XP_020939041.1
OG0000004	NP_001104811.1	XP_020945584.1
OG0000004	NP_001103080.1	XP_013853268.2
OG0000004	NP_001395771.1	XP_013852658.1
OG0000005	NP_001000060.1	XP_001926317.2
OG0000005	NP_001000075.1	XP_001927079.3, XP_020937464.1, XP_020937465.1, XP_020947415.1, XP_020936943.1, XP_020937078.1, XP_020938015.1, XP_020936944.1, XP_020937461.1, XP_020936946.1, XP_020937462.1, XP_020937074.1, XP_020936920.1, XP_020937580.1, XP_020946884.1, XP_020947426.1, XP_003126291.3, XP_020947416.1
OG0000005	NP_001000587.1, NP_001001360.1, NP_001000703.1	XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2
OG0000005	NP_001000700.1, NP_001001356.1	XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3
OG0000005	NP_001000061.1	XP_020937937.1, XP_003355500.2, XP_020937458.1
OG0000005	NP_001000055.1	XP_013839577.1
OG0000006	XP_006244762.1	XP_020933479.1, XP_020955477.1
OG0000006	XP_038956947.1, XP_038969294.2, XP_063120484.1, XP_038956651.1, XP_063136755.1, XP_063141299.1, XP_038959293.1, XP_063118789.1, XP_063136877.1, XP_063136617.1, XP_063132198.1	XP_020921056.1, XP_020956191.1, XP_020936626.1, XP_020933478.1, XP_020925483.1, XP_020930447.1
OG0000006	XP_063138919.1, XP_063138801.1, XP_063138800.1, XP_063120507.1, XP_063128749.1, XP_063118653.1, XP_063136520.1, XP_063138765.1, XP_063144646.1, XP_063130967.1, XP_063132935.1, XP_063132936.1, XP_063138932.1, XP_063138931.1, XP_063131938.1, XP_063131939.1	XP_020922897.1, XP_020939871.1
OG0000007	XP_038953247.1, XP_038953242.1, XP_038953239.1	XP_020953242.1
OG0000007	NP_001009510.1	XP_020952937.1, XP_020952936.1, XP_003360687.2, XP_020952939.1, XP_013854178.1
OG0000008	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1	XP_020950594.1, XP_005660392.2
OG0000008	XP_017457697.2	XP_020935751.1
OG0000008	XP_006248929.1, NP_001178593.1	XP_020941711.1, XP_005653115.2
OG0000008	XP_221917.5, NP_001414121.1	XP_005653113.1
OG0000008	XP_063136497.1	XP_013846325.1
OG0000008	NP_001020936.1, XP_063134265.1	XP_020949541.1
OG0000009	NP_001161825.1, NP_001008834.1, XP_063135479.1, NP_001008845.1, NP_001008841.1, XP_038954892.1, XP_063135474.1, NP_001008838.1, NP_001008836.1, XP_063135475.1, XP_038954887.1, NP_001008842.1, NP_001008839.1, XP_063135491.1, XP_063135177.1, NP_001029158.1, XP_063135032.1, NP_001008827.1, XP_063135457.1, NP_001008833.1, XP_063135487.1, NP_001008830.1, XP_038954604.1, NP_001008840.1, NP_001008832.1, XP_038954582.1, XP_063135164.1, NP_001008835.1, NP_001008829.1, XP_063135035.1	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1
OG0000010	NP_001001067.1	XP_020937683.1, XP_020937114.1, XP_020937016.1, XP_020937352.1, XP_020937349.1, XP_020938008.1, XP_005654730.1, XP_013834759.1, XP_020940399.1
OG0000011	NP_001395834.1, XP_001055818.2, NP_001102593.2, NP_001102865.1, NP_001108076.1, NP_001395838.1, NP_001014783.1, NP_001014804.1, NP_001391845.1, NP_001108074.2, NP_001102860.1, NP_001395766.1, NP_001395668.1, NP_001395844.1, NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2, NP_001403744.1	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1
OG0000012	NP_001037711.1, XP_063136102.1	XP_020935452.1
OG0000012	XP_003752106.1	XP_020935940.1, XP_013841481.1, XP_005673575.1
OG0000012	NP_001395772.1, NP_001171154.1	XP_020935784.1, XP_020936168.1
OG0000012	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1	XP_005673573.2, XP_020935939.1, XP_005673577.2
OG0000013	NP_001000881.1	XP_013845988.1
OG0000013	XP_017451017.1, NP_001000432.1, NP_001000429.1	XP_020941162.1
OG0000014	XP_006228239.1, XP_008757305.3, NP_001178549.1	XP_020952999.1
