Orthogroup	Urocitellus_parryii	Ursus_americanus
OG0000000	XP_026259515.1	XP_045672096.1
OG0000000	XP_026238407.1	XP_045645194.1
OG0000000	XP_026235051.1	XP_045642231.1
OG0000000	XP_026262699.1	XP_045661175.1, XP_045661221.1
OG0000000	XP_026235903.1	XP_045661136.1
OG0000000	XP_026237094.1	XP_045630187.1
OG0000000	XP_026237210.1	XP_045661152.1
OG0000000	XP_026237216.1	XP_045661198.1
OG0000000	XP_026247064.1	XP_045652605.1
OG0000000	XP_026267921.1	XP_045642108.1
OG0000000	XP_026237455.1	XP_045629728.1
OG0000000	XP_026237090.1, XP_026237089.1	XP_045630174.1
OG0000000	XP_026265638.1	XP_045633339.1
OG0000002	XP_026238504.1	XP_045659594.1
OG0000002	XP_026238350.1, XP_026238584.1	XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1
OG0000003	XP_026270377.1	XP_045656370.1
OG0000003	XP_026237648.1	XP_045656371.1
OG0000003	XP_026263464.1	XP_045656416.1
OG0000003	XP_026237966.1	XP_045659934.1
OG0000003	XP_026237965.1	XP_045659933.1
OG0000003	XP_026259839.1	XP_045633094.1
OG0000003	XP_026270385.1	XP_045656365.1
OG0000004	XP_026270382.1	XP_045656361.1
OG0000004	XP_026270383.1	XP_045656360.1
OG0000004	XP_026238606.1	XP_045656405.1
OG0000004	XP_026238610.1	XP_045633095.1, XP_045633096.1
OG0000004	XP_026263457.1	XP_045656403.1
OG0000004	XP_026263456.1	XP_045656362.1
OG0000004	XP_026270403.1	XP_045656363.1
OG0000004	XP_026259837.1	XP_045633092.1
OG0000004	XP_026269954.1	XP_045637404.1
OG0000004	XP_026259838.1	XP_045633093.1
OG0000004	XP_026263475.1	XP_045656431.1
OG0000005	XP_026237754.1, XP_026236696.1	XP_045632498.1, XP_045652424.1
OG0000005	XP_026254205.1	XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1
OG0000005	XP_026237752.1, XP_026254204.1	XP_045645927.1, XP_045632517.1
OG0000005	XP_026254194.1	XP_045652430.1, XP_045652427.1, XP_045632518.1
OG0000005	XP_026254170.1, XP_026254267.1, XP_026254163.1, XP_026254177.1, XP_026254171.1, XP_026254175.1	XP_045645521.1
OG0000006	XP_026270592.1	XP_045656292.1
OG0000006	XP_026245409.1, XP_026268252.1, XP_026238327.1, XP_026265281.1, XP_026251594.1, XP_026268248.1, XP_026250486.1, XP_026263551.1, XP_026238340.1, XP_026237231.1, XP_026236588.1, XP_026240291.1, XP_026267714.1, XP_026260361.1	XP_045661052.1
OG0000007	XP_026235559.1	XP_045629912.1
OG0000007	XP_026238048.1	XP_045645410.1, XP_045645411.1, XP_045645412.1
OG0000007	XP_026237661.1, XP_026237675.1, XP_026237678.1, XP_026238595.1, XP_026238594.1, XP_026238338.1, XP_026238538.1, XP_026237663.1, XP_026238337.1, XP_026237676.1, XP_026237677.1, XP_026237662.1, XP_026237660.1, XP_026237659.1	XP_045645201.1, XP_045631120.1
OG0000008	XP_026237845.1	XP_045631167.1, XP_045631098.1
OG0000008	XP_026249121.1	XP_045670779.1
OG0000008	XP_026268615.1	XP_045644759.1
OG0000008	XP_026268556.1	XP_045651930.1
OG0000008	XP_026235043.1	XP_045642057.1
OG0000008	XP_026262971.1	XP_045669366.1
OG0000008	XP_026262968.1	XP_045669362.1
OG0000008	XP_026237339.1, XP_026262695.1	XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1
OG0000008	XP_026260312.1	XP_045670809.1
OG0000009	XP_026237619.1, XP_026238128.1, XP_026270128.1, XP_026271081.1, XP_026237422.1, XP_026237620.1, XP_026270106.1	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1
OG0000010	XP_026235016.1	XP_045642840.1
OG0000010	XP_026235001.1	XP_045642833.1, XP_045642838.1
OG0000010	XP_026237833.1, XP_026234999.1, XP_026235002.1	XP_045642839.1
OG0000010	XP_026235003.1, XP_026235031.1, XP_026235037.1, XP_026235026.1, XP_026235005.1, XP_026235024.1	XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1
OG0000011	XP_026240285.1	XP_045650413.1
OG0000011	XP_026240157.1	XP_045650417.1
OG0000011	XP_026240169.1	XP_045650426.1
OG0000011	XP_026240287.1	XP_045650411.1
OG0000011	XP_026240286.1	XP_045650412.1
OG0000011	XP_026240203.1	XP_045650416.1, XP_045650414.1
OG0000011	XP_026240223.1	XP_045650423.1
OG0000011	XP_026240156.1	XP_045650419.1
OG0000011	XP_026240283.1, XP_026240273.1, XP_026240279.1	XP_045650422.1
OG0000012	XP_026267998.1	XP_045659615.1
OG0000012	XP_026236422.1	XP_045660985.1, XP_045660983.1
OG0000012	XP_026265286.1	XP_045634849.1
OG0000012	XP_026265287.1	XP_045634850.1, XP_045634848.1
OG0000012	XP_026252549.1	XP_045660009.1
OG0000013	XP_026267604.1	XP_045630277.1
OG0000013	XP_026267646.1	XP_045630276.1, XP_045630304.1, XP_045630339.1, XP_045630337.1, XP_045630355.1, XP_045630386.1, XP_045630336.1, XP_045630350.1
OG0000013	XP_026267655.1, XP_026267654.1	XP_045630326.1
OG0000014	XP_026235441.1	XP_045629904.1
OG0000014	XP_026237452.1	XP_045629486.1
OG0000014	XP_026237457.1	XP_045629702.1
OG0000014	XP_026237453.1	XP_045629613.1, XP_045629604.1, XP_045629575.1
OG0000014	XP_026238218.1	XP_045629542.1
OG0000014	XP_026238215.1	XP_045629587.1
OG0000014	XP_026235530.1	XP_045629495.1, XP_045629475.1
OG0000014	XP_026235521.1	XP_045629554.1
OG0000015	XP_026238401.1	XP_045630316.1
OG0000015	XP_026237050.1, XP_026237057.1, XP_026238370.1, XP_026238358.1, XP_026238520.1, XP_026237048.1, XP_026238002.1, XP_026238003.1, XP_026238256.1, XP_026237055.1	XP_045630360.1
OG0000016	XP_026254324.1, XP_026238530.1, XP_026254325.1, XP_026254326.1, XP_026253371.1, XP_026253373.1	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1
OG0000017	XP_026241043.1, XP_026241097.1	XP_045640004.1, XP_045639964.1, XP_045640398.1
OG0000017	XP_026245802.1	XP_045634772.1, XP_045634756.1
OG0000017	XP_026242115.1	XP_045647112.1
OG0000017	XP_026269685.1	XP_045634937.1
OG0000018	XP_026260518.1, XP_026261538.1	XP_045670225.1
OG0000018	XP_026263466.1, XP_026263454.1, XP_026237650.1	XP_045633105.1
OG0000018	XP_026238633.1	XP_045656357.1
OG0000018	XP_026237964.1	XP_045659932.1
OG0000019	XP_026237322.1, XP_026237907.1, XP_026237350.1	XP_045645141.1, XP_045643388.1
OG0000019	XP_026237345.1	XP_045645143.1, XP_045643386.1
OG0000020	XP_026237159.1	XP_045645295.1
OG0000021	XP_026269162.1, XP_026238265.1, XP_026238466.1	XP_045672083.1
OG0000021	XP_026238206.1	XP_045651759.1
OG0000021	XP_026238208.1	XP_045651766.1, XP_045651768.1, XP_045651777.1
OG0000022	XP_026240262.1	XP_045650391.1
OG0000022	XP_026240150.1	XP_045650387.1
OG0000022	XP_026240155.1	XP_045650396.1
OG0000022	XP_026240267.1, XP_026240268.1	XP_045650384.1
OG0000022	XP_026240264.1	XP_045650404.1
OG0000022	XP_026240207.1	XP_045650405.1
OG0000022	XP_026240152.1	XP_045650392.1
OG0000023	XP_026237819.1	XP_045631125.1
OG0000023	XP_026237812.1	XP_045631124.1
OG0000024	XP_026236673.1, XP_026258497.1, XP_026236675.1	XP_045653510.1
OG0000024	XP_026236680.1, XP_026258469.1, XP_026258479.1, XP_026236677.1, XP_026258471.1, XP_026258470.1, XP_026236684.1, XP_026236676.1, XP_026258467.1	XP_045653577.1
OG0000024	XP_026236679.1, XP_026236681.1	XP_045653509.1, XP_045653508.1
OG0000026	XP_026258673.1	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1
OG0000027	XP_026246086.1	XP_045633509.1
OG0000027	XP_026262798.1	XP_045657089.1
OG0000027	XP_026235932.1	XP_045631313.1
OG0000027	XP_026247615.1	XP_045668843.1
OG0000027	XP_026252923.1	XP_045643594.1
OG0000027	XP_026262797.1	XP_045657088.1
OG0000027	XP_026262767.1	XP_045657091.1
OG0000028	XP_026262339.1, XP_026262308.1, XP_026262335.1, XP_026262348.1, XP_026262307.1, XP_026262356.1, XP_026262338.1, XP_026262331.1, XP_026262340.1, XP_026262349.1, XP_026262336.1, XP_026262347.1, XP_026262341.1, XP_026262306.1, XP_026262337.1, XP_026262311.1, XP_026262310.1, XP_026262309.1	XP_045643020.1, XP_045643013.1
OG0000028	XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1	XP_045643014.1, XP_045643018.1
OG0000028	XP_026262354.1, XP_026262314.1, XP_026262353.1	XP_045643019.1, XP_045643012.1, XP_045643011.1
OG0000028	XP_026262305.1	XP_045643015.1
