Orthogroup	Ursus_americanus	Ictidomys_tridecemlineatus
OG0000000	XP_045672096.1	XP_005338252.2
OG0000000	XP_045630216.1	XP_005336165.1
OG0000000	XP_045645193.1	XP_040146438.1
OG0000000	XP_045645194.1	XP_021576805.2, XP_021576806.1, XP_021576803.1
OG0000000	XP_045661221.1	XP_021576898.1
OG0000000	XP_045661136.1	XP_021576901.1
OG0000000	XP_045630187.1	XP_021576636.1
OG0000000	XP_045661198.1	XP_005342012.1
OG0000000	XP_045661205.1	XP_021576027.1
OG0000000	XP_045661204.1	XP_021576894.1
OG0000000	XP_045652605.1	XP_040135352.1
OG0000000	XP_045642108.1	XP_021576039.1
OG0000000	XP_045629146.1	XP_040146794.1
OG0000000	XP_045629728.1	XP_040136033.1, XP_021576780.1
OG0000000	XP_045630174.1	XP_013221241.1
OG0000000	XP_045633339.1	XP_013212186.1
OG0000001	XP_045630322.1	XP_040137776.1
OG0000002	XP_045634378.1	XP_005336366.1
OG0000002	XP_045659594.1	XP_021577056.1
OG0000002	XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1	XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1
OG0000003	XP_045656411.1	XP_013219120.1
OG0000003	XP_045656370.1	XP_005337132.1, XP_013216605.1
OG0000003	XP_045656416.1	XP_005337121.1, XP_005337103.1
OG0000003	XP_045656412.1	XP_021590094.1
OG0000003	XP_045659934.1	XP_005342617.1
OG0000003	XP_045659933.1	XP_005342616.1
OG0000003	XP_045633094.1	XP_005331197.1
OG0000003	XP_045656365.1	XP_005337126.1
OG0000004	XP_045656361.1	XP_013219116.1, XP_005337120.1
OG0000004	XP_045656406.1, XP_045656405.1	XP_013219115.1
OG0000004	XP_045633096.1	XP_005331193.1, XP_005331195.1
OG0000004	XP_045656403.1	XP_040139584.1
OG0000004	XP_045656362.1	XP_021590093.1
OG0000004	XP_045656363.1	XP_013219117.1
OG0000004	XP_045633092.1	XP_021586083.1
OG0000004	XP_045637404.1	XP_005331946.1
OG0000004	XP_045633093.1	XP_005331198.1
OG0000004	XP_045656431.1	XP_005337088.1
OG0000005	XP_045632498.1, XP_045652424.1	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1
OG0000005	XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1	XP_005342755.2
OG0000005	XP_045632521.1, XP_045645925.1	XP_005342769.3
OG0000005	XP_045645521.1	XP_005342567.1
OG0000006	XP_045656292.1	XP_013220679.2
OG0000006	XP_045661052.1	XP_021581918.1, XP_040137954.1, XP_013211517.1, XP_040129277.1, XP_040129216.1, XP_013220730.2, XP_040139203.1, XP_040146805.1, XP_040146864.1, XP_040126337.1, XP_040134474.1, XP_021586353.1, XP_013213549.1, XP_040141572.1, XP_040133703.1, XP_040145847.1, XP_013221250.2, XP_040137093.1, XP_040143137.1
OG0000007	XP_045641340.1	XP_040135808.1
OG0000007	XP_045645410.1, XP_045645411.1, XP_045645412.1	XP_021577093.1
OG0000007	XP_045645201.1, XP_045631120.1	XP_005341842.2, XP_021576801.1, XP_005341858.3, XP_040135114.1, XP_005342044.1, XP_005342048.1, XP_005342968.2, XP_021576917.1, XP_005342043.1, XP_021576802.1, XP_005342846.1, XP_005341843.1, XP_005341851.1, XP_005341854.1, XP_005341852.2, XP_005342969.1, XP_005342038.2, XP_005341850.1
OG0000007	XP_045645184.1	XP_040135772.1
OG0000008	XP_045670779.1	XP_021585038.2
OG0000008	XP_045644759.1	XP_040142796.1, XP_005340718.1, XP_040142795.1
OG0000008	XP_045651930.1	XP_040132762.1
OG0000008	XP_045642057.1	XP_021575996.1
OG0000008	XP_045669366.1	XP_005340090.1
OG0000008	XP_045669362.1	XP_021575630.1
OG0000008	XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1	XP_013211286.2, XP_021579127.1
OG0000008	XP_045670809.1	XP_021577360.1
OG0000009	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1	XP_040138269.1, XP_021591414.1, XP_040138266.1, XP_040138267.1, XP_005339080.1, XP_040138268.1, XP_005339081.1, XP_040139563.1, XP_040137927.1, XP_040137941.1, XP_040138201.1, XP_040138200.1, XP_040138192.1, XP_021577268.2, XP_021591274.1, XP_040138191.1, XP_005342513.1, XP_040138206.1, XP_040138208.1, XP_040138373.1
OG0000010	XP_045642840.1	XP_021585329.1
OG0000010	XP_045642833.1, XP_045642838.1	XP_013216063.1
OG0000010	XP_045642839.1	XP_005341590.1, XP_005330122.1, XP_005330123.1
OG0000010	XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1	XP_005330009.1, XP_005330125.1, XP_005330126.1, XP_005330124.1, XP_005341591.1, XP_005330010.1, XP_005330129.3, XP_005341582.1, XP_005330008.1
OG0000011	XP_045650413.1	XP_005324350.2
OG0000011	XP_045650417.1	XP_013213581.1
OG0000011	XP_045650426.1	XP_005324322.1
OG0000011	XP_045650411.1	XP_005324316.1
OG0000011	XP_045650412.1	XP_005324315.2
OG0000011	XP_045650424.1	XP_013213584.1
OG0000011	XP_045650416.1, XP_045650414.1	XP_005324317.2
OG0000011	XP_045650423.1	XP_013213578.3, XP_013213630.1
OG0000011	XP_045650422.1	XP_013213560.1, XP_005324320.1
OG0000011	XP_045650407.1	XP_021581335.1
OG0000012	XP_045659615.1	XP_005329220.1
OG0000012	XP_045660985.1, XP_045660983.1	XP_040144098.1
OG0000012	XP_045634849.1	XP_021584687.1
OG0000012	XP_045634850.1, XP_045634848.1	XP_040144109.1
OG0000012	XP_045660009.1	XP_040143977.1, XP_005316390.1
OG0000013	XP_045630277.1	XP_013216903.1
OG0000013	XP_045630326.1	XP_005342933.2, XP_040146943.1, XP_005332219.2
OG0000014	XP_045629904.1	XP_040135461.1
OG0000014	XP_045629486.1	XP_005341812.3
OG0000014	XP_045629702.1	XP_021576777.1
OG0000014	XP_045629613.1, XP_045629604.1, XP_045629575.1	XP_013221367.2
OG0000014	XP_045629542.1	XP_021576771.1
OG0000014	XP_045629587.1	XP_021576769.1
OG0000014	XP_045629495.1, XP_045629475.1	XP_013221366.2
OG0000014	XP_045629554.1	XP_040135701.1
OG0000015	XP_045630316.1	XP_040147035.1
OG0000015	XP_045630360.1	XP_040147041.1, XP_013221517.1, XP_013221516.1, XP_013221515.1, XP_013221949.2, XP_040147040.1, XP_013221514.1, XP_013221559.1, XP_013221554.1, XP_005342190.2, XP_013221511.1, XP_013221510.3, XP_040146934.1, XP_013221512.2, XP_005342118.2, XP_040147036.1, XP_013221948.1, XP_013221537.1, XP_021576956.2, XP_013221552.1, XP_005342114.1, XP_005342115.1, XP_005342191.1, XP_013221519.2, XP_021576954.1, XP_040147037.1, XP_005342111.1, XP_013221540.1, XP_013221557.1, XP_005342210.1, XP_005342211.1
OG0000016	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1	XP_013218640.1, XP_013218639.1, XP_013218641.1, XP_005335969.1, XP_005335970.1, XP_005335982.1, XP_005335971.1, XP_013218637.1, XP_013218636.1
OG0000017	XP_045634772.1, XP_045634756.1	XP_021587110.1
OG0000017	XP_045629463.1	XP_013215216.2
OG0000017	XP_045634937.1	XP_005319549.1
OG0000018	XP_045670225.1	XP_005332630.1
OG0000018	XP_045633105.1	XP_013219111.1, XP_005331191.1, XP_040139591.1, XP_005331196.1, XP_021590090.1
OG0000018	XP_045656399.1	XP_021590092.1
OG0000018	XP_045659932.1	XP_005342614.1
OG0000019	XP_045645141.1, XP_045643388.1	XP_005337209.1, XP_005337210.1, XP_005342124.1, XP_005337214.1
OG0000019	XP_045645143.1, XP_045643386.1	XP_005337215.1, XP_040144992.1
OG0000021	XP_045672083.1	XP_005341282.1, XP_013219994.1, XP_005338899.1, XP_013221841.1, XP_005341283.1, XP_005338900.1, XP_005338883.1, XP_005338882.1, XP_013221669.1
OG0000021	XP_045651759.1	XP_013221200.1
OG0000021	XP_045651766.1, XP_045651768.1, XP_045651777.1	XP_005341493.2, XP_013221937.1, XP_005341492.1, XP_005342426.1
OG0000021	XP_045651736.1, XP_045651734.1, XP_045651778.1, XP_045655329.1	XP_005342785.1
OG0000022	XP_045650391.1	XP_013213574.1
OG0000022	XP_045650387.1	XP_013213552.1
OG0000022	XP_045650388.1	XP_005324326.2
OG0000022	XP_045650396.1	XP_013213585.2
OG0000022	XP_045650384.1	XP_021581332.1
OG0000022	XP_045650404.1	XP_013213555.1
OG0000022	XP_045650392.1	XP_005324347.1
OG0000023	XP_045631143.1	XP_040135787.1
OG0000023	XP_045631035.1	XP_040134939.1, XP_021577018.2
OG0000024	XP_045653510.1	XP_005339563.1, XP_013215405.1, XP_013220287.1
OG0000024	XP_045653577.1	XP_005339562.1, XP_013220292.1, XP_005339559.1, XP_005339605.1, XP_005339604.1, XP_013220289.1, XP_005339611.1, XP_005339609.1
OG0000024	XP_045653509.1, XP_045653508.1	XP_013220297.1, XP_005339612.1
OG0000026	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1
OG0000027	XP_045633509.1	XP_005330561.1
OG0000027	XP_045657089.1	XP_005324967.1
OG0000027	XP_045668843.1	XP_040133806.1
OG0000027	XP_045643594.1	XP_040133416.1
OG0000027	XP_045658509.1, XP_045671137.1	XP_005334559.2
OG0000027	XP_045657088.1, XP_045657091.1	XP_005324965.1
OG0000028	XP_045643020.1, XP_045643013.1	XP_013216720.1, XP_013216706.1, XP_013216725.1, XP_013216733.1, XP_013216705.1, XP_013216734.1, XP_013216727.1, XP_005331624.1, XP_005331721.1, XP_013216726.1, XP_013216740.1, XP_013216744.1, XP_013216722.1, XP_013216731.1, XP_005331720.1, XP_013216730.1, XP_013216721.2, XP_013216708.1, XP_005331676.1, XP_013216707.1
OG0000028	XP_045643014.1, XP_045643018.1	XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1
OG0000028	XP_045643019.1, XP_045643012.1, XP_045643011.1	XP_013216742.1, XP_005331627.1, XP_005331726.1, XP_005331628.1, XP_005331629.1
OG0000029	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1	XP_040126529.1, XP_013221811.1, XP_005342657.1, XP_005342694.1, XP_005342692.1, XP_013221849.1, XP_013221850.1
OG0000031	XP_045672053.1	XP_005338901.1, XP_005342398.1
OG0000031	XP_045659913.1, XP_045659986.1	XP_005341354.1
OG0000031	XP_045659863.1	XP_005342610.1, XP_005341277.1, XP_005341276.1, XP_005338884.1
OG0000031	XP_045656313.1, XP_045656312.1	XP_005337155.1
OG0000031	XP_045656296.1, XP_045656558.1	XP_005328675.1
OG0000031	XP_045635020.1	XP_005341500.1
OG0000032	XP_045650439.1	XP_021581397.1
