Orthogroup	Sus_scrofa	Microcebus_murinus
OG0000000	XP_020953205.1	XP_012616738.1
OG0000000	XP_020952925.1	XP_012613289.1
OG0000000	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1	XP_012630310.1
OG0000000	XP_005664948.2	XP_012613228.1
OG0000000	XP_020952850.1	XP_012630387.1
OG0000000	XP_013853826.1	XP_012630382.1, XP_012630385.1, XP_012630384.1, XP_012630383.1, XP_012630381.1, XP_012630380.1
OG0000000	XP_020950760.1	XP_012604394.1
OG0000000	XP_020952794.1	XP_012630386.1
OG0000000	XP_013853905.1	XP_012630372.1
OG0000000	XP_020952895.1	XP_012630285.2
OG0000000	XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1	XP_012630378.1
OG0000000	XP_020950037.1	XP_012630062.1
OG0000000	XP_005664614.2	XP_020139213.1
OG0000000	XP_020952983.1, XP_020953072.1	XP_020139008.1
OG0000000	XP_020952989.1	XP_012606846.2
OG0000000	XP_020950733.1	XP_012604505.1
OG0000000	XP_003481363.2	XP_012615665.1
OG0000001	XP_020940803.1	XP_012624815.1
OG0000001	XP_013846094.1, XP_020939404.1, XP_020939396.1, XP_020939408.1, XP_003354140.1, XP_020939542.1	XP_012645964.1
OG0000001	XP_005652869.1	XP_020139610.1
OG0000002	XP_005661279.1, XP_003123450.2, XP_020937687.1, XP_003480815.2, XP_003123451.2, XP_003123462.2, XP_020937696.1, XP_003123498.3	XP_012645796.1
OG0000002	XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1	XP_020139519.1, XP_012646004.2, XP_020139359.1
OG0000003	XP_020955500.1, XP_001927752.1	XP_012596788.1
OG0000003	XP_020955503.1, XP_020945586.1	XP_012597460.1, XP_012597518.1
OG0000003	XP_020954093.1	XP_012597512.1
OG0000003	NP_001230585.1	XP_012596785.1
OG0000003	XP_020945588.1	XP_012609570.1
OG0000003	XP_020955502.1	XP_012597458.1
OG0000004	XP_003356618.1, XP_001927727.1	XP_012597450.1
OG0000004	XP_013832958.1, XP_013832957.1	XP_012597514.1
OG0000004	XP_020954090.1	XP_012596784.1
OG0000004	XP_020939041.1	XP_012634027.1
OG0000004	XP_020954091.1	XP_012596782.1, XP_012596783.1
OG0000004	XP_001928592.1	XP_012597453.1
OG0000004	XP_020955499.1	XP_012597452.1
OG0000004	XP_020945584.1	XP_012609567.1
OG0000004	XP_013853268.2	XP_012609187.1
OG0000004	XP_013852658.1	XP_012609568.1
OG0000004	XP_001925399.1	XP_012596861.1
OG0000005	XP_001926317.2	XP_012610257.1
OG0000005	XP_001927079.3, XP_020937464.1, XP_020937465.1, XP_020947415.1, XP_020936943.1, XP_020937078.1, XP_020938015.1, XP_020936944.1, XP_020937461.1, XP_020936946.1, XP_020937462.1, XP_020937074.1, XP_020936920.1, XP_020937580.1, XP_020946884.1, XP_020947426.1, XP_003126291.3, XP_020947416.1	XP_012610269.1
OG0000005	XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2	XP_012609942.2
OG0000005	XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3	XP_012610321.1
OG0000005	XP_020937075.1, XP_013843745.2, XP_003135548.3, XP_013853068.2	XP_012608319.1
OG0000005	XP_020937937.1, XP_003355500.2, XP_020937458.1	XP_012609915.1
OG0000005	XP_013839577.1	XP_012609981.1
OG0000006	XP_020933479.1, XP_020955477.1	XP_012632903.1
OG0000006	XP_020921056.1, XP_020956191.1, XP_020936626.1, XP_020933478.1, XP_020925483.1, XP_020930447.1	XP_020140814.1
OG0000006	XP_020922897.1, XP_020939871.1	XP_012599818.2, XP_020145819.1
OG0000007	XP_020953225.1, XP_020953224.1, XP_020953226.1	XP_020138350.1, XP_020138351.1, XP_020138348.1, XP_020138352.1, XP_020138349.1, XP_020138346.1, XP_020138347.1, XP_020138345.1, XP_012618410.1, XP_012618411.1, XP_020138403.1, XP_020138425.1
OG0000008	XP_005660392.2	XP_012624356.1
OG0000008	XP_020935751.1	XP_012612641.1
OG0000008	XP_020936063.1, XP_013841559.2	XP_012619942.1, XP_020140831.1
OG0000008	XP_020941711.1, XP_005653115.2	XP_012614837.1
OG0000008	XP_005653113.1	XP_020137053.1
OG0000008	XP_013846325.1	XP_020140578.1
OG0000008	XP_020949541.1	XP_020138106.1
OG0000009	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1	XP_020138303.1, XP_012592719.2, XP_012619031.1, XP_012592717.1, XP_020138306.1, XP_012619032.1, XP_020142922.1, XP_020138304.1
OG0000011	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1	XP_012604413.1, XP_012604415.2, XP_012604414.2, XP_012604418.1, XP_012604417.2, XP_012604410.1, XP_012604420.1, XP_012604421.1, XP_012604412.1, XP_012604416.2, XP_020137935.1, XP_012604408.1
OG0000012	XP_020935452.1	XP_012612333.1
OG0000012	XP_005673570.1	XP_012612334.1, XP_012612335.1, XP_012609246.2
OG0000012	XP_005673569.1	XP_012612318.1
OG0000012	XP_020935492.1	XP_020140769.1, XP_012612390.1, XP_012612389.1
OG0000012	XP_020935940.1, XP_013841481.1, XP_005673575.1	XP_012612339.1, XP_012612340.1
OG0000012	XP_020935784.1, XP_020936168.1	XP_012612331.1, XP_012612330.1, XP_012612337.2, XP_012612338.2
OG0000012	XP_005673573.2, XP_020935939.1, XP_005673577.2	XP_012612329.1, XP_012612328.1
OG0000013	XP_005652899.1, XP_020941163.1, XP_013845748.1, XP_005652900.2, XP_003123350.2, XP_020940780.1	XP_012617201.1
OG0000013	XP_020941162.1	XP_012617202.1
OG0000014	XP_020952885.1	XP_012613512.1, XP_012630562.1
OG0000014	XP_020952950.1	XP_012606858.1
OG0000014	XP_020952996.1	XP_020138796.1
OG0000014	XP_013854335.1	XP_012596843.1
OG0000014	XP_020953001.1	XP_012619029.1
OG0000014	XP_020952965.1, XP_020952964.1	XP_020138972.1, XP_020139176.1, XP_020138795.1, XP_020138970.1
OG0000014	XP_020952978.1, XP_020952973.1	XP_012606829.1
OG0000014	XP_020952999.1	XP_012606836.1
OG0000014	XP_020953042.1, XP_020953041.1	XP_020139031.1
OG0000014	XP_013854327.1	XP_012619024.1
OG0000016	NP_001123710.1, NP_001158316.1, NP_001123704.1, NP_001158324.1, NP_001124005.1, NP_001158322.1, NP_001159794.1	XP_012625267.1, XP_020144780.1, XP_012625264.2, XP_012625260.1
OG0000016	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1	XP_020144782.1, XP_012625263.2, XP_012625265.2, XP_020144781.1
OG0000017	XP_003124707.3	XP_012598886.2, XP_012598882.1, XP_012598884.1, XP_020137192.1, XP_012598883.2, XP_012599300.2, XP_020137154.1, XP_012598877.2, XP_012598878.1
OG0000017	XP_020944074.1	XP_012614266.1
OG0000017	XP_020923327.1	XP_012634096.1
OG0000017	XP_020937884.1	XP_012627716.1
OG0000018	XP_003131242.1	XP_012606772.1
OG0000018	NP_001274345.1	XP_012596778.1, XP_012597510.1, XP_012596779.1
OG0000018	XP_013844399.1	XP_012634029.1
OG0000018	NP_999095.1	XP_020144790.1, XP_012612384.1, XP_012603288.1
OG0000019	XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2	XP_012603628.1, XP_012598342.1, XP_012598311.1, XP_012598312.1
OG0000019	XP_001927961.2, XP_020954986.1	XP_012603616.1
OG0000019	XP_020955724.1	XP_020141498.1
OG0000019	XP_020955678.1, XP_020955671.1	XP_012598338.1
OG0000019	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2	XP_012598339.2, XP_012598340.2
OG0000020	XP_020950615.1, XP_013854215.2	XP_020139091.1
OG0000020	XP_013844151.1	XP_012630961.1, XP_020139102.1, XP_020139115.1, XP_020140847.1
OG0000021	XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1	XP_012599127.1
OG0000022	XP_020940822.1	XP_020137854.1
OG0000022	XP_020940823.1	XP_020137849.1
OG0000022	XP_020940587.1	XP_020137843.1
OG0000022	XP_020940585.1	XP_012604363.1
OG0000022	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1	XP_020137848.1
OG0000022	XP_020940579.1	XP_020137847.1
OG0000023	XP_020950504.1	XP_012604975.1
OG0000023	XP_003127440.3	XP_012641005.1, XP_012641006.1
OG0000023	XP_003127434.1	XP_012641001.1
OG0000023	XP_020950600.1	XP_020139169.1, XP_020139171.1, XP_020139167.1, XP_020139170.1, XP_020139168.1, XP_020138882.1, XP_020138880.1, XP_020138881.1, XP_012609640.2, XP_020139172.1, XP_012609634.1, XP_020138907.1, XP_012609656.1, XP_012611031.2, XP_012609594.1
OG0000024	XP_020958344.1, XP_003130048.2	XP_012638762.1
OG0000024	XP_020958343.1	XP_012638763.1
OG0000024	XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2	XP_012638746.1, XP_012638745.1
OG0000026	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1
OG0000027	XP_001928370.3	XP_012595657.1
OG0000027	XP_013843702.1	XP_012616812.1
OG0000027	XP_003126645.3	XP_012603184.1
OG0000027	XP_020920717.1	XP_012596665.1
OG0000027	XP_020929709.1	XP_012632128.1
OG0000027	NP_001038009.1, NP_001302639.1	XP_012616756.2
OG0000028	XP_013849769.1	XP_012605430.1, XP_012605431.1
OG0000028	XP_013849745.1, XP_013849747.1	XP_012605321.1
OG0000028	XP_013849750.2, XP_003353904.1	XP_012605437.1
OG0000029	XP_020937119.1, XP_020926346.1, XP_003358892.1	XP_012598557.1
OG0000029	XP_020925487.1	XP_012598512.1
OG0000029	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2	XP_012598519.2, XP_012598514.2, XP_012598513.1, XP_012598518.2
OG0000031	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1	XP_012599100.1
OG0000031	XP_003123608.1	XP_020145822.1, XP_020146129.1
OG0000031	XP_020955480.1	XP_012597485.1
OG0000031	XP_020955487.1	XP_012597472.1
OG0000031	XP_003123597.1, XP_003480794.1	XP_012607743.1
OG0000031	XP_013847497.1	XP_012609977.1
OG0000032	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1	XP_020138005.1, XP_020137959.1, XP_020137958.1
OG0000033	NP_001231232.1	XP_020136664.1
OG0000033	XP_020922339.1, XP_020922337.1	XP_012634183.1
OG0000033	XP_005668688.1	XP_012634147.1
OG0000033	XP_013836234.1	XP_012634149.1, XP_020136669.1, XP_012634189.2, XP_012634186.1
OG0000033	XP_005668681.1	XP_012634191.1
OG0000034	XP_013842957.2	XP_020145826.1, XP_012621046.1, XP_012621045.1, XP_020146090.1, XP_012601038.1, XP_012621047.1, XP_020141076.1
OG0000035	NP_001163988.1	XP_012621797.1
OG0000035	NP_001161267.1	XP_012619799.1, XP_012619798.1
OG0000035	NP_001158122.1, XP_013838976.1	XP_012620530.1
OG0000035	XP_003124328.1, XP_020941706.1	XP_012614407.1
OG0000035	XP_003357976.1	XP_012644914.1
OG0000035	XP_005674537.3	XP_012631175.1
OG0000035	XP_020943030.1	XP_020141787.1, XP_012644119.2
OG0000036	NP_001302663.1, NP_999579.1, XP_020927835.1	XP_012623845.1
OG0000036	XP_020929679.1, XP_020929368.1, XP_020929678.1, NP_999585.1, XP_013839051.2, NP_001161307.1	XP_012621879.2, XP_012621903.1, XP_012621933.1, XP_012621834.1, XP_020136186.1, XP_012621864.2
OG0000038	XP_001927724.1, XP_020941136.1, XP_003481008.2	XP_012602142.1
OG0000039	NP_001230363.1	XP_012623865.1
OG0000039	XP_020955779.1	XP_012623864.1
OG0000039	NP_001038077.1	XP_012591805.1
OG0000039	XP_003122400.2	XP_012639934.1
OG0000039	XP_003480860.1	XP_012617155.2
OG0000039	NP_001107168.1	XP_012625877.1
OG0000040	XP_020946911.1	XP_012620127.1
OG0000041	XP_013843095.2	XP_012602144.1
OG0000041	XP_013842752.2, XP_020940716.1	XP_012602149.1, XP_020142260.1
OG0000042	XP_013849950.2	XP_012612185.1
OG0000043	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1	XP_012640814.2, XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1
OG0000044	XP_020955509.1	XP_012597462.1, XP_012609563.1
OG0000044	XP_005665718.2	XP_012596792.1, XP_012596793.1
OG0000044	XP_020955508.1	XP_012596789.1
OG0000045	XP_013836784.2	XP_020138865.1
OG0000045	XP_020921943.1	XP_020136755.1
OG0000045	XP_020921928.1	XP_012633220.1
OG0000045	XP_020921875.1, NP_999301.1	XP_012633193.1, XP_012633184.1
OG0000045	XP_020921694.1, NP_001116613.1	XP_012633169.1
OG0000046	XP_020939257.1, XP_020939261.1	XP_012613755.1
OG0000048	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1	XP_012616684.2, XP_012616670.1
OG0000048	XP_020953209.1, XP_020953207.1	XP_020139184.1, XP_020139183.1
OG0000049	XP_020955074.1	XP_012611590.1
OG0000051	XP_020921569.1	XP_012607324.1
OG0000051	XP_020930931.1	XP_012604860.1
OG0000051	XP_020921568.1, XP_020921567.1	XP_012607323.1
OG0000051	XP_020935520.1	XP_012605901.1
OG0000051	XP_020930930.1	XP_012604862.1
OG0000051	XP_020936437.1	XP_012605846.1
OG0000052	XP_003126117.4	XP_012642546.1
OG0000052	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2	XP_020143347.1
OG0000054	XP_005663291.1, NP_001096150.2	XP_012604193.1
OG0000054	XP_020944088.1, NP_001090960.1	XP_012604189.1, XP_012604184.1, XP_012604186.1, XP_012604143.1, XP_012604149.1, XP_012604191.1, XP_012604146.1, XP_012604185.1
OG0000055	XP_013834548.2	XP_012639383.1, XP_012599623.2
OG0000055	XP_003482552.2	XP_012599603.1, XP_020142423.1, XP_012599607.2, XP_012599604.1, XP_012599606.1
OG0000055	XP_020937587.1, XP_020958366.1, XP_020917939.1, XP_020937586.1, XP_020937588.1, XP_020958367.1, XP_020917938.1, XP_020937019.1, XP_020937018.1, XP_020917937.1, XP_003129448.2	XP_012639384.1
OG0000055	XP_013854347.2, XP_020917933.1	XP_012639391.1
OG0000056	XP_020938036.1	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1
OG0000057	XP_003133754.1	XP_012604923.1
OG0000057	XP_020931305.1	XP_012604916.1
