Orthogroup	Ursus_americanus	Microcebus_murinus
OG0000000	XP_045672096.1	XP_012616738.1
OG0000000	XP_045645194.1	XP_020138819.1, XP_012626318.1, XP_012641044.1, XP_012613266.1, XP_012628339.1, XP_012628337.1, XP_012613289.1
OG0000000	XP_045642231.1	XP_012630310.1
OG0000000	XP_045630167.1, XP_045630164.1	XP_012613228.1
OG0000000	XP_045661221.1	XP_012630387.1
OG0000000	XP_045661136.1	XP_012630382.1, XP_012630385.1, XP_012630384.1, XP_012630383.1, XP_012630381.1, XP_012630380.1
OG0000000	XP_045630187.1	XP_012604394.1
OG0000000	XP_045661152.1	XP_012630386.1
OG0000000	XP_045661176.1	XP_012630265.1
OG0000000	XP_045661198.1	XP_012630372.1
OG0000000	XP_045661205.1	XP_012630285.2
OG0000000	XP_045661204.1	XP_012630378.1
OG0000000	XP_045641316.1	XP_012630058.2
OG0000000	XP_045652605.1	XP_012630552.1
OG0000000	XP_045642070.1	XP_020139213.1
OG0000000	XP_045642108.1	XP_012630232.1
OG0000000	XP_045629938.1, XP_045629146.1	XP_020139008.1
OG0000000	XP_045629728.1	XP_012606846.2
OG0000000	XP_045630174.1	XP_012604505.1, XP_012613248.1
OG0000000	XP_045633339.1	XP_012615665.1
OG0000001	XP_045656004.1	XP_012624815.1
OG0000001	XP_045630538.1, XP_045630542.1	XP_020139505.1
OG0000001	XP_045630524.1, XP_045630526.1	XP_012645964.1
OG0000001	XP_045656038.1	XP_020139610.1
OG0000001	XP_045630322.1	XP_012646178.1, XP_012646169.1
OG0000002	XP_045659598.1, XP_045653430.1, XP_045660115.1, XP_045660131.1, XP_045660141.1, XP_045660136.1, XP_045660143.1, XP_045660178.1, XP_045660160.1, XP_045660186.1, XP_045643396.1, XP_045660185.1, XP_045643394.1, XP_045659594.1, XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1	XP_020139519.1, XP_012646004.2, XP_020139359.1
OG0000003	XP_045656368.1, XP_045656410.1, XP_045656415.1, XP_045656367.1, XP_045656299.1, XP_045656370.1, XP_045656408.1	XP_012596788.1
OG0000003	XP_045656371.1	XP_012597460.1, XP_012597518.1
OG0000003	XP_045656416.1, XP_045656369.1	XP_012597512.1
OG0000003	XP_045656412.1	XP_012596785.1
OG0000003	XP_045659934.1	XP_012634028.1
OG0000003	XP_045633097.1, XP_045633094.1	XP_012609570.1
OG0000003	XP_045656365.1	XP_012597458.1
OG0000004	XP_045656361.1	XP_012597451.1, XP_012597450.1
OG0000004	XP_045656407.1	XP_012597514.1
OG0000004	XP_045656405.1	XP_012596784.1
OG0000004	XP_045633095.1, XP_045633096.1	XP_012609566.1
OG0000004	XP_045656403.1	XP_012596782.1, XP_012596783.1
OG0000004	XP_045656363.1	XP_012597453.1
OG0000004	XP_045633092.1	XP_012609567.1
OG0000004	XP_045637404.1	XP_012609187.1
OG0000004	XP_045633093.1	XP_012609568.1
