Orthogroup	Sarcophilus_harrisii	Loxodonta_africana
OG0000000	XP_031812992.1	XP_023398898.1, XP_023399955.1
OG0000000	XP_031805268.1, XP_031804942.1, XP_031804938.1, XP_031797142.1, XP_031805270.1, XP_031805395.1, XP_031799025.1, XP_031813187.1, XP_031809153.1, XP_031804954.1, XP_031804939.1, XP_031812968.1, XP_031812973.1, XP_031812952.1, XP_031799372.1, XP_031819414.1	XP_023399444.1
OG0000000	XP_031817705.1	XP_023399242.1, XP_023399860.1, XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1
OG0000000	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1	XP_003422344.1, XP_023397248.1, XP_023399368.1, XP_023399394.1, XP_023397246.1, XP_023397216.1, XP_010584934.1, XP_023397228.1, XP_010599888.1, XP_023397249.1, XP_010599884.1, XP_023397253.1, XP_023395675.1
OG0000000	XP_031800804.1	XP_023397392.1, XP_023399407.1, XP_023399459.1, XP_003406923.2, XP_010600469.2
OG0000001	XP_031815742.1	XP_023398290.1, XP_023398289.1, XP_010599729.2, XP_023396729.1
OG0000001	XP_012401289.1	XP_023407671.1, XP_010591667.1
OG0000002	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2	XP_003413354.2, XP_003413372.1, XP_003413373.1, XP_003413374.2, XP_010600981.2, XP_003413368.1, XP_003413355.2, XP_003413366.1, XP_003413356.1, XP_003423569.1, XP_003413365.2, XP_003413363.1, XP_023408073.1, XP_023408072.1, XP_003413358.1, XP_003413360.1, XP_003423570.1, XP_003413357.1, XP_003413362.2, XP_003413364.1, XP_003413097.2, XP_003413369.2, XP_023408074.1
OG0000003	XP_031824341.1	XP_023411488.1, XP_023396025.1
OG0000003	XP_003769950.1	XP_003421153.1, XP_023396104.1, XP_010599027.1
OG0000003	XP_012404136.1, XP_003770776.2	XP_023403165.1
OG0000003	XP_031823293.1	XP_023397188.1, XP_003422331.1, XP_023397190.1, XP_023397191.1
OG0000004	XP_003767376.1	XP_023396022.1, XP_003416470.1, XP_023411486.1, XP_003421190.1, XP_003409367.1
OG0000004	XP_003768759.1	XP_003421192.1
OG0000004	XP_031823292.1	XP_003409564.1, XP_003409562.1
OG0000004	XP_003769951.1	XP_003409558.1
OG0000004	XP_012405154.1	XP_003405713.1, XP_003409559.1
OG0000004	XP_003768752.1	XP_003416480.1, XP_003416483.1
