Orthogroup	Homo_sapiens	Myotis_lucifugus
OG0000000	NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1	XP_023599350.1
OG0000000	NP_001340733.1, NP_001372545.1, XP_047294716.1, NP_001372541.1, NP_001372540.1, NP_001372547.1, NP_001372543.1, NP_001372542.1, NP_001372544.1, NP_001372538.1, NP_001372539.1, NP_001372546.1, NP_001276882.1, NP_001309054.1, NP_001309055.1, XP_047295761.1, NP_001356754.1, NP_001309058.1, NP_150630.2, NP_942596.1, NP_001309066.1, NP_001309067.1, NP_001309068.1, NP_001309065.1, NP_001309064.1, NP_001309059.1, NP_001309061.1, NP_001309060.1, NP_001309062.1, NP_001309063.1, NP_001096073.1, NP_001309057.1, XP_047295573.1, NP_001166145.1, NP_001166146.1, NP_115973.2, NP_001340387.1, XP_047295035.1	XP_023620736.1
OG0000000	NP_001381102.1	XP_023610099.1, XP_023610100.1, XP_006109159.1, XP_023610093.1, XP_023610091.1, XP_023610090.1, XP_023610092.1, XP_023610098.1, XP_023610096.1, XP_023610102.1, XP_023611398.1
OG0000000	NP_001308920.1, NP_001287922.1	XP_023616360.1
OG0000000	NP_001138815.1	XP_023618147.1
OG0000000	NP_001035939.1	XP_006098677.1
OG0000000	NP_001284548.1	XP_014319713.1
OG0000000	NP_001307595.1	XP_023616328.1
OG0000000	NP_001308846.1	XP_006098666.1
OG0000000	NP_001291264.1, NP_001291266.1, NP_001291265.1, NP_001291263.1, NP_940944.1, NP_001091961.1, NP_001278673.1	XP_023604378.1
OG0000000	NP_001308285.1	XP_006109488.2, XP_023604206.1
OG0000000	NP_001336738.1	XP_006107371.2
OG0000001	NP_001284497.1	XP_023600178.1
OG0000001	XP_005259787.1, NP_689569.2	XP_023602735.1
OG0000001	NP_659413.1	XP_014301019.2, XP_006103138.1, XP_006104610.1, XP_014303641.1, XP_006103139.1, XP_014301016.2, XP_006103137.3, XP_006109167.1, XP_023600179.1, XP_023600175.1, XP_014301002.2, XP_014302358.1
OG0000002	NP_001005190.1, NP_112163.1	XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1, XP_006099744.1, XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1
OG0000003	NP_001368918.1	XP_023602528.1, XP_006105761.1, XP_014303297.1, XP_006106487.1
OG0000003	NP_066406.1	XP_006105754.1
OG0000003	NP_003519.1	XP_006095235.1, XP_006095234.1, XP_006105894.1
OG0000004	NP_066408.1	XP_006105904.1
OG0000004	NP_003501.1	XP_006106486.1
OG0000004	NP_003507.1	XP_006095377.1
OG0000004	NP_001035807.1	XP_006105759.1
OG0000004	NP_542163.1	XP_014303409.1
OG0000004	NP_778235.1	XP_014316718.2
OG0000004	NP_003508.1	XP_006095233.1
OG0000005	NP_473446.1	XP_006101362.1, XP_006101381.1
OG0000006	XP_024302798.1	XP_023607122.1, XP_023611083.1
OG0000006	XP_047289367.1	XP_023619823.1, XP_023611739.1
OG0000008	NP_001269444.1	XP_023609052.1
OG0000008	NP_001129745.1	XP_023608739.1
OG0000008	NP_001123370.1, NP_001034980.1	XP_006090633.1
OG0000008	NP_001191385.1, NP_066986.1	XP_014318909.1
OG0000008	NP_057349.2, NP_008887.2	XP_023617197.1
OG0000008	NP_003437.2	XP_023616724.1
OG0000008	XP_016878441.1	XP_023618878.1
OG0000010	NP_001005275.2	XP_014313946.1
OG0000011	NP_061763.1	XP_006109699.2
OG0000011	NP_061759.1	XP_006086528.1
OG0000011	NP_061757.1	XP_023607814.1
OG0000011	NP_061754.1, NP_061755.1	XP_023607813.1
OG0000011	NP_061760.2	XP_006086527.1
OG0000011	NP_061993.3, NP_061756.1	XP_023607816.1
OG0000011	NP_066008.2	XP_006086523.2
OG0000011	NP_061761.1	XP_006109698.1
OG0000011	NP_001290074.1, NP_061762.2	XP_023607817.1
OG0000011	NP_056484.2	XP_006086526.1
OG0000011	NP_061758.1	XP_006086677.1
OG0000012	NP_775970.2	XP_006085710.1
OG0000012	NP_872312.2	XP_006085742.1
