Orthogroup	Sus_scrofa	Ursus_americanus
OG0000000	XP_020953205.1	XP_045672096.1
OG0000000	XP_020952941.1, XP_020952927.1	XP_045645193.1
OG0000000	XP_020952925.1	XP_045645194.1
OG0000000	XP_013844747.1, XP_005653629.1	XP_045645200.1, XP_045645398.1, XP_045645415.1, XP_045645396.1, XP_045645391.1, XP_045645195.1
OG0000000	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1	XP_045642231.1
OG0000000	XP_005664948.2	XP_045630167.1, XP_045630164.1
OG0000000	XP_020952815.1	XP_045661194.1
OG0000000	XP_020952850.1	XP_045661221.1
OG0000000	XP_013853826.1	XP_045661136.1
OG0000000	XP_020950760.1	XP_045630187.1
OG0000000	XP_020952794.1	XP_045661152.1
OG0000000	XP_013853905.1	XP_045661198.1
OG0000000	XP_020952895.1	XP_045661205.1
OG0000000	XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1	XP_045661204.1
OG0000000	XP_005664614.2	XP_045642070.1
OG0000000	XP_020953072.1	XP_045629146.1
OG0000000	XP_020952989.1	XP_045629728.1
OG0000000	XP_020950733.1	XP_045630174.1
OG0000000	XP_003481363.2	XP_045633339.1
OG0000001	XP_020940803.1	XP_045656004.1
OG0000001	XP_013846094.1	XP_045630524.1, XP_045630526.1
OG0000001	XP_005652869.1	XP_045656038.1
OG0000002	XP_003123502.2	XP_045634378.1
OG0000002	XP_003123457.2, XP_020937693.1, XP_020937428.1, XP_020937989.1, XP_020937422.1, XP_020937698.1, XP_020940765.1, XP_020940766.1, XP_003123429.1, XP_003123435.1	XP_045653415.1, XP_045659601.1, XP_045660122.1, XP_045653432.1, XP_045660182.1, XP_045659597.1, XP_045653429.1, XP_045660179.1, XP_045660162.1, XP_045660163.1, XP_045660181.1, XP_045660180.1, XP_045659596.1, XP_045660123.1, XP_045643395.1, XP_045659595.1, XP_045659590.1, XP_045653428.1, XP_045653446.1, XP_045660133.1, XP_045659603.1, XP_045660146.1, XP_045653418.1, XP_045660127.1, XP_045660116.1, XP_045660126.1, XP_045660134.1, XP_045660150.1, XP_045660149.1, XP_045660138.1, XP_045643397.1, XP_045660187.1, XP_045659606.1, XP_045653435.1, XP_045659604.1, XP_045659600.1, XP_045653431.1, XP_045653434.1, XP_045653440.1, XP_045653444.1, XP_045659849.1, XP_045659605.1
OG0000002	XP_003354160.1, XP_020940775.1, XP_003123442.1	XP_045659850.1
OG0000002	XP_020942030.1, XP_003123499.1, XP_020937411.1	XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1
OG0000002	XP_020940767.1, XP_003123441.1, XP_003480819.1	XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1
OG0000002	XP_003123492.1, XP_003480816.1	XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1
OG0000003	XP_020955495.1	XP_045656411.1
OG0000003	XP_020955500.1	XP_045656299.1, XP_045656370.1
OG0000003	XP_020955503.1, XP_020945586.1	XP_045656371.1
OG0000003	XP_020954093.1	XP_045656416.1
OG0000003	NP_001230585.1, XP_001927974.2	XP_045656412.1
OG0000003	XP_020939042.1	XP_045659933.1
OG0000003	XP_020945588.1	XP_045633097.1, XP_045633094.1
OG0000003	XP_020955502.1	XP_045656365.1
OG0000004	XP_003356618.1, XP_001927727.1	XP_045656361.1
OG0000004	XP_020955497.1	XP_045656360.1
OG0000004	XP_013832958.1, XP_013832957.1	XP_045656407.1
OG0000004	XP_020954090.1	XP_045656406.1, XP_045656405.1
OG0000004	XP_020954091.1	XP_045656403.1
OG0000004	XP_001928592.1	XP_045656363.1
OG0000004	XP_020945584.1	XP_045633092.1
OG0000004	XP_013853268.2	XP_045637404.1
OG0000004	XP_013852658.1	XP_045633093.1
OG0000004	XP_001925399.1	XP_045656431.1
OG0000005	XP_001926317.2	XP_045632498.1, XP_045652424.1
OG0000005	XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2	XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1
OG0000005	XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3	XP_045632521.1, XP_045645925.1
OG0000005	XP_020937937.1, XP_003355500.2, XP_020937458.1	XP_045652430.1, XP_045652427.1, XP_045632518.1
OG0000005	XP_013839577.1	XP_045645521.1
OG0000006	XP_020933479.1, XP_020955477.1	XP_045650013.1
OG0000006	XP_020921056.1, XP_020956191.1, XP_020936626.1, XP_020933478.1, XP_020925483.1, XP_020930447.1	XP_045661052.1
OG0000007	XP_020952937.1, XP_020952936.1, XP_003360687.2, XP_020952939.1	XP_045645201.1
OG0000007	XP_013854178.1	XP_045631120.1
OG0000008	XP_020950594.1	XP_045631167.1, XP_045631098.1
OG0000008	XP_005660392.2	XP_045670779.1
OG0000008	XP_020935751.1	XP_045644759.1
OG0000008	XP_020936063.1, XP_013841559.2	XP_045651930.1
OG0000008	XP_020941711.1, XP_005653115.2	XP_045669366.1
OG0000008	XP_005653113.1	XP_045669362.1
OG0000008	XP_013838698.1	XP_045658297.1
OG0000008	XP_020949541.1	XP_045670809.1
OG0000009	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1
OG0000010	XP_005654730.1, XP_013834759.1, XP_020940399.1	XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1
OG0000011	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1	XP_045650413.1, XP_045650417.1, XP_045650426.1, XP_045650411.1, XP_045650409.1, XP_045650412.1, XP_045650424.1, XP_045650416.1, XP_045650414.1, XP_045650423.1, XP_045650419.1, XP_045650422.1, XP_045650410.1, XP_045650407.1
OG0000012	XP_020935452.1	XP_045659615.1
OG0000012	XP_005673569.1	XP_045660983.1
OG0000012	XP_020935492.1	XP_045660984.1
OG0000012	XP_020935786.1	XP_045659614.1
OG0000012	XP_020935940.1, XP_013841481.1, XP_005673575.1	XP_045634849.1
