Orthogroup	Saimiri_boliviensis_boliviensis	Microcebus_murinus
OG0000000	XP_039322266.1	XP_012616738.1
OG0000000	XP_039336058.1	XP_020138819.1
OG0000000	XP_010330281.2	XP_012626318.1
OG0000000	XP_039322514.1, XP_039322513.1, XP_010330414.1	XP_012641044.1
OG0000000	XP_039322572.1	XP_012613266.1
OG0000000	XP_039322571.1	XP_012628339.1, XP_012628337.1
OG0000000	XP_010330277.1, XP_010330278.1	XP_012613289.1
OG0000000	XP_039324031.1	XP_012634058.1
OG0000000	XP_039321673.1, XP_039321400.1, XP_010330711.2, XP_039321425.1, XP_039321418.1	XP_012621017.2, XP_020145876.1
OG0000000	XP_039321412.1, XP_039320155.1, XP_010331289.2, XP_039323208.1	XP_012634054.1, XP_020146092.1, XP_020146094.1, XP_012634002.2, XP_020146097.1, XP_012617241.1, XP_020140969.1, XP_020144285.1, XP_012596655.2, XP_012634056.1, XP_012615835.2, XP_020140965.1, XP_012621727.2, XP_020140972.1, XP_020143603.1, XP_012605668.2, XP_020143604.1, XP_020140650.1, XP_020140956.1
OG0000000	XP_010334138.2, XP_010331230.1	XP_012607505.1
OG0000000	XP_010346300.1	XP_012630310.1
OG0000000	XP_003944077.1	XP_012613228.1
OG0000000	XP_010346293.1	XP_012630387.1
OG0000000	XP_039322936.1	XP_012630382.1, XP_012630385.1, XP_012630384.1, XP_012630383.1, XP_012630381.1, XP_012630380.1
OG0000000	XP_003944081.1	XP_012604394.1
OG0000000	XP_010346287.1, XP_003937452.1	XP_012630386.1
OG0000000	XP_003937459.2	XP_012630265.1
OG0000000	XP_010346294.1	XP_012630372.1
OG0000000	XP_039321322.1	XP_012630285.2
OG0000000	XP_010346296.1	XP_012630378.1
OG0000000	XP_039323111.1	XP_012630062.1
OG0000000	XP_010329288.1, XP_010329303.1	XP_012630058.2
OG0000000	XP_039323028.1, XP_039323027.1	XP_020139213.1
OG0000000	XP_003937462.1	XP_012630232.1
OG0000000	XP_039321949.1	XP_020139008.1
