Orthogroup	Echinops_telfairi	Homo_sapiens
OG0000000	XP_045148498.1, XP_045148479.1, XP_045148490.1	NP_001356754.1, NP_001309058.1, NP_150630.2, NP_942596.1, NP_001309066.1, NP_001309067.1, NP_001309068.1, NP_001309065.1, NP_001309064.1, NP_001309059.1, NP_001309061.1, NP_001309060.1, NP_001309062.1, NP_001309063.1, NP_001096073.1, NP_001309057.1, XP_047295573.1, NP_001166145.1, NP_001166146.1, NP_115973.2, NP_001340387.1, XP_047295035.1
OG0000000	XP_045148842.1	NP_001308920.1, NP_001287922.1
OG0000000	XP_045148835.1	NP_001138815.1
OG0000000	XP_045148833.1	NP_001035939.1
OG0000000	XP_030742044.2	NP_001284548.1
OG0000000	XP_030742236.1	NP_001307595.1
OG0000000	XP_045148817.1	NP_001308846.1
OG0000000	XP_045148252.1, XP_045148251.1	NP_775819.1
OG0000000	XP_004715710.1	NP_001308285.1
OG0000000	XP_045142672.1	NP_001336738.1
OG0000001	XP_045156010.1	NP_079243.1, NP_001284497.1, NP_660338.1, NP_003428.1, NP_001129973.1, NP_660276.2, XP_047294275.1, XP_016882684.1, NP_001073873.2, NP_066966.2, XP_005259787.1, NP_689569.2, NP_001073962.1, NP_001157748.1, NP_110451.1, NP_660319.1, NP_066358.2, NP_065765.1, NP_659413.1, NP_079080.2, XP_047295678.1, NP_149990.1, NP_699189.2, NP_689814.1
OG0000001	XP_045156114.1	NP_001189337.1, NP_001189338.1, NP_001189341.1, NP_001189339.1, NP_001189340.1, NP_001189335.1, NP_115886.1, NP_001189336.1
OG0000003	XP_004712547.1	NP_003514.2, NP_001368918.1, NP_003516.1, NP_003517.2, NP_003513.1
OG0000003	XP_030743047.1	NP_003518.2, NP_003515.1, NP_001019770.1, NP_001154806.1
OG0000003	XP_004712556.1	NP_066406.1, NP_003511.1
OG0000003	XP_004716623.1	NP_003519.1
OG0000004	XP_004712548.1	NP_066409.1
OG0000004	XP_004712558.1	NP_542163.1, NP_066544.1
OG0000004	XP_004716624.1	NP_003508.1
OG0000005	XP_030743198.1	NP_473446.1
OG0000005	XP_004700923.1	NP_001005519.2
OG0000006	XP_012862570.1	XP_024302798.1
OG0000006	XP_045145606.1	XP_047289367.1
OG0000007	XP_030742138.1, XP_004715725.1, XP_030742141.1	NP_776255.2
OG0000008	XP_045152547.1	NP_001269444.1
OG0000008	XP_045141709.1	NP_001191385.1, NP_066986.1
OG0000008	XP_045141717.1	NP_057349.2, NP_008887.2
OG0000008	XP_045142182.1	NP_001311180.1, XP_011517958.1, NP_003412.1, NP_001311179.1, NP_001311178.1, NP_001311177.1, NP_001311176.1, NP_001311175.1, NP_001311174.1, NP_001171572.1, NP_001007095.1
OG0000008	XP_045149590.1	XP_016878441.1
OG0000010	XP_004708520.1, XP_030741715.1	NP_001005272.3, NP_001005274.1
OG0000010	XP_004708431.3	NP_001005512.2
OG0000011	XP_012861711.2	NP_061761.1
OG0000011	XP_012860119.2	NP_056484.2
OG0000012	XP_004714207.1, XP_012861936.2, XP_012864145.1	NP_775970.2
OG0000012	XP_030743784.1, XP_004713945.1	NP_872312.2
OG0000012	XP_012862981.1	NP_001373794.1, XP_011543815.1, NP_002356.2
OG0000012	XP_004714205.2	NP_001258681.1
OG0000012	XP_004713947.1, XP_004711269.1	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1
OG0000012	XP_004710064.1	NP_001264236.1, XP_047298311.1
OG0000013	XP_004714288.1, XP_004714287.1	NP_001001958.1
OG0000013	XP_012863082.1, XP_012863083.1	NP_001005192.2
OG0000014	XP_045148253.1	NP_001277247.1
OG0000014	XP_045148695.1	NP_775902.2, NP_001317546.1, NP_001166244.1
OG0000014	XP_045148265.1, XP_045148272.1	NP_060349.1, NP_001010879.2, NP_612356.2
OG0000015	XP_004716911.2	XP_047294550.1
OG0000016	XP_004706619.1, XP_004706620.1, XP_004706617.1	NP_002168.1
OG0000017	XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2	NP_001357568.2
OG0000018	XP_012859399.1	NP_002098.1, NP_001365976.1, NP_001365975.1, NP_001365972.1
OG0000018	XP_004716622.1	NP_001116847.1, NP_066403.2, NP_001005464.1
