Orthogroup	Sarcophilus_harrisii	Ictidomys_tridecemlineatus
OG0000000	XP_031812992.1	XP_005338252.2, XP_040135078.1
OG0000000	XP_031805707.1, XP_023352302.1	XP_005336165.1
OG0000000	XP_031817705.1	XP_040146438.1, XP_021576805.2, XP_021576806.1, XP_021576803.1
OG0000000	XP_031810195.1, XP_031823895.1, XP_023359536.1	XP_021588625.1
OG0000000	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1	XP_021576898.1, XP_021576901.1, XP_021576636.1, XP_005342012.1, XP_021576027.1, XP_021576894.1, XP_005342901.3, XP_005336545.1, XP_040135352.1, XP_021576039.1
OG0000000	XP_031800804.1	XP_040146794.1, XP_040136033.1, XP_021576780.1, XP_013221241.1, XP_013212186.1
OG0000000	XP_023355875.2, XP_031805405.1	XP_040135795.1
OG0000001	XP_031815742.1	XP_040146916.1, XP_021589114.1, XP_021576558.1, XP_013221205.1, XP_021587206.1, XP_021587205.1, XP_021587207.1, XP_021587102.1, XP_021587204.1, XP_040146264.1, XP_040146260.1, XP_013217290.1, XP_013217292.1, XP_013218748.2, XP_005336245.2, XP_013218788.2, XP_021589559.1, XP_040148063.1
OG0000001	XP_012401289.1	XP_040137776.1
OG0000002	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2	XP_005336366.1, XP_005342867.1, XP_013221644.1, XP_005336367.1, XP_005336318.1, XP_005336319.1, XP_005336368.1, XP_005336374.1, XP_005336386.1, XP_013218721.1, XP_013218717.1, XP_005336384.2, XP_005336322.1, XP_013218720.2, XP_005336382.1, XP_005336378.1, XP_005336380.1, XP_005336323.1, XP_013218723.1, XP_005336381.1, XP_005336370.1, XP_005336377.2, XP_021577056.1, XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1, XP_005336371.1, XP_005336372.1, XP_013218747.1, XP_005336373.1, XP_021589500.2, XP_005336387.1, XP_005336389.1, XP_005336375.1
OG0000003	XP_031824341.1	XP_005337121.1, XP_005337103.1
OG0000003	XP_003769950.1	XP_005342617.1, XP_005342616.1
OG0000003	XP_003770776.2	XP_005331197.1
OG0000003	XP_031823293.1	XP_013219121.1, XP_005337126.1
OG0000004	XP_003768759.1	XP_013219116.1
OG0000004	XP_031823292.1	XP_005331193.1, XP_005331195.1
OG0000004	XP_003769951.1	XP_021586083.1
OG0000004	XP_012405154.1	XP_005331946.1, XP_005331198.1
OG0000004	XP_003768752.1	XP_005337088.1
OG0000005	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1, XP_005342755.2, XP_005342565.1, XP_005342769.3, XP_013221886.2, XP_005342567.1
OG0000006	XP_031801369.1	XP_013220679.2
OG0000006	XP_031814102.1, XP_031814100.1	XP_040134543.1
OG0000007	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3	XP_005341817.1, XP_040135808.1, XP_021577093.1, XP_005341842.2, XP_021576801.1, XP_005341858.3, XP_040135114.1, XP_005342044.1, XP_005342048.1, XP_005342968.2, XP_021576917.1, XP_005342043.1, XP_021576802.1, XP_005342846.1, XP_005341843.1, XP_005341851.1, XP_005341854.1, XP_005341852.2, XP_005342969.1, XP_005342038.2, XP_005341850.1, XP_013221472.2, XP_005341849.1, XP_005342047.1, XP_021576916.1, XP_005342040.1, XP_005342039.1, XP_013221475.2, XP_005342895.1, XP_005341855.1, XP_040135783.1, XP_013221473.1, XP_040135772.1, XP_040135775.1, XP_005333142.3, XP_005333141.1, XP_005333140.1
OG0000008	XP_031806199.1	XP_021585038.2
OG0000008	XP_023362616.1, XP_031800616.1	XP_040142796.1, XP_005340718.1, XP_040142795.1
OG0000008	XP_023355868.1, XP_012401259.1	XP_040132762.1
OG0000008	XP_023361210.2, XP_031794448.1	XP_021575996.1, XP_005340090.1, XP_021575630.1, XP_013211286.2, XP_021579127.1, XP_021577186.1, XP_040129248.1, XP_005324078.1, XP_021577360.1
