Orthogroup	Mus_musculus	Sus_scrofa
OG0000000	XP_030098258.1, NP_033587.2	XP_020953205.1
OG0000000	NP_001020334.1	XP_005664948.2
OG0000000	NP_690027.1	XP_020952850.1
OG0000000	NP_001389468.1	XP_013853826.1, XP_020950760.1
OG0000000	NP_001406212.1	XP_020952794.1
OG0000000	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1	XP_013853905.1
OG0000000	NP_808557.2	XP_020952895.1, XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1
OG0000000	NP_001020099.1, XP_006540216.1	XP_020950733.1
OG0000000	NP_001345745.1	XP_003481363.2
OG0000001	NP_001028985.1	XP_013846094.1, XP_020939404.1, XP_020939396.1, XP_020939408.1, XP_003354140.1, XP_020939542.1
OG0000002	NP_667070.1	XP_003123502.2
OG0000002	NP_667253.1, NP_667282.1	XP_005661279.1, XP_003123450.2, XP_020937687.1, XP_003480815.2, XP_003123451.2, XP_003123462.2, XP_020937696.1, XP_003123498.3, XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1
OG0000003	NP_835503.1	XP_020955495.1
OG0000003	NP_075911.2, NP_001277309.1	XP_020955500.1
OG0000003	NP_783597.2	XP_020945586.1
OG0000003	NP_783595.1	XP_020954093.1
OG0000003	NP_835507.1	NP_001230585.1
OG0000003	NP_001380452.1	XP_020939042.1
OG0000003	NP_835504.1	XP_003355262.2, XP_013852659.1, XP_020945588.1, XP_003356615.2, XP_020955505.1, XP_020955504.1, XP_020955502.1
OG0000004	NP_783592.1	XP_013832958.1, XP_013832957.1
OG0000004	NP_835496.1, NP_835490.1, NP_835491.1, NP_835492.1, NP_783591.2, NP_835489.1, NP_835493.1	XP_020954090.1
OG0000004	NP_835736.1	XP_020939041.1
OG0000004	NP_835585.3	XP_020945584.1
OG0000004	NP_808356.1	XP_013853268.2
OG0000004	NP_783593.1	XP_013852658.1
OG0000005	NP_667141.1	XP_001926317.2
OG0000005	NP_666396.1	XP_001927079.3, XP_020937464.1, XP_020937465.1, XP_020947415.1, XP_020936943.1, XP_020937078.1, XP_020938015.1, XP_020936944.1, XP_020937461.1, XP_020936946.1, XP_020937462.1, XP_020937074.1, XP_020936920.1, XP_020937580.1, XP_020946884.1, XP_020947426.1, XP_003126291.3, XP_020947416.1
OG0000005	NP_666758.1	XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2
OG0000005	NP_666759.1, NP_666755.1	XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3
OG0000005	NP_666490.1	XP_020937937.1, XP_003355500.2, XP_020937458.1
OG0000005	NP_666379.1	XP_013839577.1
OG0000006	XP_036010828.1	XP_020921056.1, XP_020956191.1, XP_020936626.1, XP_020933478.1, XP_020925483.1, XP_020930447.1
OG0000006	XP_036016100.1	XP_020922897.1, XP_020939871.1
OG0000007	NP_598959.1, NP_598961.1	XP_020952937.1, XP_020952936.1, XP_003360687.2, XP_020952939.1, XP_013854178.1
OG0000008	NP_001277279.1	XP_020950594.1, XP_005660392.2
OG0000008	NP_033592.2	XP_020935751.1
OG0000008	NP_067301.1, NP_001346164.1, NP_001038947.1	XP_020941711.1, XP_005653115.2
OG0000008	NP_001276518.1	XP_005653113.1
OG0000008	NP_001355257.1	XP_020949541.1
OG0000009	NP_001108547.1, XP_030105660.1, NP_034521.1, NP_034522.2, XP_011244602.1, NP_034520.2, NP_001355671.1, NP_001411251.1, NP_001411253.1, NP_001411252.1, NP_001411248.1, NP_075613.3, NP_001411249.1, NP_997531.1, NP_001355670.1, NP_001188389.1, NP_034524.3, NP_001137161.1, XP_017173254.1, NP_001357747.1, XP_006524864.1, NP_001074501.2, NP_001390291.1, XP_006523736.1, NP_034510.3	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1
OG0000010	NP_667194.1	XP_020937683.1, XP_020937114.1, XP_020937016.1, XP_020937352.1, XP_020937349.1, XP_020938008.1, XP_005654730.1, XP_013834759.1, XP_020940399.1
OG0000011	NP_444373.1, NP_444370.1, NP_444357.1, NP_444375.2, NP_444376.1, NP_444374.2, NP_444358.2, NP_444371.3, NP_444372.2, NP_444360.1, NP_444364.3, NP_444362.3, NP_444369.3, NP_444368.1, NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1, NP_444377.3	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1
OG0000012	NP_776144.1	XP_020935452.1
OG0000012	XP_006527991.1, NP_001094920.1	XP_020935940.1, XP_013841481.1, XP_005673575.1
OG0000012	NP_112448.1, NP_034889.1, NP_032571.2	XP_020935784.1, XP_020936168.1
OG0000012	NP_001028664.2	XP_005673573.2, XP_020935939.1, XP_005673577.2
OG0000013	NP_001011824.1, NP_001011823.1	XP_013845988.1
OG0000013	NP_667117.1	XP_020941162.1
OG0000014	NP_666291.2	XP_020952999.1
OG0000015	NP_666739.1, NP_666737.2, NP_035131.1, NP_001012265.1, NP_666773.1, XP_030100252.1	XP_020940793.1, XP_020937391.1, XP_020937454.1, XP_020940785.1, XP_020938166.1, XP_020937109.1, XP_020937484.1, XP_020937972.1, XP_003123330.3, XP_020937977.1, XP_003123335.3
OG0000016	NP_034637.1, NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2, NP_796321.1	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1
OG0000017	NP_667071.1	XP_003124707.3
OG0000017	NP_666450.2	XP_003123527.1
OG0000017	NP_001011863.1, NP_001349594.1, NP_035132.2	XP_020923327.1
OG0000017	NP_667152.1, NP_667153.1	XP_020937884.1
OG0000018	NP_032237.1	XP_003131242.1
OG0000018	NP_835734.2, NP_783584.1	NP_001231571.1
OG0000018	NP_835514.1	NP_001274345.1
OG0000018	NP_038578.2, NP_001304932.1	XP_013844399.1
OG0000018	NP_001074488.1, NP_001357860.1	NP_999095.1
OG0000019	NP_666953.1, NP_666661.2, NP_001011787.1, NP_001011803.2, NP_997034.1, NP_666474.1	XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2
OG0000019	NP_666514.2	XP_001927961.2, XP_020954986.1
OG0000019	NP_666513.2	XP_020955724.1
OG0000019	NP_666386.1	XP_020955678.1, XP_020955671.1
OG0000019	NP_666660.1	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2
OG0000020	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1	XP_020950615.1, XP_013854215.2
OG0000020	XP_036011513.1, NP_001278821.1, NP_032173.1, NP_038560.1	XP_013844151.1
OG0000021	NP_666401.1, NP_666399.1, NP_666843.1, NP_001011753.2, NP_001013593.2, XP_011244764.1, NP_666489.1, NP_996552.1, NP_001011829.1, NP_667101.1	XP_020936930.1, XP_020937956.1, XP_020937593.1, XP_020937875.1, XP_020936685.1
OG0000021	NP_666402.2	XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1
OG0000022	NP_291065.3	XP_020940822.1
OG0000022	NP_291067.1	XP_020940823.1
OG0000022	NP_291068.2	XP_020940587.1
OG0000022	NP_291069.1	XP_020940825.1, XP_020940824.1
OG0000022	NP_291066.1	XP_020940585.1
OG0000022	NP_291062.1	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1
OG0000022	NP_291063.1	XP_013850731.2
OG0000022	NP_291064.1	XP_020940579.1
OG0000023	NP_001104528.1, XP_006540653.1, XP_036008866.1, NP_848821.2	XP_020950504.1
OG0000023	NP_112458.2, XP_006541381.1	XP_020950600.1
OG0000024	NP_666650.1, NP_667041.2, NP_666958.1, NP_666957.1	XP_020958344.1, XP_003130048.2
OG0000024	NP_667037.1, NP_666822.1, NP_001011826.1, NP_666820.2, NP_666651.1	XP_020958343.1
OG0000024	NP_666824.1, NP_666825.1	XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2
OG0000026	XP_006528255.1, NP_001020555.2, XP_006528244.1, NP_001020554.1, NP_001092772.1, XP_006528185.1, XP_006528203.1, NP_001075139.1	XP_020935542.1, XP_020936182.1
OG0000026	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1
OG0000027	NP_033473.1	XP_001928370.3
OG0000027	NP_033474.1	XP_013843702.1
OG0000027	NP_059075.1	XP_003126645.3
OG0000027	NP_001029051.2	XP_020920717.1
OG0000027	NP_033475.1, NP_033472.1	XP_020929709.1
OG0000027	NP_035784.1	NP_001038009.1
OG0000028	NP_001011841.1, NP_666786.1, NP_666906.1, NP_001011840.1, NP_666414.1, NP_666902.1	XP_013849769.1
OG0000028	NP_666909.1, NP_666908.2	XP_013849748.1, XP_013849745.1, XP_013849747.1
OG0000028	NP_666916.1	XP_013849750.2, XP_003353904.1
OG0000029	NP_667211.2, NP_667212.2	XP_020937119.1, XP_020926346.1, XP_003358892.1
OG0000029	NP_667210.2, NP_001011662.2, NP_667208.2	XP_020925487.1
OG0000029	NP_667207.2, XP_030104978.1, NP_667213.2, NP_667209.1	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2
OG0000031	NP_667273.1	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1
OG0000031	NP_001011789.1	XP_003123608.1
OG0000031	NP_001011820.1, NP_666754.2	XP_020955480.1
OG0000031	NP_666753.2	XP_020955487.1
OG0000031	NP_997455.1	XP_001927473.2, XP_001927458.2
OG0000033	XP_030101751.1, NP_001346741.1	XP_020922339.1, XP_020922337.1
OG0000033	NP_001334580.1, NP_954691.3	XP_005668688.1
OG0000033	NP_001162624.1, XP_017170043.1	XP_005668681.1
OG0000034	NP_001160200.1, NP_598934.1, NP_598933.1, NP_598930.1, NP_001160192.1, NP_598929.1, NP_598927.1, NP_598926.1, NP_598928.1, NP_001160191.1, NP_598931.1, NP_444467.2, NP_001095049.1, XP_017176828.1, XP_017176912.1, NP_598938.1, NP_444468.2, NP_598940.1, NP_598939.1, NP_444466.2, NP_444465.2, XP_006505735.1, NP_598937.1, XP_017176915.1, NP_598945.2, NP_444462.1, NP_001095003.1, NP_602318.2, NP_598932.1, NP_001160201.1, NP_598948.1, NP_001160182.1, NP_444461.2, NP_598946.2, NP_598936.1, NP_598935.2, NP_444463.2, NP_598944.1, NP_598943.1	XP_013842957.2
OG0000035	NP_033738.1	NP_001163988.1
OG0000035	NP_033736.1, NP_001258970.1	NP_001161267.1
OG0000035	NP_031418.1	XP_013838976.1
OG0000035	NP_031419.1	XP_003124328.1, XP_020941706.1
OG0000035	NP_033739.1	XP_003357976.1
