Orthogroup	Canis_lupus_familiaris	Urocitellus_parryii
OG0000000	XP_038384579.1	XP_026259515.1
OG0000000	XP_038383888.1	XP_026238407.1
OG0000000	XP_038385033.1	XP_026235051.1
OG0000000	XP_038385144.1, XP_038385116.1	XP_026262699.1
OG0000000	XP_038385096.1	XP_026235903.1
OG0000000	XP_038383557.1	XP_026237094.1
OG0000000	XP_038385054.1	XP_026237210.1
OG0000000	XP_038385069.1	XP_026237216.1
OG0000000	XP_038385115.1	XP_026267921.1
OG0000000	XP_038383515.1	XP_026237455.1
OG0000000	XP_038383541.1	XP_026237090.1, XP_026237089.1
OG0000000	XP_038411812.1	XP_026265638.1
OG0000002	XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1	XP_026238350.1, XP_026238584.1
OG0000003	XP_038440279.1	XP_026270377.1
OG0000003	XP_038418003.1	XP_026237648.1
OG0000003	XP_038440305.1	XP_026263464.1
OG0000003	XP_038418004.1, XP_038418006.1, XP_038418005.1	XP_026259839.1
OG0000003	XP_038440363.1, XP_038440334.1, XP_038440352.1, XP_038440364.1	XP_026270385.1
OG0000004	XP_038440340.1	XP_026270382.1
OG0000004	XP_038440277.1	XP_026238606.1, XP_026263458.1, XP_026263455.1
OG0000004	XP_038418000.1	XP_026238610.1
OG0000004	XP_038440275.1	XP_026263457.1
OG0000004	XP_038440341.1	XP_026263456.1
OG0000004	XP_038418001.1	XP_026259837.1
OG0000004	XP_038432800.1	XP_026269954.1
OG0000004	XP_038418002.1	XP_026259838.1
OG0000004	NP_001361454.1, XP_038440274.1	XP_026270379.1
OG0000005	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1	XP_026237754.1, XP_026236696.1
OG0000005	NP_001375861.1, XP_038444905.1, NP_001376081.1	XP_026254194.1
OG0000005	NP_001376104.1	XP_026254170.1, XP_026254267.1, XP_026254163.1, XP_026254177.1, XP_026254171.1, XP_026254175.1
OG0000006	XP_038444756.1, XP_038421308.1	XP_026236425.1
OG0000006	XP_038400303.1, XP_038400305.1, XP_038400304.1	XP_026270592.1
OG0000006	XP_038407892.1, XP_038444158.1	XP_026238559.1
OG0000007	NP_001013874.1	XP_026238048.1
OG0000008	XP_038383866.1	XP_026237845.1
OG0000008	XP_038409055.1	XP_026249121.1
OG0000008	XP_038444566.1	XP_026268615.1
OG0000008	XP_038443189.1, XP_038443224.1	XP_026268556.1
OG0000008	XP_038384956.1	XP_026235043.1
OG0000008	XP_038445242.1	XP_026262971.1
OG0000008	XP_038395427.1	XP_026262968.1
OG0000008	XP_038435142.1	XP_026237339.1, XP_026262695.1
OG0000008	XP_038394427.1	XP_026260312.1
OG0000009	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1	XP_026237619.1, XP_026238128.1, XP_026270128.1, XP_026271081.1, XP_026237422.1, XP_026237620.1, XP_026270106.1
OG0000010	NP_001375563.1	XP_026235016.1
