Orthogroup	Ursus_americanus	Homo_sapiens
OG0000000	XP_045672096.1	NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1
OG0000000	XP_045645193.1	NP_001372545.1, XP_047294716.1, NP_001372541.1, NP_001372540.1, NP_001372547.1, NP_001372543.1, NP_001372542.1, NP_001372544.1, NP_001372538.1, NP_001372539.1, NP_001372546.1
OG0000000	XP_045645194.1	NP_001276882.1, NP_001309054.1, NP_001309055.1, XP_047295761.1, NP_001356754.1, NP_001309058.1, NP_150630.2, NP_942596.1, NP_001309066.1, NP_001309067.1, NP_001309068.1, NP_001309065.1, NP_001309064.1, NP_001309059.1, NP_001309061.1, NP_001309060.1, NP_001309062.1, NP_001309063.1, NP_001096073.1, NP_001309057.1, XP_047295573.1, NP_001166145.1, NP_001166146.1, NP_115973.2, NP_001340387.1, XP_047295035.1
OG0000000	XP_045645200.1, XP_045645398.1, XP_045645415.1, XP_045645396.1, XP_045645391.1, XP_045645195.1	NP_001381102.1
OG0000000	XP_045642231.1	NP_001308920.1, NP_001287922.1
OG0000000	XP_045630167.1, XP_045630164.1	NP_065864.2
OG0000000	XP_045661175.1, XP_045661221.1	NP_001138815.1
OG0000000	XP_045661136.1	NP_001035939.1
OG0000000	XP_045630187.1	NP_653291.1, NP_001307300.2
OG0000000	XP_045661152.1	NP_694989.2
OG0000000	XP_045661176.1	NP_001229729.1, NP_001229730.1, NP_001229731.1, NP_996777.2, XP_047294754.1
OG0000000	XP_045661198.1	NP_001284548.1
OG0000000	XP_045661205.1	NP_001307595.1
OG0000000	XP_045661204.1	NP_001308846.1
OG0000000	XP_045641316.1	NP_001005851.1, XP_005258647.1, XP_005258830.1, NP_001136049.1, NP_001136050.1, NP_001010880.2
OG0000000	XP_045652605.1	NP_001092907.1, NP_001092908.1, NP_919306.2, XP_011525745.1
OG0000000	XP_045642070.1	NP_116078.4
OG0000000	XP_045642108.1	NP_001166161.1
OG0000000	XP_045629146.1	NP_775819.1
OG0000000	XP_045629728.1	NP_001291264.1, NP_001291266.1, NP_001291265.1, NP_001291263.1, NP_940944.1, NP_001091961.1, NP_001278673.1
OG0000000	XP_045630174.1	NP_001308285.1
OG0000000	XP_045633339.1	NP_001336738.1
OG0000001	XP_045656004.1	NP_079243.1
OG0000001	XP_045630538.1, XP_045630542.1	NP_066358.2, NP_065765.1
OG0000001	XP_045630524.1, XP_045630526.1	NP_659413.1
OG0000001	XP_045630322.1	NP_001189337.1, NP_001189338.1, NP_001189341.1, NP_001189339.1, NP_001189340.1, NP_001189335.1, NP_115886.1, NP_001189336.1
OG0000002	XP_045659598.1, XP_045653430.1, XP_045660115.1, XP_045660131.1, XP_045660141.1, XP_045660136.1, XP_045660143.1, XP_045660178.1, XP_045660160.1, XP_045660186.1, XP_045643396.1, XP_045660185.1, XP_045643394.1, XP_045659594.1, XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1	NP_001005190.1, NP_112163.1
OG0000003	XP_045656411.1	NP_003509.1
OG0000003	XP_045656410.1, XP_045656415.1, XP_045656367.1, XP_045656299.1, XP_045656370.1	NP_001368918.1
OG0000003	XP_045656408.1	NP_003513.1
OG0000003	XP_045656417.1	NP_003510.1
OG0000003	XP_045656371.1	NP_003518.2, NP_003515.1, NP_001019770.1, NP_001154806.1
OG0000003	XP_045656416.1	NP_066406.1
OG0000003	XP_045656369.1	NP_003511.1
OG0000003	XP_045656412.1	NP_066407.1, NP_619790.1, XP_005249096.2
OG0000003	XP_045659933.1	NP_778225.1
OG0000003	XP_045633098.1, XP_045633097.1, XP_045633094.1	NP_003519.1
OG0000003	XP_045656365.1	NP_066402.2
OG0000004	XP_045656361.1	NP_003505.1, NP_003500.1, NP_066408.1
OG0000004	XP_045656405.1	NP_003504.2, NP_066390.1
OG0000004	XP_045633095.1, XP_045633096.1	NP_003507.1
OG0000004	XP_045656403.1	NP_003503.1
OG0000004	XP_045656363.1	NP_542163.1
OG0000004	XP_045633092.1	NP_778235.1
OG0000004	XP_045637404.1	NP_808760.1
OG0000004	XP_045633093.1	NP_003508.1
OG0000004	XP_045656431.1	NP_734466.1
OG0000005	XP_045632498.1, XP_045652424.1	NP_473446.1
OG0000006	XP_045656292.1	XP_047289367.1
OG0000007	XP_045629912.1	NP_065684.1
OG0000007	XP_045645184.1	NP_776255.2
OG0000007	XP_045645182.1	NP_776256.2
OG0000008	XP_045670779.1	NP_001269444.1
OG0000008	XP_045644759.1	NP_001129745.1
OG0000008	XP_045651930.1	NP_001123370.1, NP_001034980.1
OG0000008	XP_045642057.1	NP_001275729.1
OG0000008	XP_045669366.1	NP_001191385.1, NP_066986.1
OG0000008	XP_045669362.1	NP_057349.2, NP_008887.2
OG0000008	XP_045658297.1	NP_001311180.1, XP_011517958.1, NP_003412.1, NP_001311179.1, NP_001311178.1, NP_001311177.1, NP_001311176.1, NP_001311175.1, NP_001311174.1, NP_001171572.1, NP_001007095.1
OG0000008	XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1	NP_001310956.1, NP_001121695.1, NP_001277137.1, NP_001277138.1, XP_011531546.1
OG0000008	XP_045670809.1	XP_016878441.1
OG0000009	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1	NP_001229971.1, NP_002108.4, XP_054186779.1, NP_005505.2, XP_041536702.1, NP_002107.3, NP_001229687.1, NP_001350496.1, XP_054186575.1, XP_016866296.1, NP_005507.3
OG0000010	XP_045642840.1	NP_001005275.2
OG0000010	XP_045642839.1	NP_001005272.3, NP_001005274.1
OG0000010	XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1	NP_001005512.2
OG0000011	XP_045650413.1	NP_061992.3, NP_061753.1
OG0000011	XP_045650417.1	NP_061763.1
OG0000011	XP_045650426.1	NP_061759.1
OG0000011	XP_045650411.1	NP_061757.1
OG0000011	XP_045650412.1	NP_061754.1, NP_061755.1
OG0000011	XP_045650424.1	NP_061760.2
OG0000011	XP_045650416.1	NP_061993.3, NP_061756.1
OG0000011	XP_045650414.1	NP_066008.2
OG0000011	XP_045650423.1	NP_061761.1
OG0000011	XP_045650419.1	NP_001290074.1, NP_061762.2
OG0000011	XP_045650422.1	NP_056484.2
OG0000011	XP_045650407.1	NP_061758.1
OG0000012	XP_045659615.1	NP_775970.2
OG0000012	XP_045660985.1, XP_045660983.1	NP_872312.2
OG0000012	XP_045634849.1	NP_001373794.1, XP_011543815.1, NP_002356.2
OG0000012	XP_045659613.1	NP_001258681.1
OG0000012	XP_045634850.1, XP_045634848.1	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1
OG0000012	XP_045660009.1	NP_001264236.1, XP_047298311.1
OG0000013	XP_045630277.1	NP_001001958.1
OG0000013	XP_045630276.1, XP_045630304.1, XP_045630339.1, XP_045630337.1	NP_001005192.2
OG0000014	XP_045629486.1	NP_001277247.1
OG0000014	XP_045629702.1	NP_001019767.1
OG0000014	XP_045629270.1	NP_079109.2
OG0000014	XP_045629750.1, XP_045629740.1	NP_003426.3
OG0000014	XP_045629613.1, XP_045629604.1, XP_045629575.1	NP_775902.2, NP_001317546.1, NP_001166244.1
OG0000014	XP_045629542.1	XP_047294519.1
OG0000014	XP_045629587.1	NP_060349.1
