Orthogroup	Urocitellus_parryii	Myotis_lucifugus
OG0000000	XP_026259515.1	XP_023599350.1
OG0000000	XP_026238407.1	XP_023620736.1
OG0000000	XP_026235051.1	XP_023616360.1
OG0000000	XP_026262699.1	XP_023618147.1
OG0000000	XP_026235903.1	XP_006098677.1
OG0000000	XP_026237216.1	XP_014319713.1
OG0000000	XP_026237455.1	XP_023604378.1
OG0000000	XP_026237090.1, XP_026237089.1	XP_006109488.2, XP_023604206.1
OG0000000	XP_026265638.1	XP_006107371.2
OG0000001	XP_026255634.1	XP_023601577.1
OG0000001	XP_026237585.1, XP_026236579.1, XP_026237586.1, XP_026237910.1, XP_026235726.1	XP_023600178.1
OG0000001	XP_026245818.1, XP_026245589.1, XP_026245763.1, XP_026245594.1, XP_026245673.1, XP_026245671.1, XP_026245675.1, XP_026245672.1, XP_026245636.1, XP_026245635.1	XP_023602735.1
OG0000002	XP_026238350.1, XP_026238584.1	XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1, XP_006099744.1, XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1
OG0000003	XP_026270377.1	XP_006106487.1
OG0000003	XP_026263464.1	XP_006105754.1
OG0000003	XP_026259839.1	XP_006095234.1, XP_006105894.1
OG0000004	XP_026270382.1	XP_023602427.1, XP_006105755.1, XP_014303408.1, XP_006105904.1
OG0000004	XP_026270383.1	XP_014303296.1
OG0000004	XP_026238610.1	XP_006095377.1
OG0000004	XP_026270403.1	XP_014303409.1
OG0000004	XP_026259837.1	XP_014316718.2
OG0000004	XP_026259838.1	XP_006095233.1
OG0000005	XP_026237754.1, XP_026236696.1	XP_006101362.1, XP_006101381.1
OG0000005	XP_026254205.1	XP_006101391.1, XP_006109268.1
OG0000005	XP_026237752.1, XP_026254204.1	XP_006101366.1, XP_006101367.1
OG0000005	XP_026254194.1	XP_006101378.1
OG0000005	XP_026254170.1, XP_026254267.1, XP_026254163.1, XP_026254177.1, XP_026254171.1, XP_026254175.1	XP_006101368.1
OG0000006	XP_026236425.1	XP_023607122.1, XP_023611083.1
OG0000006	XP_026270592.1	XP_023611739.1
OG0000006	XP_026245409.1, XP_026268252.1, XP_026238327.1, XP_026265281.1, XP_026251594.1, XP_026268248.1, XP_026250486.1, XP_026263551.1, XP_026238340.1, XP_026237231.1, XP_026236588.1, XP_026240291.1, XP_026267714.1, XP_026260361.1	XP_023604080.1, XP_014306381.1, XP_014307657.2, XP_014305168.1, XP_023604957.1, XP_023604864.1
OG0000008	XP_026237845.1	XP_023603086.1, XP_023603088.1
OG0000008	XP_026249121.1	XP_023609052.1
OG0000008	XP_026268615.1	XP_023608739.1
OG0000008	XP_026268556.1	XP_006090633.1
OG0000008	XP_026262971.1	XP_014318909.1
OG0000008	XP_026262968.1	XP_023617197.1
OG0000008	XP_026260312.1	XP_023618878.1
OG0000010	XP_026235016.1	XP_014313946.1
OG0000010	XP_026235001.1	XP_006091995.1
OG0000011	XP_026240157.1	XP_006109699.2
OG0000011	XP_026240169.1	XP_006086528.1
OG0000011	XP_026240287.1	XP_023607814.1
OG0000011	XP_026240286.1	XP_023607813.1
OG0000011	XP_026240203.1	XP_023607816.1, XP_006086523.2
OG0000011	XP_026240223.1	XP_006109698.1
OG0000011	XP_026240234.1	XP_006086525.1
OG0000011	XP_026240156.1	XP_023607817.1
OG0000011	XP_026240283.1, XP_026240273.1, XP_026240279.1	XP_006086526.1
OG0000012	XP_026267998.1	XP_006085710.1
OG0000012	XP_026236422.1	XP_006085742.1
OG0000012	XP_026265286.1	XP_014308590.1
OG0000012	XP_026267996.1	XP_006085738.1
OG0000012	XP_026265287.1	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1
OG0000012	XP_026252549.1	XP_006088682.1
OG0000013	XP_026267604.1	XP_006102505.1
OG0000013	XP_026237059.1, XP_026237056.1, XP_026237061.1	XP_006102520.1
OG0000013	XP_026267646.1	XP_006102519.1, XP_014323272.1
OG0000014	XP_026235441.1	XP_014314720.1
OG0000014	XP_026237457.1	XP_023604382.1
OG0000014	XP_026237453.1	XP_023604027.1, XP_014304991.1, XP_014304989.1
OG0000014	XP_026235530.1	XP_014301260.1, XP_006103437.2
OG0000015	XP_026237050.1, XP_026237057.1, XP_026238370.1, XP_026238358.1, XP_026238520.1, XP_026237048.1, XP_026238002.1, XP_026238003.1, XP_026238256.1, XP_026237055.1	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1
OG0000017	XP_026269685.1	XP_014315670.1
OG0000018	XP_026261538.1	XP_014301359.1
OG0000018	XP_026263466.1, XP_026263454.1, XP_026237650.1	XP_006095231.1
OG0000019	XP_026237322.1, XP_026237907.1, XP_026237350.1	XP_006087592.3
OG0000019	XP_026237345.1	XP_006087532.1
OG0000019	XP_026237347.1	XP_006087533.1
OG0000019	XP_026237905.1	XP_014310270.1
OG0000020	XP_026237159.1	XP_023620544.1, XP_023603758.1, XP_023602862.1, XP_023602866.1, XP_023602864.1, XP_014304919.1, XP_014322076.2
OG0000022	XP_026240262.1	XP_006086666.1
OG0000022	XP_026240150.1	XP_006086504.1
OG0000022	XP_026240155.1	XP_006086502.1
OG0000022	XP_026240267.1, XP_026240268.1	XP_006086507.3
OG0000022	XP_026240151.1	XP_006086508.2
OG0000022	XP_026240264.1	XP_023607849.1
