Orthogroup	Mus_musculus	Ictidomys_tridecemlineatus
OG0000000	XP_030098258.1, NP_033587.2	XP_005338252.2
OG0000000	XP_030100300.1, NP_001004190.2	XP_005336165.1
OG0000000	NP_663458.2	XP_021576805.2
OG0000000	NP_001296303.1, XP_017170821.1, NP_001296302.1, NP_001389832.1, NP_573491.2, NP_001001130.1, NP_938081.2, NP_001012325.2, NP_082678.2, NP_001360967.2, NP_001041669.1, NP_001001186.3, NP_001074410.2, NP_001013791.2, NP_808479.1	XP_021588625.1
OG0000000	NP_690027.1	XP_021576898.1
OG0000000	NP_001389468.1	XP_021576901.1, XP_021576636.1
OG0000000	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1	XP_005342012.1
OG0000000	NP_808557.2	XP_021576027.1, XP_021576894.1
OG0000000	NP_001020099.1, XP_006540216.1	XP_013221241.1
OG0000000	NP_001345745.1	XP_013212186.1
OG0000001	XP_011247286.1, NP_848504.2	XP_021576558.1, XP_013221205.1
OG0000001	NP_001020121.2, XP_006524318.1	XP_021587205.1, XP_021587207.1, XP_021587102.1, XP_021587204.1, XP_040146264.1, XP_040146260.1, XP_013217290.1, XP_013217292.1
OG0000001	NP_001028985.1	XP_005336245.2, XP_013218788.2
OG0000001	XP_030106060.1	XP_040137776.1
OG0000002	NP_667070.1	XP_005336366.1
OG0000002	NP_666447.1	XP_005342867.1, XP_013221644.1, XP_005336367.1, XP_005336318.1, XP_005336319.1, XP_005336368.1
OG0000002	NP_667251.1, NP_667252.1	XP_005336370.1, XP_005336377.2
OG0000002	NP_667253.1, NP_667282.1	XP_021577056.1, XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1
OG0000003	NP_835503.1	XP_013219120.1
OG0000003	NP_001277309.1	XP_005337132.1, XP_013216605.1
OG0000003	NP_783595.1	XP_021590095.1, XP_005337121.1, XP_005337103.1
OG0000003	NP_835507.1	XP_021590094.1
OG0000003	NP_084358.1	XP_005342617.1
OG0000003	NP_001380452.1	XP_005342616.1
OG0000003	NP_835504.1	XP_005331197.1, XP_013219121.1, XP_005337126.1
OG0000004	NP_835496.1, NP_835490.1, NP_835491.1, NP_835492.1, NP_783591.2, NP_835489.1, NP_835493.1	XP_013219115.1
OG0000004	NP_835495.1	XP_005337114.1
OG0000004	NP_038577.1	XP_005331193.1, XP_005331195.1
OG0000004	NP_783590.1	XP_021590093.1
OG0000004	NP_835585.3	XP_021586083.1
OG0000004	NP_808356.1	XP_005331946.1
OG0000004	NP_783593.1	XP_005331198.1
OG0000005	NP_667141.1	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1
OG0000005	NP_666758.1	XP_005342755.2
OG0000005	NP_667074.1	XP_005342565.1
OG0000005	NP_666759.1, NP_666755.1	XP_005342769.3
OG0000005	NP_666379.1	XP_005342567.1
OG0000006	XP_030110853.2	XP_040137726.1, XP_040124164.1, XP_040143849.1
OG0000006	XP_036010828.1	XP_021581918.1, XP_040137954.1, XP_013211517.1, XP_040129277.1, XP_040129216.1, XP_013220730.2, XP_040139203.1, XP_040146805.1, XP_040146864.1, XP_040126337.1, XP_040134474.1, XP_021586353.1, XP_013213549.1, XP_040141572.1, XP_040133703.1, XP_040145847.1, XP_013221250.2, XP_040137093.1, XP_040143137.1
OG0000006	XP_036014909.1, XP_011248102.1, XP_030108145.2, XP_030109804.2, XP_011245720.1, XP_036021580.1, XP_030102923.1, XP_036020532.1, XP_036016100.1, XP_036020530.1, XP_011237194.2, XP_036018054.1	XP_040134543.1
OG0000007	NP_598959.1, NP_598961.1	XP_005341842.2, XP_021576801.1, XP_005341858.3, XP_040135114.1, XP_005342044.1, XP_005342048.1, XP_005342968.2, XP_021576917.1, XP_005342043.1, XP_021576802.1, XP_005342846.1, XP_005341843.1, XP_005341851.1, XP_005341854.1, XP_005341852.2, XP_005342969.1, XP_005342038.2, XP_005341850.1
OG0000007	NP_598953.1, NP_598956.3, NP_598952.1, NP_598954.2, NP_598951.1, NP_598955.1, NP_001160207.1, NP_598991.2, NP_665841.1, NP_001165543.1, NP_598990.2, NP_665847.1, NP_598992.1, NP_001161012.1	XP_013221472.2, XP_005341849.1, XP_005342047.1, XP_021576916.1, XP_005342040.1, XP_005342039.1, XP_013221475.2, XP_005342895.1, XP_005341855.1, XP_040135783.1, XP_013221473.1
OG0000008	NP_001277279.1	XP_021585038.2
OG0000008	NP_033592.2	XP_040142796.1, XP_005340718.1, XP_040142795.1
OG0000008	NP_001408747.1	XP_021575996.1
OG0000008	NP_067301.1, NP_001346164.1, NP_001038947.1	XP_005340090.1
OG0000008	NP_001276518.1	XP_021575630.1
OG0000008	NP_035888.2	XP_013211286.2, XP_021579127.1
OG0000008	NP_082406.2, XP_006504688.1, NP_766351.3	XP_021577186.1, XP_040129248.1
OG0000008	NP_001355257.1	XP_021577360.1
OG0000009	NP_001108547.1, XP_030105660.1	XP_040139563.1, XP_040137927.1
OG0000009	NP_034521.1, NP_034522.2, XP_011244602.1, NP_034520.2, NP_001355671.1, NP_001411251.1, NP_001411253.1, NP_001411252.1, NP_001411248.1, NP_075613.3, NP_001411249.1, NP_997531.1, NP_001355670.1, NP_001188389.1, NP_034524.3, NP_001137161.1, XP_017173254.1, NP_001357747.1, XP_006524864.1, NP_001074501.2, NP_001390291.1, XP_006523736.1, NP_034510.3	XP_040138373.1
OG0000010	XP_017174101.1, NP_667184.2	XP_021585329.1
OG0000010	NP_667181.1	XP_013216063.1
OG0000010	NP_667001.1	XP_005341590.1, XP_005330122.1, XP_005330123.1
OG0000010	NP_667194.1	XP_005330009.1, XP_005330125.1, XP_005330126.1, XP_005330124.1, XP_005341591.1, XP_005330010.1, XP_005330129.3, XP_005341582.1, XP_005330008.1
OG0000011	NP_444373.1	XP_005324350.2
OG0000011	NP_444370.1	XP_013213581.1
OG0000011	NP_444357.1	XP_005324322.1
OG0000011	NP_444375.2	XP_005324316.1
OG0000011	NP_444374.2	XP_005324315.2
OG0000011	NP_444358.2	XP_013213584.1
OG0000011	NP_444371.3, NP_444372.2	XP_005324317.2
OG0000011	NP_444360.1, NP_444364.3, NP_444362.3	XP_013213578.3, XP_013213630.1
