Orthogroup	Rattus_norvegicus	Canis_lupus_familiaris
OG0000000	XP_008757184.1, NP_001017512.2	XP_038384579.1
OG0000000	NP_001414718.1, XP_063143066.1	XP_038383531.1, XP_038383540.1
OG0000000	NP_001128198.1, XP_038944205.1	XP_038385116.1
OG0000000	XP_008757455.1, XP_006228826.1, XP_006228825.1, XP_006228824.1	XP_038385054.1, XP_038385022.1
OG0000000	NP_001094461.1, XP_038943235.1	XP_038385069.1
OG0000000	XP_006255213.1	XP_038381488.1, XP_038385089.1
OG0000000	XP_063133243.1	XP_038383482.1, XP_038383515.1
OG0000000	XP_006228251.1, NP_001008557.1	XP_038383541.1
OG0000000	XP_063119671.1, NP_001387994.1	XP_038411812.1
OG0000001	XP_063124294.1	XP_038423808.1
OG0000001	NP_001396167.1	XP_038423111.1, XP_038423107.1, XP_038423095.1
OG0000001	XP_063138867.1	XP_038423310.1, XP_038423296.1
OG0000002	NP_001000108.1, XP_006255421.1	NP_001375586.1
OG0000002	NP_997480.2, NP_001000941.1	XP_038422957.1, NP_001013440.1, XP_038421294.1, NP_001375587.1, XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1
OG0000003	NP_001396017.1	XP_038440278.1, XP_038440289.1, XP_038440279.1
OG0000003	NP_001100822.1	XP_038440354.1, XP_038440365.1, XP_038440353.1, XP_038440333.1
OG0000003	NP_001403243.1	XP_038418003.1
OG0000003	NP_001395954.1	XP_038440305.1
OG0000003	NP_001101884.1	XP_038440283.1, XP_038440284.1, XP_038440281.1, XP_038440282.1, XP_038440298.1, XP_038440303.1, XP_038440304.1, XP_038440302.1, XP_038440300.1, XP_038440301.1, XP_038440288.1, XP_038440287.1, XP_038440285.1, XP_038440286.1
OG0000003	NP_001102870.1	XP_038440363.1, XP_038440334.1, XP_038440352.1, XP_038440364.1
OG0000004	NP_001395690.1, NP_001395680.1, NP_001395861.1, NP_001102893.1, NP_001100824.1, NP_001395599.1	XP_038440277.1
OG0000004	NP_001302421.1, NP_001395941.1	XP_038440276.1
OG0000004	NP_001302422.1	XP_038418000.1
OG0000004	NP_001104811.1	XP_038418001.1
OG0000004	NP_001103080.1	XP_038432800.1
OG0000004	NP_001395771.1	XP_038418002.1
OG0000005	NP_001000060.1	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1
OG0000005	NP_001001365.1, NP_001000938.1, NP_001001382.1, NP_001001385.1, NP_001001361.1	NP_001375871.1, XP_038444903.1, NP_001376078.1
OG0000005	NP_001000061.1	NP_001375861.1, XP_038444905.1, NP_001376081.1
OG0000005	NP_001000055.1	NP_001376104.1
OG0000006	XP_063120688.1, XP_063120689.1, XP_063120693.1, XP_063120692.1, XP_063120691.1, XP_063120732.1, XP_063120731.1, XP_063120734.1, XP_063120733.1, XP_063120690.1, XP_063120687.1, XP_063120686.1	XP_038400303.1, XP_038400305.1, XP_038400304.1
OG0000006	XP_063138919.1, XP_063138801.1, XP_063138800.1, XP_063120507.1, XP_063128749.1, XP_063118653.1, XP_063136520.1, XP_063138765.1, XP_063144646.1, XP_063130967.1, XP_063132935.1, XP_063132936.1, XP_063138932.1, XP_063138931.1, XP_063131938.1, XP_063131939.1	XP_038407892.1, XP_038444158.1
OG0000008	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1	XP_038383866.1, XP_038409055.1
OG0000008	XP_017457697.2	XP_038444566.1
OG0000008	XP_008757447.1, XP_008757448.1, XP_017445996.1	XP_038384956.1
OG0000008	XP_006248929.1, NP_001178593.1	XP_038445242.1
OG0000008	XP_221917.5, NP_001414121.1	XP_038395427.1
OG0000008	NP_001100474.2	XP_038435142.1
OG0000008	XP_063136497.1	XP_038443214.1
OG0000008	NP_001020936.1, XP_063134265.1	XP_038394427.1
OG0000009	NP_001161825.1, NP_001008834.1, XP_063135479.1, NP_001008845.1, NP_001008841.1, XP_038954892.1, XP_063135474.1, NP_001008838.1, NP_001008836.1, XP_063135475.1, XP_038954887.1, NP_001008842.1, NP_001008839.1, XP_063135491.1, XP_063135177.1, NP_001029158.1, XP_063135032.1, NP_001008827.1, XP_063135457.1, NP_001008833.1, XP_063135487.1, NP_001008830.1, XP_038954604.1, NP_001008840.1, NP_001008832.1, XP_038954582.1, XP_063135164.1, NP_001008835.1, NP_001008829.1, XP_063135035.1	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1
OG0000010	NP_001000513.1, NP_001001064.1	NP_001375563.1
OG0000010	XP_038962000.1, NP_001000627.1	XP_038418409.1, NP_001375564.1
OG0000010	NP_001000359.1	NP_001376103.1, NP_001375879.1
OG0000010	NP_001001067.1	NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1
OG0000011	XP_001055818.2	XP_038386314.1
OG0000011	NP_001102593.2	XP_038386305.1
OG0000011	NP_001102865.1	XP_038386315.1
OG0000011	NP_001108076.1	XP_038386324.1
OG0000011	NP_001014783.1	XP_038386312.1
OG0000011	NP_001108074.2, NP_001102860.1, NP_001395766.1	XP_038386308.1
OG0000011	NP_001395844.1	XP_038386303.1
OG0000011	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2	XP_038386309.1
OG0000011	NP_001403744.1	XP_038386316.1
OG0000012	NP_001037711.1, XP_063136102.1	XP_038443043.1, XP_038443045.1, XP_038443044.1
OG0000012	XP_003752106.1	XP_038442409.1
OG0000012	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1	XP_038442408.1, XP_038442410.1
OG0000013	NP_001000881.1	XP_038421256.1
OG0000013	XP_017451017.1, NP_001000432.1, NP_001000429.1	NP_001376117.1
OG0000014	XP_006228239.1, XP_008757305.3, NP_001178549.1	XP_038381450.1
OG0000015	NP_001406638.1	XP_038423317.1
OG0000015	NP_001000864.1, XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1, XP_038938790.1, XP_002729926.5	XP_038421309.1
OG0000015	NP_001000434.1, NP_001000868.1, NP_001000984.1, NP_001000871.1, NP_001000870.1, NP_001000985.1	NP_001375602.1
