Orthogroup	Sus_scrofa	Canis_lupus_familiaris
OG0000000	XP_020953205.1	XP_038384579.1
OG0000000	XP_020952941.1, XP_020952927.1	XP_038383925.1
OG0000000	XP_020952925.1	XP_038383888.1
OG0000000	XP_013844747.1, XP_005653629.1	XP_038381458.1, XP_038383850.1, XP_038381459.1, XP_038383856.1
OG0000000	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1	XP_038385033.1
OG0000000	XP_005664948.2	XP_038383531.1, XP_038383540.1
OG0000000	XP_020952850.1	XP_038385116.1
OG0000000	XP_013853826.1	XP_038385096.1
OG0000000	XP_020950760.1	XP_038383557.1
OG0000000	XP_020952794.1	XP_038385054.1
OG0000000	XP_013853905.1	XP_038385069.1
OG0000000	XP_020952895.1	XP_038381488.1
OG0000000	XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1	XP_038385089.1
OG0000000	XP_020953072.1	XP_038383482.1
OG0000000	XP_020952989.1	XP_038383515.1
OG0000000	XP_020950733.1	XP_038383541.1
OG0000000	XP_003481363.2	XP_038411812.1
OG0000001	XP_020940803.1	XP_038423808.1
OG0000001	XP_013846094.1	XP_038423095.1
OG0000001	XP_005652869.1	XP_038423809.1
OG0000002	XP_003123502.2	NP_001375586.1
OG0000002	XP_003123457.2, XP_020937693.1, XP_020937428.1, XP_020937989.1, XP_020937422.1, XP_020937698.1, XP_020940765.1, XP_020940766.1, XP_003123429.1, XP_003123435.1	NP_001375600.1, NP_001375957.1, NP_001375593.1, NP_001375589.1, XP_038421239.1
OG0000002	XP_003354160.1, XP_020940775.1, XP_003123442.1	XP_038421296.1
OG0000002	XP_020942030.1, XP_003123499.1, XP_020937411.1	XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1
OG0000002	XP_020940767.1, XP_003123441.1, XP_003480819.1	NP_001375817.1, XP_038422956.1
OG0000002	XP_003123492.1, XP_003480816.1	NP_001375596.1, NP_001375594.1
OG0000003	XP_020955500.1	XP_038440278.1, XP_038440289.1, XP_038440279.1
OG0000003	XP_001927752.1	XP_038440354.1, XP_038440365.1, XP_038440353.1, XP_038440333.1
OG0000003	XP_020945586.1	XP_038418003.1
OG0000003	XP_020954093.1	XP_038440305.1
OG0000003	NP_001230585.1	XP_038440284.1, XP_038440281.1, XP_038440282.1, XP_038440298.1, XP_038440303.1, XP_038440304.1, XP_038440302.1, XP_038440300.1, XP_038440301.1, XP_038440288.1, XP_038440287.1, XP_038440285.1
OG0000003	XP_020945588.1	XP_038418004.1, XP_038418006.1, XP_038418005.1
OG0000003	XP_020955502.1	XP_038440352.1
OG0000004	XP_003356618.1, XP_001927727.1	XP_038440340.1
OG0000004	XP_020954090.1, XP_020954092.1	XP_038440277.1
OG0000004	XP_020954091.1	XP_038440275.1
OG0000004	XP_020945584.1	XP_038418001.1
OG0000004	XP_013853268.2	XP_038432800.1
OG0000004	XP_013852658.1	XP_038418002.1
OG0000005	XP_001926317.2	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1
OG0000005	XP_020937937.1, XP_003355500.2, XP_020937458.1	NP_001375861.1, XP_038444905.1, NP_001376081.1
OG0000005	XP_013839577.1	NP_001376104.1
OG0000006	XP_020922897.1, XP_020939871.1	XP_038407892.1, XP_038444158.1
OG0000008	XP_020950594.1	XP_038383866.1
OG0000008	XP_005660392.2	XP_038409055.1
OG0000008	XP_020935751.1	XP_038444566.1
OG0000008	XP_020936063.1, XP_013841559.2	XP_038443189.1, XP_038443224.1
OG0000008	XP_020941711.1, XP_005653115.2	XP_038445242.1
OG0000008	XP_005653113.1	XP_038395427.1
OG0000008	XP_013838698.1	XP_038389738.1, XP_038389739.1, XP_038389737.1, XP_038389736.1
OG0000008	XP_013846325.1	XP_038443214.1
OG0000008	XP_020949541.1	XP_038394427.1
OG0000009	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1
OG0000010	XP_005654730.1, XP_013834759.1, XP_020940399.1	NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1
