Orthogroup	Sarcophilus_harrisii	Canis_lupus_familiaris
OG0000000	XP_031812992.1	XP_038384579.1
OG0000000	XP_031817705.1	XP_038383925.1, XP_038383888.1
OG0000000	XP_031810195.1, XP_031823895.1, XP_023359536.1	XP_038381458.1, XP_038383850.1, XP_038381459.1, XP_038383856.1
OG0000000	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1	XP_038385033.1, XP_038383531.1, XP_038383540.1, XP_038385144.1, XP_038385116.1, XP_038385096.1, XP_038383557.1, XP_038385054.1, XP_038385022.1, XP_038385069.1, XP_038381488.1, XP_038385089.1, XP_038384813.1, XP_038385115.1
OG0000000	XP_031800804.1	XP_038383482.1, XP_038383515.1, XP_038383541.1, XP_038411812.1
OG0000001	XP_031815742.1	XP_038423808.1, XP_038423114.1, XP_038423111.1, XP_038423107.1, XP_038423095.1, XP_038423809.1
OG0000001	XP_012401289.1	XP_038423310.1, XP_038423296.1
OG0000002	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2	NP_001375586.1, NP_001375600.1, NP_001375957.1, NP_001375593.1, NP_001375589.1, XP_038421239.1, XP_038422957.1, NP_001013440.1, XP_038421294.1, NP_001375587.1, XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1, NP_001375833.1
OG0000003	XP_031824341.1	XP_038440305.1
OG0000003	XP_003770776.2	XP_038418004.1, XP_038418006.1, XP_038418005.1
OG0000003	XP_031823293.1	XP_038440363.1, XP_038440334.1, XP_038440352.1, XP_038440364.1
OG0000004	XP_003768759.1	XP_038440340.1
OG0000004	XP_031823292.1	XP_038418000.1
OG0000004	XP_003769951.1	XP_038418001.1
OG0000004	XP_012405154.1	XP_038432800.1, XP_038418002.1
OG0000005	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1, NP_001375871.1, XP_038444903.1, NP_001376078.1, NP_001375861.1, XP_038444905.1, NP_001376081.1, NP_001376104.1
OG0000006	XP_031801369.1	XP_038400303.1, XP_038400305.1, XP_038400304.1
OG0000006	XP_031814102.1, XP_031814100.1	XP_038407892.1, XP_038444158.1
OG0000007	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3	NP_001346935.1, NP_001013874.1, XP_038381463.1
OG0000008	XP_031806199.1	XP_038383866.1, XP_038409055.1
OG0000008	XP_023362616.1, XP_031800616.1	XP_038444566.1
OG0000008	XP_023355868.1, XP_012401259.1	XP_038443189.1, XP_038443224.1
OG0000008	XP_023361210.2, XP_031794448.1	XP_038384956.1, XP_038395468.1, XP_038395473.1, XP_038395469.1, XP_038445549.1, XP_038445242.1, XP_038395427.1, XP_038389738.1, XP_038389739.1, XP_038389737.1, XP_038389736.1, XP_038389711.1, XP_038435142.1, XP_038434080.1, XP_038443214.1, XP_038394427.1
OG0000009	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1
OG0000010	XP_031800130.1	NP_001375563.1
OG0000010	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1	XP_038418409.1, NP_001375564.1, NP_001376103.1, NP_001375879.1, NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1
OG0000011	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3	XP_038386314.1, XP_038386305.1, XP_038386315.1, XP_038386324.1, XP_038386312.1, XP_038386308.1, XP_038386303.1, XP_038386309.1, XP_038386325.1, XP_038386316.1
OG0000016	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1	XP_038409208.1, XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1
OG0000017	XP_003761039.1, XP_003761040.1, XP_003761048.1, XP_012397839.1, XP_012397826.1, XP_012397828.1, XP_031804001.1, XP_003763139.2, XP_012397824.1, XP_012397821.1, XP_012397829.1, XP_031806752.1, XP_003763137.1, XP_012397822.1, XP_003761034.1, XP_003761036.2, XP_003761037.1, XP_031806708.1, XP_012399622.1, XP_012397827.1, XP_003763235.1, XP_031806810.1, XP_003763234.1, XP_012397825.1	NP_001375448.1, NP_001375576.1
OG0000017	XP_023358579.1	NP_001375733.1
OG0000017	XP_003775021.1	XP_038402084.1
OG0000018	XP_031821686.1, XP_031821685.1, XP_031822886.1	XP_038402506.1
OG0000018	XP_031821117.1, XP_023359832.1, XP_023358477.2, XP_031823291.1	XP_038417997.1
OG0000019	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2	NP_001375695.1, XP_038435794.1
OG0000019	XP_031805360.1	XP_038445405.1
OG0000021	XP_003765334.1, XP_003765337.2, XP_023355891.1	XP_038439912.1
OG0000022	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1	XP_038386332.1, XP_038386364.1, XP_038386347.1, XP_038386329.1, XP_038386339.1, XP_038386342.1, XP_038386333.1, XP_038386334.1, XP_038386340.1
OG0000023	XP_031819158.1	XP_038384083.1
OG0000024	XP_003764405.1	XP_038391423.1
OG0000024	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1	NP_001376086.1, NP_001376019.1
OG0000026	XP_012397681.1, XP_012397680.1, XP_012397682.1	XP_038445160.1, XP_038445571.1, XP_038445438.1, XP_038445439.1, XP_038445441.1, XP_038445442.1, XP_038445437.1, XP_038445440.1, XP_038445436.1, XP_038445310.1, XP_038445326.1, XP_038445311.1, XP_038445370.1, XP_038445371.1, XP_038445312.1, XP_038444801.1, XP_038445366.1, XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1
OG0000027	XP_003765946.1	XP_038441743.1
OG0000027	XP_023360032.2, XP_031820681.1	XP_038433464.1
OG0000027	XP_023360426.1	XP_038432130.1
OG0000027	XP_003767621.1	XP_038397772.1
OG0000027	XP_031804908.1	XP_038431894.1, XP_038431882.1
OG0000027	XP_012401810.1	XP_038441741.1
OG0000027	XP_012407220.2	NP_001301019.1
OG0000028	XP_003774032.2	NP_001376096.1, NP_001376114.1, NP_001375514.1, NP_001376110.1, NP_001375516.1, NP_001375515.1, NP_001376097.1
OG0000029	XP_003766414.1	NP_001376061.1, NP_001375923.1, NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1
OG0000031	XP_003770492.1	XP_038399997.1
OG0000031	XP_003765338.1, XP_012400082.1, XP_031817645.1	NP_001375701.1, XP_038439908.1, NP_001375791.1, XP_038445325.1, XP_038412294.1
OG0000032	XP_031809276.1, XP_031809275.1, XP_031809269.1, XP_031809268.1, XP_012406642.2, XP_031809277.1, XP_031805170.1, XP_031805168.1	XP_038445481.1, XP_038386301.1, XP_038445480.1, XP_038445479.1, XP_038445482.1, XP_038386299.1, XP_038445478.1, XP_038386311.1, XP_038386304.1
OG0000033	XP_012403541.1	XP_038402020.1, XP_038402018.1, XP_038402610.1
OG0000033	XP_023358276.2	XP_038402589.1
OG0000035	XP_003756019.1	XP_038435896.1
OG0000035	XP_003767872.1	XP_038389880.1
OG0000035	XP_003761602.1	NP_001182774.2
OG0000035	XP_031821487.1	NP_001003349.2
OG0000035	XP_003759426.1	XP_038386568.1
OG0000035	XP_031805495.1	XP_038417669.1
OG0000036	XP_031812610.1, XP_031812613.1, XP_031812612.1, XP_031812611.1, XP_003754959.1, XP_003754958.1, XP_031812533.1, XP_031812108.1	XP_038435140.1, XP_038435141.1, XP_038435139.1
OG0000036	XP_003755303.1, XP_003755291.1	NP_001183973.1
OG0000039	XP_031802795.1	XP_038439969.1
OG0000039	XP_003760265.2	XP_038439961.1
OG0000039	XP_003768941.1	XP_038409373.1
OG0000039	XP_003757584.1	XP_038404584.1
OG0000039	XP_031803594.1	XP_038423469.1
OG0000039	XP_031805964.1	XP_038393912.1
OG0000039	XP_031807551.1	XP_038428666.1, XP_038428667.1
OG0000039	XP_003760117.1	XP_038399838.1
OG0000041	XP_023362197.2, XP_031799550.1	XP_038420405.1, XP_038420406.1, NP_001375958.1, NP_001376113.1, NP_001376111.1
OG0000042	XP_031798147.1	XP_038424119.1
OG0000044	XP_023353357.1	NP_001361520.1, NP_001361518.1
OG0000044	XP_012405112.1	NP_001361517.1, XP_038439907.1
OG0000044	XP_031801760.1	XP_038440355.1
OG0000045	XP_003759383.1	NP_001107184.1
OG0000045	XP_031821400.1	XP_038392809.1
OG0000045	XP_003759381.1	NP_001070703.1
OG0000045	XP_031821396.1	NP_001070263.1
OG0000045	XP_031821399.1	NP_001070262.1
OG0000046	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1	XP_038422927.1, XP_038422922.1, XP_038422926.1
OG0000048	XP_012402396.1	NP_001106930.1, NP_001091015.1, NP_001091026.1, NP_001091021.1, XP_038381481.1
OG0000049	XP_003756342.1, XP_031808465.1	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1, XP_038401904.1, XP_038429560.1, XP_038429559.1, XP_038429558.1, XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1
OG0000051	XP_003765783.1	XP_038425970.1
OG0000051	XP_031813804.1	XP_038429926.1
OG0000051	XP_023356253.1, XP_003765782.2	XP_038425967.1
OG0000051	XP_031813802.1, XP_031813803.1	XP_038443974.1, NP_001026988.1
OG0000051	XP_031800822.1	NP_001002979.1
OG0000052	XP_023360233.1, XP_031794166.1	XP_038406653.1, XP_038407502.1, XP_038406617.1
OG0000053	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1	XP_038437059.1, XP_038437063.1, XP_038437057.1, XP_038437061.1
