Orthogroup	Echinops_telfairi	Microcebus_murinus
OG0000000	XP_045148498.1, XP_045148479.1, XP_045148490.1	XP_012641044.1, XP_012613266.1, XP_012628339.1, XP_012628337.1, XP_012613289.1
OG0000000	XP_045148842.1	XP_012630310.1
OG0000000	XP_045148835.1	XP_012630387.1
OG0000000	XP_045148833.1	XP_012630382.1, XP_012630385.1, XP_012630384.1, XP_012630383.1, XP_012630381.1, XP_012630380.1
OG0000000	XP_030742044.2	XP_012630372.1
OG0000000	XP_030742236.1	XP_012630285.2
OG0000000	XP_045148817.1	XP_012630378.1
OG0000000	XP_045148296.1, XP_045148252.1, XP_045148251.1	XP_020139008.1
OG0000000	XP_004715710.1	XP_012604505.1, XP_012613248.1
OG0000000	XP_045142672.1	XP_012615665.1
OG0000001	XP_045156010.1	XP_012624815.1, XP_012645800.1, XP_012646010.1, XP_012645968.1, XP_012645956.1, XP_012645793.1, XP_020139507.1, XP_020139506.1, XP_012646003.1, XP_012645977.2, XP_012645971.1, XP_020139387.1, XP_012646008.2, XP_020139505.1, XP_012645964.1, XP_020139501.1, XP_012645962.2, XP_020139610.1
OG0000001	XP_045156114.1	XP_012646178.1, XP_012646169.1, XP_012646150.1
OG0000003	XP_004712547.1	XP_012596786.1, XP_012596788.1, XP_012596787.1
OG0000003	XP_030743047.1	XP_012597460.1, XP_012597518.1
OG0000003	XP_004712556.1	XP_012597512.1
OG0000003	XP_004716623.1	XP_012609570.1
OG0000004	XP_004712548.1	XP_012597516.1
OG0000004	XP_004712558.1	XP_012597515.1, XP_012596777.1, XP_012597453.1, XP_012597452.1
OG0000004	XP_004716624.1	XP_012609568.1
OG0000005	XP_030743198.1	XP_012610257.1
OG0000005	XP_004700918.3	XP_020143017.1
OG0000005	XP_004700923.1	XP_012610269.1
OG0000005	XP_004700650.1, XP_030741266.1	XP_012610321.1
OG0000005	XP_004700654.1	XP_012608319.1
OG0000005	XP_004717924.1	XP_012609915.1
OG0000005	XP_004700643.1	XP_012609981.1
OG0000006	XP_012862570.1	XP_012632903.1
OG0000006	XP_045145606.1	XP_012625684.2, XP_012601742.1, XP_012606863.1, XP_012595831.2, XP_012596629.2, XP_012616975.2, XP_012609122.2, XP_020143214.1
OG0000007	XP_030742138.1, XP_004715725.1, XP_030742141.1	XP_012613264.2
OG0000007	XP_012863437.1	XP_020138350.1, XP_020138351.1, XP_020138348.1, XP_020138352.1, XP_020138349.1, XP_020138346.1, XP_020138347.1, XP_020138345.1, XP_012618410.1, XP_012618411.1, XP_020138403.1, XP_020138425.1
OG0000008	XP_045152547.1	XP_012624356.1
OG0000008	XP_045141709.1	XP_012614837.1
OG0000008	XP_045141717.1	XP_020137053.1
OG0000008	XP_045149590.1	XP_020138106.1
OG0000010	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3	XP_012643294.1
OG0000010	XP_004708520.1, XP_030741715.1	XP_012643305.1, XP_012643256.1, XP_012643312.1, XP_012643309.1, XP_012643311.1, XP_012643310.1, XP_020142412.1, XP_012643274.1, XP_012643272.1, XP_020142062.1, XP_012643292.1, XP_020142413.1
OG0000011	XP_012861711.2	XP_012604421.1
OG0000011	XP_012860119.2	XP_012604416.2
OG0000012	XP_004714207.1, XP_012861936.2, XP_012864145.1	XP_012612333.1
OG0000012	XP_030743784.1, XP_004713945.1	XP_012612334.1, XP_012612335.1, XP_012609246.2, XP_012612318.1
OG0000012	XP_045154605.1	XP_020140769.1, XP_012612390.1, XP_012612389.1
OG0000012	XP_012862981.1	XP_020140827.1, XP_012612317.2, XP_012612341.1, XP_012612339.1, XP_012612340.1
