Orthogroup	Sus_scrofa	Mesocricetus_auratus
OG0000000	XP_020953205.1	XP_040590578.1
OG0000000	XP_020952941.1, XP_020952927.1, XP_020952925.1	XP_040589832.1
OG0000000	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1	XP_012980823.1
OG0000000	XP_005664948.2	XP_005085706.2
OG0000000	XP_020952850.1	XP_040590281.1, XP_040590282.1
OG0000000	XP_013853905.1	XP_021078768.2
OG0000000	XP_020952895.1, XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1	XP_021078895.1
OG0000000	XP_020952983.1, XP_020953072.1, XP_020952989.1	XP_040613645.1
OG0000000	XP_020950733.1	XP_040589935.1
OG0000000	XP_003481363.2	XP_040592164.1
OG0000002	XP_003123502.2	XP_005087851.1
OG0000002	XP_005661279.1, XP_003123450.2, XP_020937687.1, XP_003480815.2, XP_003123451.2, XP_003123462.2, XP_020937696.1, XP_003123498.3, XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1	XP_005083422.1, XP_005083421.1
OG0000003	XP_020955500.1	XP_005086737.1
OG0000003	XP_020955503.1	XP_040611624.1
OG0000003	XP_020945586.1	XP_021091128.1
OG0000003	XP_020954093.1	XP_040611612.1
OG0000003	XP_020939042.1	XP_005067770.2
OG0000003	XP_003356615.2, XP_020955505.1, XP_020955504.1, XP_020955502.1	XP_021079067.1
OG0000004	XP_020954090.1	XP_040611617.1, XP_040611614.1, XP_040611615.1
OG0000004	XP_020939041.1	XP_005067769.1
OG0000004	XP_020945584.1	XP_021091122.2
OG0000004	XP_013853268.2	XP_005072949.1
OG0000004	XP_013852658.1	XP_021091115.2
OG0000005	XP_001926317.2	XP_005079738.2
OG0000005	XP_001927079.3, XP_020937464.1, XP_020937465.1, XP_020947415.1, XP_020936943.1, XP_020937078.1, XP_020938015.1, XP_020936944.1, XP_020937461.1, XP_020936946.1, XP_020937462.1, XP_020937074.1, XP_020936920.1, XP_020937580.1, XP_020946884.1, XP_020947426.1, XP_003126291.3, XP_020947416.1	XP_005079739.1
OG0000005	XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2	XP_005079742.2, XP_040611146.1
OG0000005	XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3	XP_012975766.3, XP_005079740.2
OG0000005	XP_013839577.1	XP_005079743.1
OG0000006	XP_020933479.1, XP_020955477.1	XP_040589604.1
OG0000006	XP_020921056.1, XP_020956191.1, XP_020936626.1, XP_020933478.1, XP_020925483.1, XP_020930447.1	XP_040597264.1
OG0000007	XP_020953242.1	XP_040589785.1, XP_040589784.1
OG0000007	XP_020952937.1, XP_020952936.1, XP_003360687.2, XP_020952939.1, XP_013854178.1	XP_005086773.1, XP_012981157.2, XP_040589756.1, XP_005087922.1
OG0000008	XP_020950594.1, XP_005660392.2	XP_005085123.2
OG0000008	XP_020935751.1	XP_012981311.2
OG0000008	XP_020941711.1, XP_005653115.2	XP_040607222.1
OG0000008	XP_005653113.1	XP_005080013.1
OG0000008	XP_013846325.1	XP_040589595.1
OG0000008	XP_020949541.1	XP_005076380.2, XP_021086449.1, XP_040592559.1
OG0000009	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1	XP_040596996.1, XP_040588386.1, XP_040597078.1, XP_040588058.1, XP_040588055.1, XP_040597080.1, XP_040597074.1, XP_040588524.1, XP_040588391.1, XP_040597180.1, XP_040588465.1, XP_040588202.1, XP_040588464.1, XP_040588388.1, XP_012981543.1
OG0000010	XP_020937683.1, XP_020937114.1, XP_020937016.1, XP_020937352.1, XP_020937349.1, XP_020938008.1, XP_005654730.1, XP_013834759.1, XP_020940399.1	XP_005064625.1
