Orthogroup	Mesocricetus_auratus	Echinops_telfairi
OG0000000	XP_021078858.2	XP_045148344.1
OG0000000	XP_040589832.1	XP_045148293.1, XP_045148498.1, XP_045148479.1, XP_045148490.1
OG0000000	XP_012980823.1	XP_045148842.1
OG0000000	XP_040590281.1, XP_040590282.1	XP_045148835.1
OG0000000	XP_021078768.2	XP_030742044.2
OG0000000	XP_021078895.1	XP_030742236.1, XP_045148817.1
OG0000000	XP_040613645.1	XP_045142753.1, XP_045148296.1, XP_045148252.1, XP_045148251.1
OG0000000	XP_040589935.1	XP_004715710.1
OG0000000	XP_040592164.1	XP_045142672.1
OG0000001	XP_040597963.1, XP_040597954.1, XP_012976937.1, XP_012974810.3	XP_045156010.1
OG0000001	XP_040598214.1, XP_040591117.1, XP_012981991.2, XP_012981549.1, XP_040589839.1, XP_021084573.2, XP_040596870.1, XP_040598213.1, XP_040597186.1, XP_040597891.1, XP_040598120.1, XP_040606170.1, XP_005074172.1, XP_040613227.1, XP_040597032.1, XP_040596955.1, XP_040591182.1, XP_040586293.1, XP_040589727.1, XP_040596758.1, XP_040599251.1, XP_040596923.1, XP_040596936.1, XP_040592977.1, XP_012980114.1, XP_005069719.1, XP_040596762.1, XP_040592595.1, XP_040597162.1, XP_040597017.1, XP_040590128.1, XP_040591407.1, XP_040600781.1, XP_040593987.1, XP_040593104.1, XP_040593959.1, XP_040598136.1, XP_021087094.1, XP_040589758.1, XP_040596853.1, XP_040611174.1	XP_045148497.1, XP_045143347.1
OG0000001	XP_012981467.1	XP_045156114.1
OG0000003	XP_021080735.1, XP_005086745.1, XP_005086737.1, XP_005066534.1	XP_004712547.1
OG0000003	XP_040611624.1, XP_040611622.1, XP_021091128.1, XP_012979222.1	XP_030743047.1
OG0000003	XP_040611612.1	XP_004712556.1
OG0000004	XP_021091115.2	XP_004716624.1
OG0000005	XP_005079738.2	XP_030743198.1
OG0000005	XP_021088443.2, XP_040610223.1	XP_004700918.3
OG0000005	XP_005079739.1	XP_004700923.1
OG0000005	XP_012975766.3, XP_005079740.2	XP_004700650.1, XP_030741266.1
OG0000005	XP_005079743.1	XP_004700643.1
OG0000006	XP_040589604.1, XP_040597031.1	XP_012862570.1
OG0000008	XP_005085123.2	XP_045148515.1, XP_045152547.1
OG0000008	XP_040607222.1	XP_045141709.1
OG0000008	XP_005080013.1	XP_045141717.1
OG0000008	XP_005076380.2, XP_021086449.1, XP_040592559.1	XP_045149590.1
OG0000009	XP_012981543.1	XP_030743027.2
OG0000010	XP_040600849.1	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3
OG0000010	XP_005065040.1	XP_004708520.1, XP_030741715.1
OG0000010	XP_005064625.1	XP_004708431.3
OG0000011	XP_040597863.1	XP_012861711.2
OG0000011	XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1	XP_012860119.2
OG0000012	XP_005088691.1	XP_004714207.1, XP_012861936.2, XP_012864145.1
