Orthogroup	Mus_musculus	Rattus_norvegicus
OG0000000	XP_030098258.1, NP_033587.2	XP_008757184.1, NP_001017512.2
OG0000000	NP_001004190.2	XP_017451463.1
OG0000000	NP_663458.2	XP_063133080.1
OG0000000	NP_001296303.1, XP_017170821.1, NP_001296302.1	XP_063138925.1, XP_063138926.1
OG0000000	NP_573491.2	XP_006227880.2, NP_001396202.1
OG0000000	NP_001001130.1, NP_938081.2, NP_001012325.2	XP_017446703.2, XP_063138922.1
OG0000000	NP_001041669.1, NP_001001186.3, NP_001074410.2, NP_001013791.2, NP_808479.1	NP_001333356.1, XP_063129853.1, NP_001333357.1, NP_001395830.1, XP_006232167.1, NP_001395828.1, NP_001132963.1, XP_038957792.1, NP_775436.2
OG0000000	NP_001094948.1	NP_001395762.1
OG0000000	NP_001020334.1	NP_001414718.1, XP_063143066.1
OG0000000	NP_690027.1	NP_001128198.1, XP_038944205.1
OG0000000	NP_001406212.1	XP_008757455.1, XP_006228826.1, XP_006228825.1, XP_006228824.1
OG0000000	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1	NP_001094461.1, XP_038943235.1
OG0000000	NP_808557.2	XP_006255213.1
OG0000000	NP_001020099.1, XP_006540216.1	XP_006228251.1, NP_001008557.1
OG0000000	NP_001345745.1	XP_063119671.1, NP_001387994.1
OG0000001	XP_011247286.1, NP_848504.2	NP_001103147.2
OG0000001	NP_001186952.1	NP_001395692.1, XP_017455833.1
OG0000001	NP_808567.2	XP_063132002.1
OG0000001	NP_001020121.2, XP_006524318.1	NP_001128033.2, XP_017450288.1
OG0000001	NP_001028985.1	NP_001396167.1
OG0000001	NP_941021.1	NP_001396210.1
OG0000001	NP_001296145.1, XP_036017514.1	XP_038957392.1
OG0000001	NP_001365582.1, XP_030098763.1, NP_001030065.1, NP_001170996.1	XP_017454926.2, XP_017445586.1, XP_017445584.1
OG0000001	NP_001349294.1	XP_017453250.1, XP_038952215.1
OG0000001	XP_030099084.1, NP_001349022.1, NP_001363937.1	XP_017452376.2, NP_001381950.1, XP_063137127.1, NP_001395956.1
OG0000001	NP_001395957.1, NP_001001737.1, NP_001296124.1	XP_038954258.2, XP_063124011.1, XP_063122590.1, XP_006238266.1, XP_063136844.1, XP_063136808.1, XP_063123872.1, XP_063136851.1, XP_063136855.1, XP_063136858.1, XP_038954243.2, NP_001156535.1, XP_038936355.1
OG0000001	NP_001191986.1, NP_001186237.1, NP_001028295.2	XP_063141293.1, XP_063141294.1, XP_063141295.1, XP_008760845.2
OG0000001	NP_001135883.1, XP_030107904.1	XP_038964471.1
OG0000001	NP_081293.4	XP_038962561.1
OG0000001	XP_017170764.2, NP_001365623.1, XP_054875574.1, XP_054875579.1, XP_036013047.1, XP_036013642.1, XP_036013623.1, XP_006515363.1, NP_001361001.1, XP_036013679.1, XP_036013678.1, XP_036013674.1, XP_036013624.1, NP_001371123.1, NP_001369767.1, NP_001371190.1, XP_036013031.1, XP_036013640.1, XP_036013673.1, NP_001371074.1, NP_001369748.1, XP_036013622.1, XP_036013613.1	XP_063137129.1, XP_063140870.1
OG0000001	XP_030106060.1	XP_063138867.1
OG0000002	NP_667070.1	NP_001000108.1, XP_006255421.1
OG0000002	NP_666447.1	NP_001396109.1
OG0000002	NP_667251.1	NP_001000712.1
OG0000002	NP_667252.1	NP_001000421.1
OG0000002	NP_667253.1	NP_997480.2
OG0000002	NP_667282.1	NP_001000941.1
OG0000003	NP_001171124.1, NP_075911.2, NP_001277309.1	NP_001396017.1
OG0000003	NP_835586.2	NP_001395777.1
OG0000003	NP_783597.2	NP_001403243.1
OG0000003	NP_783595.1	NP_001395954.1
OG0000003	NP_835509.2	NP_001099584.1
OG0000003	NP_835507.1	NP_001101884.1
OG0000003	NP_001104025.1, NP_001091448.2	NP_001395693.1
OG0000003	NP_084358.1	NP_001104597.1
OG0000003	NP_001380452.1	NP_001103111.1
OG0000003	NP_835504.1	NP_001102870.1
OG0000004	NP_783592.1	NP_001395916.1
OG0000004	NP_835493.1	NP_001102893.1
OG0000004	NP_835495.1	NP_001395599.1
OG0000004	NP_835736.1	NP_068612.2
OG0000004	NP_038577.1, NP_835584.1	NP_001302422.1
OG0000004	NP_835585.3	NP_001104811.1
OG0000004	NP_808356.1	NP_001103080.1
OG0000004	NP_783593.1	NP_001395771.1
OG0000005	NP_667141.1	NP_001000060.1
OG0000005	NP_667138.1	NP_001001365.1, NP_001000938.1, NP_001001382.1
OG0000005	NP_666939.1	NP_001001385.1, NP_001001361.1
OG0000005	NP_666396.1	NP_001000075.1
OG0000005	NP_666758.1	NP_001000587.1, NP_001001360.1, NP_001000703.1
OG0000005	NP_667074.1	NP_001000056.1
OG0000005	NP_666759.1, NP_666755.1	NP_001000700.1, NP_001001356.1
OG0000005	NP_666378.1, NP_996891.2	NP_001006597.1, NP_001001357.2, NP_001410141.1, XP_056840442.1, NP_001382514.1
OG0000005	NP_666490.1	NP_001000061.1
OG0000005	NP_666379.1	NP_001000055.1
OG0000006	XP_036010828.1	XP_038956947.1, XP_038969294.2, XP_063120484.1, XP_038956651.1
OG0000006	XP_036016100.1	XP_063138919.1, XP_063138801.1, XP_063138800.1, XP_063120507.1, XP_063128749.1, XP_063118653.1, XP_063136520.1, XP_063138765.1, XP_063144646.1, XP_063130967.1, XP_063132935.1, XP_063132936.1, XP_063138932.1, XP_063138931.1, XP_063131938.1, XP_063131939.1
