Orthogroup	Echinops_telfairi	Mus_musculus
OG0000000	XP_045148835.1	NP_690027.1
OG0000000	XP_045148833.1	NP_001389468.1
OG0000000	XP_030742044.2	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1
OG0000000	XP_030742236.1, XP_045148817.1	NP_808557.2
OG0000000	XP_004715710.1	NP_001020099.1, XP_006540216.1
OG0000000	XP_045142672.1	NP_001345745.1
OG0000001	XP_045156010.1	XP_011247286.1, NP_848504.2, NP_001186952.1, NP_808567.2, NP_001020121.2, XP_006524318.1, NP_001028985.1
OG0000001	XP_045148497.1, XP_045143347.1	NP_941021.1, XP_036013012.1, NP_001365496.1, NP_001365208.1, NP_663538.2, NP_001296145.1, XP_036017514.1, NP_001365582.1, XP_030098763.1, NP_001030065.1, NP_001170996.1, NP_001349294.1, XP_011248171.1, XP_030099084.1, NP_001349022.1, NP_001363937.1, XP_036014171.1, XP_017171176.1, NP_001365610.1, NP_001361681.1, NP_722475.1, XP_030103371.2, XP_017171189.2, XP_017171151.2, NP_001277125.1, NP_001371157.1, NP_001371159.1, NP_001171303.1, NP_898942.1, NP_001358047.1, XP_036014156.1, XP_017171171.1, NP_001395957.1, NP_001001737.1, NP_001296124.1, NP_001191986.1, NP_001186237.1, NP_001028295.2, NP_001135883.1, XP_030107904.1, NP_081293.4, XP_017170764.2, NP_001365623.1, XP_054875574.1, XP_054875579.1, XP_036013047.1, XP_036013642.1, XP_036013623.1, XP_006515363.1, NP_001361001.1, XP_036013679.1, XP_036013678.1, XP_036013674.1, XP_036013624.1, NP_001371123.1, NP_001369767.1, NP_001371190.1, XP_036013031.1, XP_036013640.1, XP_036013673.1, NP_001371074.1, NP_001369748.1, XP_036013622.1, XP_036013613.1
OG0000001	XP_045156114.1	XP_030106060.1
OG0000003	XP_004712547.1	NP_001171124.1, NP_075911.2, NP_001277309.1, NP_835501.1, NP_001277459.1
OG0000003	XP_030743047.1	NP_783597.2
OG0000003	XP_004712545.1, XP_004712556.1	NP_783595.1
OG0000003	XP_004716623.1	NP_835504.1
