Orthogroup	Sus_scrofa	Ictidomys_tridecemlineatus
OG0000000	XP_020953205.1	XP_005338252.2
OG0000000	XP_020952941.1, XP_020952927.1	XP_040146438.1
OG0000000	XP_020952925.1	XP_021576803.1
OG0000000	XP_020952850.1	XP_021576898.1
OG0000000	XP_013853826.1	XP_021576901.1
OG0000000	XP_020950760.1	XP_021576636.1
OG0000000	XP_013853905.1	XP_005342012.1
OG0000000	XP_020952895.1	XP_021576027.1
OG0000000	XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1	XP_021576894.1
OG0000000	XP_020950037.1	XP_005342901.3, XP_005336545.1
OG0000000	XP_020953072.1	XP_040146794.1
OG0000000	XP_020952989.1	XP_040136033.1, XP_021576780.1
OG0000000	XP_020950733.1	XP_013221241.1
OG0000000	XP_003481363.2	XP_013212186.1
OG0000002	XP_003123502.2	XP_005336366.1
OG0000002	XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1	XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1
OG0000003	XP_020955495.1	XP_013219120.1
OG0000003	XP_020955500.1	XP_005337132.1, XP_013216605.1
OG0000003	XP_001927752.1	XP_005337109.1
OG0000003	XP_020954093.1	XP_005337121.1, XP_005337103.1
OG0000003	NP_001230585.1	XP_021590094.1
OG0000003	XP_020939042.1	XP_005342616.1
OG0000003	XP_020945588.1	XP_005331197.1
OG0000003	XP_020955502.1	XP_005337126.1
OG0000004	XP_001927727.1	XP_013219116.1
OG0000004	XP_020954090.1	XP_013219115.1
OG0000004	XP_020954092.1	XP_013219112.1
OG0000004	XP_020954091.1	XP_040139584.1
OG0000004	XP_001928592.1	XP_013219117.1
OG0000004	XP_020945584.1	XP_021586083.1
OG0000004	XP_013853268.2	XP_005331946.1
OG0000004	XP_013852658.1	XP_005331198.1
OG0000004	XP_001925399.1	XP_005337088.1
OG0000005	XP_001926317.2	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1
OG0000005	XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2	XP_005342755.2
OG0000005	XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3	XP_005342769.3
OG0000005	XP_013839577.1	XP_005342567.1
OG0000006	XP_020921056.1, XP_020956191.1, XP_020936626.1, XP_020933478.1, XP_020925483.1, XP_020930447.1	XP_021581918.1, XP_040137954.1, XP_013211517.1, XP_040129277.1, XP_040129216.1, XP_013220730.2, XP_040139203.1, XP_040146805.1, XP_040146864.1, XP_040126337.1, XP_040134474.1, XP_021586353.1, XP_013213549.1, XP_040141572.1, XP_040133703.1, XP_040145847.1, XP_013221250.2, XP_040137093.1, XP_040143137.1
OG0000006	XP_020922897.1, XP_020939871.1	XP_040134543.1
OG0000007	XP_020953242.1	XP_005341817.1
OG0000007	XP_020952937.1, XP_020952936.1, XP_003360687.2, XP_020952939.1, XP_013854178.1	XP_005341842.2, XP_021576801.1, XP_005341858.3, XP_040135114.1, XP_005342044.1, XP_005342048.1, XP_005342968.2, XP_021576917.1, XP_005342043.1, XP_021576802.1, XP_005342846.1, XP_005341843.1, XP_005341851.1, XP_005341854.1, XP_005341852.2, XP_005342969.1, XP_005342038.2, XP_005341850.1
OG0000007	XP_020953225.1, XP_020953224.1, XP_020953226.1	XP_040135775.1, XP_005333142.3, XP_005333141.1, XP_005333140.1
OG0000008	XP_005660392.2	XP_021585038.2
OG0000008	XP_020935751.1	XP_040142796.1, XP_005340718.1, XP_040142795.1
OG0000008	XP_020936063.1, XP_013841559.2	XP_040132762.1
OG0000008	XP_020941711.1, XP_005653115.2	XP_005340090.1
OG0000008	XP_005653113.1	XP_021575630.1
OG0000008	XP_013846325.1	XP_005324078.1
OG0000008	XP_020949541.1	XP_021577360.1
OG0000009	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1	XP_040138269.1, XP_021591414.1, XP_040138266.1, XP_040138267.1, XP_005339080.1, XP_040138268.1, XP_005339081.1, XP_040139563.1, XP_040137927.1, XP_040137941.1, XP_040138201.1, XP_040138200.1, XP_040138192.1, XP_021577268.2, XP_021591274.1, XP_040138191.1, XP_005342513.1, XP_040138206.1, XP_040138208.1, XP_040138373.1
OG0000010	XP_020937683.1, XP_020937114.1, XP_020937016.1, XP_020937352.1, XP_020937349.1, XP_020938008.1, XP_005654730.1, XP_013834759.1, XP_020940399.1	XP_005330009.1, XP_005330125.1, XP_005330126.1, XP_005330124.1, XP_005341591.1, XP_005330010.1, XP_005330129.3, XP_005341582.1, XP_005330008.1
OG0000011	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1	XP_005324350.2, XP_013213581.1, XP_005324322.1, XP_005324316.1, XP_005324315.2, XP_013213584.1, XP_005324317.2, XP_013213578.3, XP_013213630.1, XP_021581395.1, XP_013213560.1, XP_005324320.1, XP_021581335.1
OG0000012	XP_020935452.1	XP_005329220.1
OG0000012	XP_005673569.1	XP_040144098.1
OG0000012	XP_020935940.1, XP_013841481.1, XP_005673575.1	XP_021584687.1
OG0000012	XP_020935784.1, XP_020936168.1	XP_005329233.1, XP_005329232.1
OG0000012	XP_005673573.2, XP_020935939.1, XP_005673577.2	XP_040144109.1
OG0000013	XP_013845988.1	XP_013216903.1
OG0000013	XP_020941162.1	XP_005342933.2, XP_040146943.1, XP_005332219.2
OG0000014	XP_020952885.1	XP_040135461.1
OG0000014	XP_020952950.1	XP_005341812.3
OG0000014	XP_020952996.1	XP_021576777.1
OG0000014	XP_020952965.1, XP_020952964.1	XP_013221367.2
