Orthogroup	Sarcophilus_harrisii	Urocitellus_parryii
OG0000000	XP_031812992.1	XP_026259515.1
OG0000000	XP_031817705.1	XP_026238407.1
OG0000000	XP_031810195.1, XP_031823895.1, XP_023359536.1	XP_026247644.1, XP_026237883.1, XP_026257775.1
OG0000000	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1	XP_026235051.1, XP_026262699.1, XP_026235903.1, XP_026237094.1, XP_026237210.1, XP_026237216.1, XP_026267304.1, XP_026247064.1, XP_026267921.1
OG0000000	XP_031800804.1	XP_026237455.1, XP_026237090.1, XP_026237089.1, XP_026265638.1
OG0000001	XP_031815742.1	XP_026237610.1, XP_026255990.1, XP_026255634.1, XP_026237585.1, XP_026236579.1, XP_026237586.1, XP_026237910.1, XP_026235726.1, XP_026237587.1, XP_026270759.1, XP_026238174.1, XP_026245592.1, XP_026245818.1, XP_026245589.1, XP_026245763.1, XP_026245594.1, XP_026245673.1, XP_026245671.1, XP_026245675.1, XP_026245672.1, XP_026245636.1, XP_026245635.1, XP_026255632.1, XP_026245661.1, XP_026255633.1, XP_026255459.1, XP_026255460.1, XP_026238500.1, XP_026238774.1
OG0000002	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2	XP_026238409.1, XP_026238306.1, XP_026238304.1, XP_026238532.1, XP_026238533.1, XP_026238305.1, XP_026238475.1, XP_026238504.1, XP_026238350.1, XP_026238584.1
OG0000003	XP_031824341.1	XP_026263464.1
OG0000003	XP_003769950.1	XP_026237966.1, XP_026237965.1
OG0000003	XP_012404136.1, XP_003770776.2	XP_026259839.1
OG0000003	XP_031823293.1	XP_026270399.1, XP_026270385.1
OG0000004	XP_003768759.1	XP_026270382.1
OG0000004	XP_031823292.1	XP_026238610.1
OG0000004	XP_003769951.1	XP_026259837.1
OG0000004	XP_012405154.1	XP_026269954.1, XP_026259838.1
OG0000004	XP_003768752.1	XP_026263475.1
OG0000005	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3	XP_026237754.1, XP_026236696.1, XP_026254205.1, XP_026254208.1, XP_026237752.1, XP_026254204.1, XP_026254194.1, XP_026254170.1, XP_026254267.1, XP_026254163.1, XP_026254177.1, XP_026254171.1, XP_026254175.1
OG0000006	XP_031801369.1	XP_026270592.1
OG0000006	XP_031814102.1, XP_031814100.1	XP_026238559.1
OG0000007	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3	XP_026235558.1, XP_026235559.1, XP_026238048.1, XP_026237661.1, XP_026237675.1, XP_026237678.1, XP_026238595.1, XP_026238594.1, XP_026238338.1, XP_026238538.1, XP_026237663.1, XP_026238337.1, XP_026237676.1, XP_026237677.1, XP_026237662.1, XP_026237660.1, XP_026237659.1, XP_026238376.1, XP_026237658.1, XP_026238331.1, XP_026238375.1, XP_026245659.1, XP_026245658.1, XP_026245660.1, XP_026245657.1
OG0000008	XP_031806199.1	XP_026237845.1, XP_026249121.1
OG0000008	XP_023362616.1, XP_031800616.1	XP_026268615.1
OG0000008	XP_023355868.1, XP_012401259.1	XP_026268556.1
OG0000008	XP_023361210.2, XP_031794448.1	XP_026235043.1, XP_026262971.1, XP_026262968.1, XP_026246737.1, XP_026237339.1, XP_026262695.1, XP_026260312.1
OG0000009	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2	XP_026237619.1, XP_026238128.1, XP_026270128.1, XP_026271081.1, XP_026237422.1, XP_026237620.1, XP_026270106.1
OG0000010	XP_031800130.1	XP_026235016.1
OG0000010	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1	XP_026235001.1, XP_026237833.1, XP_026234999.1, XP_026235002.1, XP_026235003.1, XP_026235031.1, XP_026235037.1, XP_026235026.1, XP_026235005.1, XP_026235024.1
OG0000011	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3	XP_026240285.1, XP_026240157.1, XP_026240169.1, XP_026240287.1, XP_026240286.1, XP_026240203.1, XP_026240223.1, XP_026240234.1, XP_026240156.1, XP_026240283.1, XP_026240273.1, XP_026240279.1
OG0000016	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1	XP_026254324.1, XP_026238530.1, XP_026254325.1, XP_026254326.1, XP_026253371.1, XP_026253373.1
OG0000017	XP_012398581.1	XP_026241043.1, XP_026241097.1
OG0000017	XP_003761039.1, XP_003761040.1, XP_003761048.1, XP_012397839.1, XP_012397826.1, XP_012397828.1, XP_031804001.1, XP_003763139.2, XP_012397824.1, XP_012397821.1, XP_012397829.1, XP_031806752.1, XP_003763137.1, XP_012397822.1, XP_003761034.1, XP_003761036.2, XP_003761037.1, XP_031806708.1, XP_012399622.1, XP_012397827.1, XP_003763235.1, XP_031806810.1, XP_003763234.1, XP_012397825.1	XP_026245802.1
OG0000017	XP_003758428.1, XP_003758978.1, XP_003759273.1	XP_026242115.1
OG0000017	XP_003758424.1, XP_031806205.1	XP_026269685.1
OG0000018	XP_031822886.1	XP_026261538.1
OG0000018	XP_031801759.1	XP_026270375.1
OG0000018	XP_023359832.1, XP_023358477.2	XP_026263466.1
OG0000019	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2	XP_026237322.1, XP_026237907.1, XP_026237350.1, XP_026237345.1
OG0000019	XP_031805364.1, XP_003759311.2, XP_031805363.1, XP_003759310.2	XP_026237347.1
OG0000019	XP_031805360.1	XP_026237352.1, XP_026237905.1
OG0000021	XP_012404626.1, XP_003769277.1, XP_003769271.1, XP_003769272.1, XP_031820467.1, XP_003769273.1	XP_026238206.1, XP_026238208.1
OG0000022	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1	XP_026240262.1, XP_026240150.1, XP_026240155.1, XP_026240267.1, XP_026240268.1, XP_026240151.1, XP_026240264.1, XP_026240207.1, XP_026240188.1, XP_026240152.1
OG0000024	XP_003764405.1	XP_026236673.1, XP_026258497.1, XP_026236675.1
OG0000024	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1	XP_026236680.1, XP_026258469.1, XP_026258479.1, XP_026236677.1, XP_026258471.1, XP_026258470.1, XP_026236684.1, XP_026236676.1, XP_026258467.1, XP_026236679.1, XP_026236681.1
OG0000026	XP_012397681.1, XP_012397680.1, XP_012397682.1	XP_026238000.1, XP_026258673.1
OG0000027	XP_003765946.1	XP_026246086.1
OG0000027	XP_023360032.2, XP_031820681.1	XP_026262798.1
OG0000027	XP_023360426.1	XP_026235932.1
OG0000027	XP_003767621.1	XP_026252923.1
OG0000027	XP_012401810.1	XP_026246085.1
OG0000027	XP_012407220.2	XP_026262797.1
OG0000028	XP_003774032.2	XP_026262339.1, XP_026262308.1, XP_026262335.1, XP_026262348.1, XP_026262307.1, XP_026262356.1, XP_026262338.1, XP_026262331.1, XP_026262340.1, XP_026262349.1, XP_026262336.1, XP_026262347.1, XP_026262341.1, XP_026262306.1, XP_026262337.1, XP_026262311.1, XP_026262310.1, XP_026262309.1, XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1, XP_026262354.1, XP_026262314.1, XP_026262353.1, XP_026262305.1
OG0000029	XP_003766414.1	XP_026258206.1, XP_026258216.1, XP_026238363.1, XP_026237985.1, XP_026237982.1, XP_026237984.1, XP_026238362.1, XP_026237981.1, XP_026238364.1, XP_026238418.1, XP_026258215.1, XP_026238417.1
OG0000031	XP_012404307.1	XP_026238465.1
OG0000031	XP_003765338.1, XP_012400082.1, XP_031817645.1	XP_026237275.1, XP_026269175.1, XP_026236879.1, XP_026270394.1, XP_026256185.1, XP_026236570.1
OG0000032	XP_031809276.1, XP_031809275.1, XP_031809269.1, XP_031809268.1, XP_012406642.2, XP_031809277.1, XP_031805170.1, XP_031805168.1	XP_026240260.1, XP_026240179.1, XP_026240277.1, XP_026240214.1, XP_026240275.1
OG0000032	XP_031809273.1	XP_026240211.1, XP_026240212.1
OG0000033	XP_012403541.1	XP_026238436.1
OG0000035	XP_003756019.1	XP_026247160.1
OG0000035	XP_003767872.1	XP_026268236.1, XP_026268245.1
OG0000035	XP_031812848.1, XP_031812850.1	XP_026236885.1
OG0000035	XP_003759426.1	XP_026241721.1
OG0000035	XP_031805495.1	XP_026253217.1
OG0000036	XP_003755303.1, XP_003755291.1	XP_026238486.1, XP_026237206.1, XP_026237203.1, XP_026237204.1, XP_026237205.1, XP_026237207.1, XP_026238032.1
OG0000039	XP_031802795.1, XP_003760265.2	XP_026262914.1
OG0000039	XP_003768941.1	XP_026270091.1
OG0000039	XP_003757584.1	XP_026251210.1
OG0000039	XP_031803594.1	XP_026260187.1
