Orthogroup	Homo_sapiens	Canis_lupus_familiaris
OG0000000	NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1	XP_038384579.1
OG0000000	NP_001372545.1, XP_047294716.1, NP_001372541.1, NP_001372540.1, NP_001372547.1, NP_001372543.1, NP_001372542.1, NP_001372544.1, NP_001372538.1, NP_001372539.1, NP_001372546.1	XP_038383925.1
OG0000000	NP_001356754.1, NP_001309058.1, NP_150630.2, NP_942596.1, NP_001309066.1, NP_001309067.1, NP_001309068.1, NP_001309065.1, NP_001309064.1, NP_001309059.1, NP_001309061.1, NP_001309060.1, NP_001309062.1, NP_001309063.1, NP_001096073.1, NP_001309057.1, XP_047295573.1, NP_001166145.1, NP_001166146.1, NP_115973.2, NP_001340387.1, XP_047295035.1	XP_038383888.1
OG0000000	NP_001381102.1	XP_038381458.1, XP_038383850.1, XP_038381459.1, XP_038383856.1
OG0000000	NP_001308920.1, NP_001287922.1	XP_038385033.1
OG0000000	NP_065864.2	XP_038383531.1, XP_038383540.1
OG0000000	NP_001138815.1	XP_038385144.1, XP_038385116.1
OG0000000	NP_001035939.1	XP_038385096.1
OG0000000	NP_653291.1, NP_001307300.2	XP_038383557.1
OG0000000	NP_694989.2	XP_038385054.1
OG0000000	NP_001229729.1, NP_001229730.1, NP_001229731.1, NP_996777.2, XP_047294754.1	XP_038385022.1
OG0000000	NP_001284548.1	XP_038385069.1
OG0000000	NP_001307595.1	XP_038381488.1
OG0000000	NP_001308846.1	XP_038385089.1
OG0000000	NP_001005851.1, XP_005258647.1, XP_005258830.1, NP_001136049.1, NP_001136050.1, NP_001010880.2	XP_038384813.1
OG0000000	NP_001166161.1	XP_038385115.1
OG0000000	NP_775819.1	XP_038383482.1
OG0000000	NP_001291264.1, NP_001291266.1, NP_001291265.1, NP_001291263.1, NP_940944.1, NP_001091961.1, NP_001278673.1	XP_038383515.1
OG0000000	NP_001308285.1	XP_038383541.1
OG0000000	NP_001336738.1	XP_038411812.1
OG0000001	NP_079243.1	XP_038423808.1
OG0000001	NP_066358.2, NP_065765.1	XP_038423111.1, XP_038423107.1
OG0000001	NP_659413.1	XP_038423095.1
OG0000001	NP_001189337.1, NP_001189338.1, NP_001189341.1, NP_001189339.1, NP_001189340.1, NP_001189335.1, NP_115886.1, NP_001189336.1	XP_038423310.1
OG0000002	NP_001005190.1, NP_112163.1	XP_038422957.1, NP_001013440.1, XP_038421294.1, NP_001375587.1, XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1
OG0000003	NP_001368918.1	XP_038440278.1, XP_038440289.1, XP_038440279.1
OG0000003	NP_001154806.1	XP_038418003.1
OG0000003	NP_066406.1	XP_038440305.1
OG0000003	NP_066407.1	XP_038440283.1, XP_038440284.1, XP_038440281.1, XP_038440282.1, XP_038440298.1, XP_038440303.1, XP_038440304.1, XP_038440302.1, XP_038440300.1, XP_038440301.1, XP_038440288.1, XP_038440287.1, XP_038440285.1
OG0000003	NP_619790.1	XP_038440286.1
OG0000003	NP_003519.1	XP_038418004.1, XP_038418006.1, XP_038418005.1
OG0000003	NP_066402.2	XP_038440363.1, XP_038440334.1, XP_038440352.1
OG0000003	NP_001299582.1	XP_038440364.1
OG0000004	NP_003505.1, NP_003500.1, NP_066408.1	XP_038440340.1
OG0000004	NP_003504.2, NP_066390.1	XP_038440277.1
OG0000004	NP_003507.1	XP_038418000.1
OG0000004	NP_003503.1	XP_038440275.1
OG0000004	NP_778235.1	XP_038418001.1
OG0000004	NP_808760.1	XP_038432800.1
OG0000004	NP_003508.1	XP_038418002.1
OG0000005	NP_473446.1	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1
OG0000006	XP_024302798.1	XP_038444756.1, XP_038421308.1
OG0000006	XP_047289367.1	XP_038400303.1, XP_038400305.1, XP_038400304.1
OG0000007	NP_776255.2	XP_038381463.1
OG0000008	NP_001269444.1	XP_038409055.1
OG0000008	NP_001129745.1	XP_038444566.1
OG0000008	NP_001123370.1, NP_001034980.1	XP_038443189.1, XP_038443224.1
OG0000008	NP_001275729.1	XP_038384956.1
OG0000008	NP_001191385.1, NP_066986.1	XP_038445242.1
OG0000008	NP_057349.2, NP_008887.2	XP_038395427.1
OG0000008	NP_001311180.1, XP_011517958.1, NP_003412.1, NP_001311179.1, NP_001311178.1, NP_001311177.1, NP_001311176.1, NP_001311175.1, NP_001311174.1, NP_001171572.1, NP_001007095.1	XP_038389738.1, XP_038389739.1, XP_038389737.1, XP_038389736.1
OG0000008	NP_001311191.1, NP_001311181.1, NP_001311183.1, NP_001311182.1, NP_001311189.1, NP_001311188.1, NP_001311187.1, NP_001311186.1, NP_001311185.1, NP_001311190.1	XP_038389711.1
OG0000008	NP_001310956.1, NP_001121695.1, NP_001277137.1, NP_001277138.1, XP_011531546.1	XP_038435142.1
OG0000008	NP_003437.2	XP_038443214.1
OG0000008	XP_016878441.1	XP_038394427.1
OG0000009	NP_001229971.1, NP_002108.4, XP_054186779.1, NP_005505.2, XP_041536702.1, NP_002107.3, NP_001229687.1, NP_001350496.1, XP_054186575.1, XP_016866296.1, NP_005507.3	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1
OG0000010	NP_001005275.2	NP_001375563.1
OG0000010	NP_001005272.3, NP_001005274.1	NP_001376103.1, NP_001375879.1
OG0000010	NP_001005512.2	NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1
OG0000011	NP_061763.1	XP_038386314.1
OG0000011	NP_061759.1	XP_038386305.1
OG0000011	NP_061757.1	XP_038386315.1
OG0000011	NP_061760.2	XP_038386312.1
OG0000011	NP_061761.1	XP_038386308.1
OG0000011	NP_001290074.1, NP_061762.2	XP_038386303.1
OG0000011	NP_056484.2	XP_038386309.1
OG0000011	NP_061758.1	XP_038386316.1
OG0000012	NP_775970.2	XP_038443043.1, XP_038443045.1, XP_038443044.1
OG0000012	NP_872312.2	NP_001003116.1
OG0000012	NP_001373794.1, XP_011543815.1, NP_002356.2	XP_038442409.1
OG0000012	NP_001258681.1	XP_038442401.1
OG0000012	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1	XP_038442408.1, XP_038442410.1
OG0000013	NP_001001958.1	XP_038421256.1
OG0000013	NP_001005192.2	XP_038421257.1, XP_038421258.1, NP_001376074.1, NP_001375607.1
OG0000014	NP_001277247.1	XP_038383494.1
OG0000014	NP_001019767.1	XP_038383510.1
OG0000014	NP_079109.2	XP_038381446.1
OG0000014	NP_003426.3	XP_038383493.1
OG0000014	NP_775902.2, NP_001317546.1, NP_001166244.1	XP_038383498.1, XP_038383503.1
OG0000014	XP_047294519.1	XP_038383497.1, XP_038383496.1
OG0000014	NP_060349.1	XP_038381450.1
OG0000014	NP_065931.3	XP_038383504.1
OG0000014	NP_001363152.1, NP_001138461.1, XP_047295265.1, XP_005259324.1, NP_079038.2, NP_001303957.1, NP_001303959.1, XP_016881793.1, NP_001303956.1, NP_001303958.1, NP_597717.1, NP_116217.1, XP_047294178.1, NP_775903.3	XP_038383509.1, XP_038383508.1
OG0000014	NP_005764.2	XP_038383445.1
OG0000015	XP_047294550.1	XP_038421309.1
OG0000016	NP_002160.1, NP_066282.1, NP_076918.1, NP_008831.3, NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2, NP_000596.2, NP_002161.2	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1
OG0000018	NP_002098.1, NP_001365976.1, NP_001365975.1, NP_001365972.1	XP_038402506.1
OG0000018	NP_005315.1	XP_038398749.1
OG0000018	NP_001116847.1, NP_066403.2, NP_001005464.1	XP_038417997.1
OG0000018	NP_003520.1	XP_038440338.1
OG0000019	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1	XP_038435794.1
OG0000019	NP_001005326.1	XP_038445405.1
OG0000020	NP_001291386.2, NP_001347096.1, NP_001307889.1, NP_036408.4, NP_001277199.1, NP_006857.2, NP_001124389.2, XP_047294068.1, NP_001277200.1, XP_047294036.1, NP_001075106.2, NP_005865.3, NP_001265333.2, NP_006854.1, NP_006856.3, NP_871714.1, NP_067073.1	XP_038383733.1, XP_038381457.1
OG0000021	NP_001383035.1, NP_112208.1	XP_038439912.1
OG0000022	NP_061737.1	XP_038386332.1
OG0000022	NP_061742.1	XP_038386364.1
OG0000022	NP_061743.1	XP_038386347.1
OG0000022	NP_114477.1	XP_038386329.1
OG0000022	NP_061736.1	XP_038386339.1
OG0000022	NP_061741.1	XP_038386342.1
OG0000022	NP_061735.1	XP_038386333.1
OG0000022	NP_061738.1	XP_038386334.1
OG0000022	NP_061739.2	XP_038386340.1
OG0000023	NP_001763.3, XP_011525833.1	XP_038383955.1
OG0000023	NP_003821.1	XP_038383893.1
OG0000023	NP_443729.1, NP_201586.1, NP_055200.1, XP_011525023.1, XP_011525036.1, NP_055257.2, NP_001185487.1, XP_011525034.1	XP_038381467.1
OG0000023	XP_011525835.1, NP_001236.4	XP_038383930.1, XP_038383932.1
OG0000024	NP_001002905.1, NP_001005198.2	XP_038391423.1
OG0000026	NP_001164491.1, NP_689636.3, XP_011529158.1	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1
OG0000027	XP_047301630.1	XP_038441743.1
OG0000027	NP_116093.1	XP_038433464.1
OG0000027	NP_061816.1	XP_038432130.1
OG0000027	NP_079079.1	XP_038385540.1
OG0000027	NP_005992.1	XP_038431894.1
OG0000027	NP_001257328.1	NP_001301019.1
OG0000028	NP_001005469.1	NP_001376096.1, NP_001376114.1
OG0000028	NP_001005489.1	NP_001376110.1
OG0000028	NP_001005566.1	NP_001376097.1
OG0000029	NP_001004737.1, NP_001004736.2	NP_001376061.1
OG0000029	NP_001005517.1	NP_001375923.1
OG0000029	NP_001005516.1	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1
OG0000031	NP_001004492.1	XP_038399997.1
OG0000031	NP_001013373.1	NP_001375791.1, XP_038445325.1, XP_038412294.1
OG0000033	NP_006669.1, XP_016879522.1	XP_038402020.1, XP_038402018.1
OG0000033	XP_005257047.1, NP_009192.2	XP_038402610.1
OG0000033	NP_001311002.1, NP_001392440.1	XP_038402605.1
