Orthogroup	Saimiri_boliviensis_boliviensis	Sus_scrofa
OG0000000	XP_039322266.1	XP_020953205.1
OG0000000	XP_010338946.1	XP_013844747.1, XP_005653629.1
OG0000000	XP_010346300.1	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1
OG0000000	XP_003944077.1	XP_005664948.2
OG0000000	XP_010346293.1	XP_020952850.1
OG0000000	XP_039322936.1	XP_013853826.1
OG0000000	XP_003944081.1	XP_020950760.1
OG0000000	XP_010346287.1, XP_003937452.1	XP_020952794.1
OG0000000	XP_010346294.1	XP_013853905.1
OG0000000	XP_039321322.1	XP_020952895.1
OG0000000	XP_010346296.1	XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1
OG0000000	XP_039323111.1	XP_020950037.1
OG0000000	XP_039323028.1, XP_039323027.1	XP_005664614.2
OG0000000	XP_039321949.1	XP_020953072.1
OG0000000	XP_010330198.2	XP_020952989.1
OG0000000	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1	XP_020950733.1
OG0000000	XP_010328112.1	XP_003481363.2
OG0000001	XP_003938840.1	XP_020940803.1
OG0000001	XP_003941798.2	XP_013846094.1, XP_020939404.1, XP_020939396.1, XP_020939408.1, XP_003354140.1, XP_020939542.1
OG0000001	XP_039321593.1	XP_005652869.1
OG0000002	XP_003941738.1, XP_003941737.1	XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1
OG0000003	XP_039318518.1	XP_020955500.1
OG0000003	XP_010336292.1	XP_001927752.1
OG0000003	XP_039318670.1	XP_020955503.1
OG0000003	XP_003942039.2	XP_020945586.1
OG0000003	XP_003927328.1	XP_020954093.1
OG0000003	XP_010344148.1	XP_020939042.1
OG0000003	XP_010328072.1	XP_003355262.2, XP_013852659.1, XP_020945588.1
OG0000003	XP_003944864.1	XP_020955502.1
OG0000004	XP_039318562.1	XP_001927727.1
OG0000004	XP_003927315.1	XP_020954090.1
OG0000004	XP_003935360.1	XP_020939041.1
OG0000004	XP_010336293.1, XP_003927318.1	XP_020954091.1
OG0000004	XP_003944860.1	XP_001928592.1
OG0000004	XP_003942031.1	XP_020945584.1
OG0000004	XP_003934600.1	XP_013853268.2
OG0000004	XP_003942032.1	XP_013852658.1
OG0000004	XP_003927339.1	XP_001925399.1
OG0000007	XP_039321697.1	XP_020952937.1, XP_020952936.1, XP_003360687.2, XP_020952939.1, XP_013854178.1
OG0000007	XP_010338945.1	XP_020953225.1, XP_020953224.1, XP_020953226.1
OG0000008	XP_003925271.2	XP_005660392.2
OG0000008	XP_010330062.1, XP_003943915.1	XP_020935751.1
OG0000008	XP_010348446.1, XP_010348453.2	XP_020936063.1, XP_013841559.2
OG0000008	XP_010343119.1, XP_010343120.1	XP_020941711.1, XP_005653115.2
OG0000008	XP_003934299.1	XP_005653113.1
OG0000008	XP_039334172.1	XP_013838698.1
OG0000008	XP_003939553.1	XP_013846325.1
OG0000008	XP_003936386.1	XP_020949541.1
OG0000009	XP_039323181.1, XP_039323182.1, XP_039322117.1, XP_039323153.1, XP_039323204.1, XP_039323205.1, XP_039323297.1, XP_039322063.1, XP_039318499.1, XP_039318502.1, XP_039323216.1, XP_039323349.1, XP_039322104.1, XP_039323189.1, XP_039323188.1, XP_010330939.2, XP_039318501.1, XP_039323282.1, XP_039323265.1, XP_039323139.1	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1
OG0000011	XP_039316464.1, XP_039327340.1, XP_039316746.1, XP_010340082.2, XP_039326277.1, XP_039326275.1, XP_039328082.1, XP_039328036.1, XP_039316705.1, XP_039327835.1, XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1, XP_039328029.1, XP_039328885.1, XP_039326453.1, XP_010340091.2, XP_039328900.1, XP_010340171.2	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1
OG0000012	XP_003924128.1	XP_020935452.1
OG0000012	XP_003924126.1	XP_005673570.1, XP_005673569.1
OG0000012	XP_010333223.1	XP_020935492.1
OG0000012	XP_003924124.1	XP_020935940.1, XP_013841481.1, XP_005673575.1
